sku,product_name,description,category,subcategory,brand,unit_cost,unit_price,weight_kg,length_cm,width_cm,height_cm,is_hazmat,is_perishable,reorder_point,reorder_qty,lead_time_days,_ingested_at
SKU-00012,Reduced systematic monitoring,Risk science pay hold my run feel writer week wall term natural lose election each.,Apparel,Apply,Morse,271.02,689.78,31.6,60.7,23.5,9.4,False,False,178,749,14,2026-04-30T04:36:50.726872
SKU-00013,Profound even-keeled software,Eat budget benefit strong well bar benefit think five product.,Apparel,One,"Wood,",409.43,667.45,32.03,93.6,38.2,42.6,False,False,165,228,1,2026-04-30T04:36:50.726872
SKU-00014,Virtual object-oriented workforce,Change adult player source professor attention data several everyone in land.,Medical,How,"Lawson,",130.37,365.71,41.43,94.9,21.7,22.5,False,False,32,569,23,2026-04-30T04:36:50.726872
SKU-00015,Triple-buffered encompassing initiative,Kid respond believe nearly environment popular administration cause show travel read charge case.,Medical,Doctor,"Griffin,",437.44,937.64,45.38,68.4,39.4,31.7,False,False,40,832,33,2026-04-30T04:36:50.726872
SKU-00016,Adaptive coherent infrastructure,Almost get thought market read toward life smile grow.,Food & Beverage,Data,Collins-Tapia,363.41,765.9,5.02,61.5,16.7,7.8,False,False,151,277,36,2026-04-30T04:36:50.726872
SKU-00017,Face-to-face grid-enabled knowledgebase,Across beautiful people yeah nice cause red.,Apparel,Both,"Wilson,",305.48,867.16,48.19,61.7,64.5,38.6,False,False,146,930,17,2026-04-30T04:36:50.726872
SKU-00018,Enhanced zero tolerance product,Generation adult program throughout boy all let common area interview age be.,Medical,Or,Boyd,351.04,597.01,22.19,35.2,15.9,58.8,False,False,49,195,11,2026-04-30T04:36:50.726872
SKU-00019,Cross-group 4thgeneration array,Customer tough nothing wrong phone attention become ahead toward.,Sporting Goods,Your,"Espinoza,",413.96,533.18,5.4,74.9,24.0,10.9,False,False,199,629,10,2026-04-30T04:36:50.726872
SKU-00020,Optional web-enabled Graphic Interface,What sign room wind else high animal themselves pretty throw.,Apparel,Less,Huerta-Christian,323.23,533.96,47.92,51.6,33.3,49.6,False,False,64,430,42,2026-04-30T04:36:50.726872
SKU-00021,Innovative human-resource algorithm,Performance four according material sea personal day rule.,Automotive,Million,Green,23.62,42.4,44.86,95.9,40.9,48.3,False,False,146,106,18,2026-04-30T04:36:50.726872
SKU-00022,Realigned intangible artificial intelligence,Yourself movement clear fish big quickly step property consumer laugh about hot industry speak.,Medical,Worry,Frederick-Logan,179.47,335.7,41.4,5.7,55.2,15.3,False,False,41,718,36,2026-04-30T04:36:50.726872
SKU-00023,Distributed clear-thinking focus group,What perform kind young system kind task especially.,Electronics,Price,Kennedy-Gallegos,146.8,476.96,3.68,94.1,18.1,40.3,False,False,112,284,37,2026-04-30T04:36:50.726872
SKU-00024,Switchable cohesive paradigm,Police gun already window board member may low.,Medical,Fish,Martinez,372.94,1017.35,19.37,41.1,25.8,29.6,False,False,28,868,12,2026-04-30T04:36:50.726872
SKU-00025,Future-proofed demand-driven function,Film information school her charge book beautiful.,Hardware,Street,"Reynolds,",421.65,876.46,21.46,87.8,10.4,34.8,False,False,119,328,2,2026-04-30T04:36:50.726872
SKU-00026,Multi-channeled cohesive help-desk,Offer common wide process everybody executive stand short big report manage.,Hardware,Deal,"Pierce,",256.95,654.33,18.86,118.2,49.3,28.1,False,False,25,538,1,2026-04-30T04:36:50.726872
SKU-00027,Adaptive static interface,Fill front only explain themselves me condition ask might only.,Electronics,Kind,"Johnson,",365.32,665.12,21.79,23.2,6.1,38.1,False,False,196,727,6,2026-04-30T04:36:50.726872
SKU-00028,Vision-oriented 3rdgeneration hardware,Staff year consider claim there financial prevent everything.,Hardware,Suffer,"Lopez,",68.63,231.06,28.62,91.5,37.2,56.9,False,False,175,514,26,2026-04-30T04:36:50.726872
SKU-00029,Open-architected actuating function,Season month above watch market beyond role the his would dark artist recognize bit land stock.,Sporting Goods,Prevent,"Gaines,",17.8,41.26,3.8,54.0,72.0,15.4,False,False,57,185,29,2026-04-30T04:36:50.726872
SKU-00030,Grass-roots 5thgeneration access,Fear view spend drive seek many between state seven never.,Electronics,Answer,"Garcia,",293.94,671.91,17.02,71.3,44.8,38.1,False,False,70,910,41,2026-04-30T04:36:50.726872
SKU-00031,Distributed well-modulated help-desk,Within wrong return election ok expect within level model test TV pick baby when future front.,Furniture,Company,"Wilson,",421.28,1379.8,34.94,40.5,13.6,7.3,False,False,58,81,33,2026-04-30T04:36:50.726872
SKU-00032,Progressive systematic intranet,Seat likely single out argue dinner born indeed interview need mention single like strong candidate.,Furniture,Degree,"Larson,",302.94,812.82,9.17,19.3,8.4,9.0,False,False,99,547,25,2026-04-30T04:36:50.726872
SKU-00033,Networked eco-centric matrices,Simple movement magazine study American there nice black total consider expert address reveal near.,Industrial,Still,Owens-Cordova,123.62,311.13,22.86,111.0,41.0,43.2,True,False,153,525,26,2026-04-30T04:36:50.726872
SKU-00034,Automated 24/7 concept,Protect fall sometimes career then who class station hospital also year.,Sporting Goods,Play,"Hines,",138.82,381.35,21.82,51.1,47.9,36.4,False,False,32,479,13,2026-04-30T04:36:50.726872
SKU-00035,Fundamental hybrid secured line,After song radio ground join real early sure trial half security there center focus.,Office Supplies,Simply,Roberson,174.47,385.56,49.53,34.5,29.8,3.3,False,False,66,531,13,2026-04-30T04:36:50.726872
SKU-00036,Digitized human-resource archive,Lose act culture another wait spend mission.,Automotive,Evening,Campbell,18.38,63.3,28.3,75.9,77.2,27.6,False,False,176,416,9,2026-04-30T04:36:50.726872
SKU-00037,Total value-added solution,Per tend official eye talk me detail act.,Automotive,While,Rodgers,256.84,449.77,10.37,84.9,49.5,43.7,False,False,51,591,11,2026-04-30T04:36:50.726872
SKU-00038,Compatible 24/7 functionalities,Another big treatment help rest shake research writer recognize identify.,Food & Beverage,Study,Hall,209.01,461.86,11.82,14.0,28.6,18.8,False,False,155,831,22,2026-04-30T04:36:50.726872
SKU-00039,Managed discrete function,Before about admit budget set treatment inside shoulder choice measure space skin talk business line.,Office Supplies,Old,Flores-Hubbard,275.86,917.47,20.76,55.0,27.4,21.2,False,False,84,813,15,2026-04-30T04:36:50.726872
SKU-00040,Customizable client-driven moratorium,Town traditional forget better doctor head none media.,Industrial,Growth,Green-Bennett,139.37,420.55,39.61,40.1,14.1,35.0,False,False,165,298,17,2026-04-30T04:36:50.726872
SKU-00041,Sharable 6thgeneration task-force,Left dinner himself child skill itself scene yard sign institution leg center group kid agree data.,Medical,The,"Marshall,",125.19,236.79,28.79,36.0,35.7,3.0,False,False,189,624,11,2026-04-30T04:36:50.726872
SKU-00042,Versatile solution-oriented matrices,Yet sell loss reveal describe main fill direction administration control kind start subject me food.,Electronics,Machine,"White,",67.03,173.27,25.08,19.8,59.2,44.0,False,False,146,707,34,2026-04-30T04:36:50.726872
SKU-00043,Managed empowering throughput,Rate idea challenge late never street young large investment carry knowledge throughout raise.,Industrial,Charge,Dougherty-Heath,262.81,387.5,7.97,116.2,79.8,46.1,False,True,54,167,31,2026-04-30T04:36:50.726872
SKU-00044,Triple-buffered demand-driven Graphical User Interface,Risk whom husband individual catch page design more reveal structure.,Medical,Policy,Russell,343.12,681.21,44.97,64.6,19.5,38.6,False,False,130,869,38,2026-04-30T04:36:50.726872
SKU-00045,Team-oriented 4thgeneration website,Military very year option do arm free have dog accept small.,Apparel,Right,"Acevedo,",60.66,80.91,0.61,39.7,47.5,51.2,False,True,195,675,15,2026-04-30T04:36:50.726872
SKU-00046,Exclusive object-oriented instruction set,Whatever force table investment either across court prevent.,Electronics,Fund,Cole-Doyle,255.61,400.86,36.89,45.9,15.2,8.7,False,False,110,935,23,2026-04-30T04:36:50.726872
SKU-00047,Profit-focused radical Local Area Network,Represent general city sure only television drop sit employee suddenly local team see candidate.,Furniture,Shoulder,White,238.65,508.59,16.61,43.8,55.8,29.3,True,False,30,994,37,2026-04-30T04:36:50.726872
SKU-00048,Enhanced context-sensitive project,Lot blood avoid let he thought international building man.,Hardware,Land,Brown,274.85,505.02,18.09,39.3,24.5,21.0,False,False,67,605,36,2026-04-30T04:36:50.726872
SKU-00049,Diverse reciprocal moratorium,Box environmental need officer discussion hear vote structure western account once southern.,Food & Beverage,Culture,Roach,167.89,321.91,9.26,100.3,16.8,40.9,False,False,59,367,30,2026-04-30T04:36:50.726872
SKU-00050,Open-source non-volatile utilization,Add you three continue however many back institution agent author let thought affect democratic young.,Industrial,Instead,Griffin,132.8,287.49,32.84,7.2,22.4,28.1,False,False,187,740,43,2026-04-30T04:36:50.726872
SKU-00051,Mandatory systemic access,Fact cup continue strong contain true heavy.,Sporting Goods,Door,Roy,179.22,559.2,1.73,96.0,79.1,39.8,False,False,155,931,18,2026-04-30T04:36:50.726872
SKU-00052,Diverse non-volatile focus group,Item drop new music when allow huge upon employee choose glass rock stage.,Furniture,Oil,Rodriguez-Munoz,172.57,588.18,7.73,97.5,11.7,40.4,False,False,26,526,17,2026-04-30T04:36:50.726872
SKU-00053,User-centric real-time definition,Left citizen serve conference technology civil occur state develop.,Electronics,Reach,Evans,85.96,165.88,42.09,11.7,22.1,48.0,False,False,51,215,36,2026-04-30T04:36:50.726872
SKU-00054,Optimized analyzing capacity,Responsibility laugh position station law coach popular green day majority perhaps phone health.,Industrial,Local,"Smith,",274.86,604.63,16.98,56.6,30.3,52.6,False,False,61,186,34,2026-04-30T04:36:50.726872
SKU-00055,Adaptive intangible synergy,Year send suffer against and act resource billion where such organization coach sign tough.,Furniture,Standard,Macias-Allen,447.32,1357.49,0.57,6.9,29.8,35.3,False,False,12,285,2,2026-04-30T04:36:50.726872
SKU-00056,Automated even-keeled firmware,Occur alone different together give court deal according cold group American special town south general.,Industrial,Artist,Montgomery,99.93,216.71,22.1,89.4,14.2,54.3,False,False,12,498,28,2026-04-30T04:36:50.726872
SKU-00057,Face-to-face global forecast,Someone raise almost talk ok spend speak expect situation perhaps sense early.,Medical,Type,Phillips,65.18,170.89,17.43,98.6,23.7,45.4,False,False,63,107,6,2026-04-30T04:36:50.726872
SKU-00058,Object-based cohesive parallelism,Car speech ago nor science yourself discover call whole especially establish class often.,Apparel,Life,Potter-Long,423.79,1397.67,36.76,69.0,24.4,30.3,False,False,193,989,9,2026-04-30T04:36:50.726872
SKU-00059,Seamless radical pricing structure,Week brother drug market cup loss finally he civil.,Sporting Goods,What,Cruz,22.43,42.98,3.5,116.8,48.6,45.0,False,False,33,515,11,2026-04-30T04:36:50.726872
SKU-00060,Vision-oriented encompassing project,Not top game worry best car how away.,Apparel,Drop,Olson,430.99,822.55,44.07,11.7,66.1,43.9,False,False,149,523,7,2026-04-30T04:36:50.726872
SKU-00061,Up-sized impactful capacity,Talk ever five property meet truth edge bill town red three international large.,Medical,Space,Johnson,374.52,1009.31,34.58,41.9,24.5,8.1,False,False,56,997,17,2026-04-30T04:36:50.726872
SKU-00062,Reverse-engineered cohesive protocol,Total firm case article coach black government discover forward act behind decide sign beyond policy.,Office Supplies,Firm,Wade,23.95,64.42,11.45,105.3,38.1,47.7,False,False,139,943,5,2026-04-30T04:36:50.726872
SKU-00063,Programmable leadingedge matrix,Leave cause letter wind hear scientist team check behavior nation remain effect something focus use social.,Office Supplies,Performance,Fitzgerald,82.18,213.45,40.15,72.3,56.6,24.3,False,False,75,986,33,2026-04-30T04:36:50.726872
SKU-00064,Innovative zero administration moratorium,Manage issue plant stop cup decade doctor color operation next great group pay arm.,Apparel,Grow,Moran-Wade,326.53,1104.03,24.32,77.1,38.9,46.6,False,False,43,136,6,2026-04-30T04:36:50.726872
SKU-00065,Optional even-keeled approach,Four me six same most stop must win fly join soldier career small adult meet.,Hardware,Information,Martinez-Silva,440.73,1077.39,48.3,9.8,57.3,59.0,False,False,200,678,4,2026-04-30T04:36:50.726872
SKU-00066,Down-sized high-level function,Television point five health size hot new common thank across.,Hardware,Born,"White,",301.82,685.87,2.57,99.8,26.9,4.1,False,False,48,410,7,2026-04-30T04:36:50.726872
SKU-00067,Sharable impactful concept,Language need country set thing position before watch society early event.,Furniture,Field,"Berry,",265.11,699.58,34.75,25.5,28.9,53.4,False,False,54,229,10,2026-04-30T04:36:50.726872
SKU-00068,Robust tangible projection,Hour story kitchen care huge energy store garden stuff while guess create at.,Automotive,Think,Holland-Smith,407.53,1195.69,12.56,69.1,18.6,3.2,False,False,38,434,12,2026-04-30T04:36:50.726872
SKU-00069,Focused reciprocal archive,Say base detail have customer people care.,Office Supplies,Fire,Davis-Herring,170.53,476.03,13.11,106.1,33.7,57.6,False,False,10,758,35,2026-04-30T04:36:50.726872
SKU-00070,Face-to-face homogeneous ability,Information again more left probably fly exactly.,Food & Beverage,Bring,"Goodman,",367.68,1267.16,14.79,55.9,72.9,3.1,False,False,140,663,38,2026-04-30T04:36:50.726872
SKU-00071,Optional clear-thinking infrastructure,Despite moment vote action occur direction community even bed step probably.,Electronics,Tough,Nunez,415.22,772.17,1.14,24.1,69.5,37.6,False,False,99,123,40,2026-04-30T04:36:50.726872
SKU-00072,Exclusive zero tolerance installation,Actually view pay executive behavior itself case customer.,Office Supplies,Bit,Bailey-Yoder,345.09,578.47,34.13,62.1,51.8,54.4,False,False,63,213,39,2026-04-30T04:36:50.726872
SKU-00073,Horizontal bifurcated synergy,Least less probably home gun week thus sell instead realize.,Automotive,Street,Munoz-White,333.87,592.5,9.33,110.9,40.6,48.1,False,False,49,67,27,2026-04-30T04:36:50.726872
SKU-00074,Balanced even-keeled interface,List teach beyond nearly after beautiful suffer people.,Automotive,Other,Thompson,37.63,76.61,4.28,98.1,15.0,39.9,False,False,48,656,19,2026-04-30T04:36:50.726872
SKU-00075,Enterprise-wide 6thgeneration concept,Night knowledge entire environment shoulder collection environmental into friend cultural station.,Office Supplies,Page,West-Hodges,53.99,179.74,47.76,93.4,21.4,10.8,False,False,189,645,26,2026-04-30T04:36:50.726872
SKU-00076,Advanced composite help-desk,Significant have different success carry nice among read common middle safe.,Food & Beverage,Exactly,Delgado,105.82,242.58,36.04,22.7,35.6,49.9,False,False,56,93,28,2026-04-30T04:36:50.726872
SKU-00077,Right-sized global emulation,Themselves personal fine score environmental before risk doctor sister owner structure allow sit local.,Office Supplies,Bank,Powers-Williams,170.58,467.78,31.21,8.1,55.2,21.7,False,False,67,720,35,2026-04-30T04:36:50.726872
SKU-00078,Pre-emptive secondary productivity,Say family lay what mission every lead how heart my later prepare task.,Electronics,Unit,Scott-Gutierrez,342.49,461.72,28.74,102.9,21.8,51.6,False,False,55,920,10,2026-04-30T04:36:50.726872
SKU-00079,Persistent clear-thinking service-desk,Sense identify under top site happy father really mind staff second number voice.,Apparel,Church,Alvarez-Dominguez,43.82,131.89,18.67,39.0,54.7,53.2,False,False,121,606,27,2026-04-30T04:36:50.726872
SKU-00080,Re-engineered bifurcated access,Final American lawyer subject no after wish guy send into front already relationship know trip.,Automotive,Person,"Sanchez,",241.8,464.35,0.52,92.8,13.2,20.9,False,True,89,362,9,2026-04-30T04:36:50.726872
SKU-00081,Organic static data-warehouse,Stage likely social toward nature career same.,Electronics,Kitchen,Barron-Alvarez,376.97,507.33,19.47,70.6,42.7,56.1,False,False,72,901,21,2026-04-30T04:36:50.726872
SKU-00082,Re-engineered secondary focus group,Pass side laugh positive issue design service put.,Automotive,System,Hughes,235.07,631.18,14.16,105.1,61.2,47.0,False,False,43,272,19,2026-04-30T04:36:50.726872
SKU-00083,Re-engineered intangible database,Quite college middle pay summer series would agency such sometimes point.,Hardware,Thus,Anthony,296.84,778.81,35.77,55.2,15.9,6.4,False,False,26,96,19,2026-04-30T04:36:50.726872
SKU-00084,Innovative object-oriented challenge,Stock reason around possible night share share nation husband.,Industrial,Several,Johnson-Myers,74.65,182.65,39.81,18.0,60.0,56.4,False,False,189,936,8,2026-04-30T04:36:50.726872
SKU-00085,Enterprise-wide analyzing task-force,I clear us put they listen want oil.,Furniture,Cost,"Combs,",41.89,94.45,41.29,51.7,50.7,58.7,False,False,34,717,11,2026-04-30T04:36:50.726872
SKU-00086,Public-key cohesive matrix,No industry follow third daughter sound less leader trial.,Food & Beverage,According,"Henderson,",231.89,347.72,27.52,11.6,70.6,26.5,True,False,53,773,1,2026-04-30T04:36:50.726872
SKU-00087,Down-sized impactful parallelism,Citizen deal receive movie west doctor this push down force reach.,Office Supplies,Push,"Schwartz,",29.48,98.95,37.42,67.0,19.5,25.0,False,True,171,97,21,2026-04-30T04:36:50.726872
SKU-00088,Re-contextualized reciprocal instruction set,Agree herself conference pay standard keep ability election parent class yourself discussion tree score.,Industrial,Fall,"Hartman,",364.61,656.16,26.52,32.0,58.2,56.2,False,False,116,912,40,2026-04-30T04:36:50.726872
SKU-00089,Team-oriented systematic support,Letter much increase maybe until hit heavy political.,Furniture,Record,Byrd,78.16,232.64,3.22,56.9,45.0,27.1,False,False,72,928,15,2026-04-30T04:36:50.726872
SKU-00090,Stand-alone multi-tasking paradigm,Bill practice education sign TV probably top.,Sporting Goods,Ready,"Davis,",81.02,282.28,10.42,105.3,50.7,24.4,False,False,64,884,31,2026-04-30T04:36:50.726872
SKU-00091,Vision-oriented 6thgeneration budgetary management,Approach out choose piece amount they data message much military together which assume city.,Hardware,Citizen,"Martin,",184.27,439.99,31.79,106.6,77.3,55.0,False,False,55,457,30,2026-04-30T04:36:50.726872
SKU-00092,Streamlined zero administration frame,Successful for water produce affect challenge medical often fund north political.,Automotive,Manage,"Hill,",48.48,120.83,48.26,17.5,78.0,13.0,False,False,61,971,15,2026-04-30T04:36:50.726872
SKU-00093,Optimized optimizing software,Rest this his body son image car newspaper.,Apparel,Nice,Pittman,323.03,475.85,27.07,63.4,77.8,22.3,False,False,196,926,5,2026-04-30T04:36:50.726872
SKU-00094,Secured bottom-line knowledgebase,Player source yes instead pull think exactly despite.,Office Supplies,Suggest,"James,",238.47,678.1,38.24,113.2,6.5,57.3,False,False,176,94,28,2026-04-30T04:36:50.726872
SKU-00095,Managed multi-state software,Tonight ball action second specific us central class theory Democrat others one voice choose.,Office Supplies,Dog,Diaz-Smith,340.35,1057.61,8.44,78.0,75.1,32.3,False,False,73,838,5,2026-04-30T04:36:50.726872
SKU-00096,Reactive encompassing open system,If staff region economic heavy set a truth family heart card share ready among.,Medical,Hear,Hale,280.09,732.46,47.83,18.4,73.9,42.3,False,False,158,923,35,2026-04-30T04:36:50.726872
SKU-00097,Function-based motivating system engine,Record spring smile single everything administration during hundred.,Sporting Goods,Science,Pittman-Nolan,290.0,814.54,17.56,62.2,60.1,3.0,False,False,189,450,25,2026-04-30T04:36:50.726872
SKU-00098,Quality-focused client-server capability,Them now your eat hard voice hundred charge culture camera into high.,Automotive,Surface,Munoz-Weber,166.83,408.93,38.21,75.3,31.5,50.1,False,False,88,681,33,2026-04-30T04:36:50.726872
SKU-00099,Progressive incremental forecast,Available health financial staff whose talk project company security week control modern continue which nor can.,Apparel,If,Sanders-Levy,267.54,541.16,11.25,36.4,37.6,38.9,False,False,44,643,39,2026-04-30T04:36:50.726872
SKU-00100,Re-contextualized optimal installation,Country general particular operation threat over start onto say.,Industrial,Strong,"Kelley,",11.58,30.82,7.22,76.0,36.7,59.3,False,False,156,683,26,2026-04-30T04:36:50.726872
SKU-00101,User-centric mission-critical initiative,Method report late cost trouble its feeling east modern any way space time spend believe.,Sporting Goods,Decision,"Rice,",218.77,275.36,39.11,57.6,56.5,30.9,False,False,156,341,26,2026-04-30T04:36:50.726872
SKU-00102,Configurable coherent capacity,Act above at father present probably letter human style right want what figure.,Sporting Goods,Reach,"Perez,",125.2,211.02,30.45,63.0,27.7,25.8,False,False,142,695,22,2026-04-30T04:36:50.726872
SKU-00103,Re-contextualized asynchronous data-warehouse,Brother daughter specific many charge player myself car option music popular.,Furniture,There,"Reyes,",94.01,230.98,26.71,119.7,27.0,35.9,True,False,12,861,39,2026-04-30T04:36:50.726872
SKU-00104,Total client-driven frame,Forget wide power area consumer front discussion.,Sporting Goods,Over,Holder-Patterson,76.25,233.63,43.8,42.6,17.8,50.5,False,False,45,519,3,2026-04-30T04:36:50.726872
SKU-00105,Customer-focused regional firmware,Town husband trip nothing with since TV without almost write have move these be probably.,Industrial,Else,"Mcconnell,",179.42,447.47,45.1,7.1,45.8,17.7,False,False,36,838,15,2026-04-30T04:36:50.726872
SKU-00106,Cross-platform multi-tasking Internet solution,Four lose serious prepare run white face suggest finally somebody film election represent fish who.,Sporting Goods,Realize,Olson,1.74,4.42,9.58,81.6,8.1,30.0,False,False,70,683,39,2026-04-30T04:36:50.726872
SKU-00107,Intuitive impactful attitude,Appear majority cultural college many wife artist.,Industrial,Kind,Todd,332.0,1037.56,37.2,17.2,31.1,59.1,False,False,124,857,24,2026-04-30T04:36:50.726872
SKU-00108,Enhanced 6thgeneration circuit,Street season on reveal opportunity middle cover least couple rule special system.,Electronics,Force,Bradford-Mitchell,411.97,515.55,2.39,44.7,34.3,41.4,False,False,162,414,42,2026-04-30T04:36:50.726872
SKU-00109,Robust 24hour time-frame,Management agent seek movement tend simple firm assume why above student.,Office Supplies,Job,Jones-Sherman,92.68,196.64,4.94,35.0,47.4,49.9,False,False,85,492,29,2026-04-30T04:36:50.726872
SKU-00110,Compatible zero tolerance leverage,Alone try newspaper sit ground low draw price tell or bad goal cover eight painting available.,Sporting Goods,Study,Hicks-Cooper,256.91,761.13,45.71,109.9,54.0,32.8,False,False,18,81,8,2026-04-30T04:36:50.726872
SKU-00111,Quality-focused user-facing artificial intelligence,Fly strong end responsibility people protect eat project.,Food & Beverage,Will,Williams-Vasquez,284.51,629.45,44.44,19.1,22.3,55.3,False,False,43,665,39,2026-04-30T04:36:50.726872
SKU-00112,Phased 24hour application,Action early stock actually find throughout bring everybody adult seven page.,Automotive,Story,"Gardner,",422.26,987.62,33.3,114.8,46.9,55.9,False,False,87,89,25,2026-04-30T04:36:50.726872
SKU-00113,Assimilated systemic database,Him shoulder short school always message trip name human we pick really again know music charge.,Apparel,Fund,Franklin,65.08,98.46,45.52,75.3,37.7,29.7,False,False,55,238,12,2026-04-30T04:36:50.726872
SKU-00114,Cross-group homogeneous forecast,Remember deal data door result car area couple world feel sure me medical.,Electronics,Argue,Freeman-Wagner,57.51,114.82,10.85,78.0,54.5,27.5,True,False,132,972,25,2026-04-30T04:36:50.726872
SKU-00115,Robust next generation matrices,Others American quickly brother record begin stuff.,Industrial,Test,"Soto,",137.65,384.13,16.35,73.7,50.1,20.9,False,False,69,597,15,2026-04-30T04:36:50.726872
SKU-00116,Configurable background customer loyalty,Specific her benefit Mr network night garden song drive.,Medical,Really,Rodriguez,141.67,441.8,48.48,38.1,59.6,14.7,False,False,162,107,1,2026-04-30T04:36:50.726872
SKU-00117,Open-architected 5thgeneration frame,Sometimes public city adult difficult toward question live weight guy everything lose recently so.,Automotive,Treat,"Shelton,",333.85,513.26,9.32,15.5,70.2,55.9,False,False,173,196,41,2026-04-30T04:36:50.726872
SKU-00118,Sharable dedicated artificial intelligence,Seek eye second statement occur role office instead society sound young car imagine.,Medical,Energy,Warner-Johnston,436.5,699.87,38.64,66.6,45.9,16.3,False,False,182,378,36,2026-04-30T04:36:50.726872
SKU-00119,Adaptive high-level emulation,Case his science feeling can main new.,Apparel,List,Robinson,147.14,377.42,15.33,83.3,31.0,43.3,False,False,138,385,32,2026-04-30T04:36:50.726872
SKU-00120,Programmable impactful application,Up appear door how draw stop he can most political positive investment.,Hardware,Third,Hanson,166.66,376.55,2.83,110.4,44.7,38.9,False,False,76,508,30,2026-04-30T04:36:50.726872
SKU-00121,Decentralized 24/7 data-warehouse,Analysis brother close south down agreement half age energy citizen customer wall serious nothing receive happen.,Medical,Toward,Andrews,139.3,246.31,18.37,29.7,62.9,19.3,False,False,197,352,8,2026-04-30T04:36:50.726872
SKU-00122,Object-based 6thgeneration application,Respond involve card whom give spring manage far focus specific word opportunity case five section while.,Medical,Father,"Mitchell,",375.22,569.56,29.07,85.8,78.5,28.6,False,False,164,258,3,2026-04-30T04:36:50.726872
SKU-00123,Decentralized next generation adapter,Night responsibility organization girl go deep though suddenly seven huge image term others rate change management.,Medical,Miss,Edwards,151.02,362.26,1.61,27.5,44.7,26.4,False,True,61,295,42,2026-04-30T04:36:50.726872
SKU-00124,Multi-tiered 24/7 encoding,Bill information cause my air action large policy serious top image capital government.,Furniture,At,Gordon-Johnson,235.24,812.97,21.41,9.3,40.6,33.0,False,False,27,411,12,2026-04-30T04:36:50.726872
SKU-00125,Multi-layered dedicated software,Attack discover rise week institution speak firm.,Medical,Arm,Rose-Armstrong,216.74,366.65,14.33,68.8,18.8,41.7,False,False,187,363,27,2026-04-30T04:36:50.726872
SKU-00126,Multi-layered clear-thinking conglomeration,Few decide opportunity film note argue heart enough seat degree quite.,Food & Beverage,Front,"Mcmillan,",148.03,493.65,36.47,60.5,65.4,31.7,False,False,37,414,28,2026-04-30T04:36:50.726872
SKU-00127,Intuitive uniform knowledgebase,Of save serve usually PM mother itself season feel.,Food & Beverage,Serious,Carpenter-Jordan,308.97,589.58,43.48,62.1,60.1,27.7,False,False,111,652,5,2026-04-30T04:36:50.726872
