po_id,supplier_id,warehouse_id,sku,qty_ordered,unit_cost,total_cost,po_date,expected_delivery,actual_delivery,status,is_on_time,_ingested_at
PO-00000039,SUP-0031,WH-SOU-09,SKU-00480,723,289.45,209272.35,2025-12-17,2026-02-11,2026-02-19,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000040,SUP-0001,WH-CEN-08,SKU-00090,109,81.02,8831.18,2025-11-04,2025-11-19,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000041,SUP-0066,WH-SOU-09,SKU-00309,583,293.25,170964.75,2025-08-16,2025-10-01,,CANCELLED,,2026-04-30T04:36:50.726872
PO-00000042,SUP-0065,WH-NOR-05,SKU-00270,893,131.49,117420.57,2025-11-27,2026-01-03,,CANCELLED,,2026-04-30T04:36:50.726872
PO-00000043,SUP-0062,WH-EAS-01,SKU-00357,796,233.35,185746.6,2025-11-16,2025-12-01,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000044,SUP-0068,WH-WES-07,SKU-00718,1790,153.8,275302.0,2026-01-08,2026-02-07,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000045,SUP-0023,WH-CEN-10,SKU-00474,1575,274.38,432148.5,2025-12-09,2026-01-31,2026-02-03,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000046,SUP-0076,WH-EAS-03,SKU-00114,1761,57.51,101275.11,2026-04-03,2026-05-04,2026-05-04,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000047,SUP-0043,WH-EAS-06,SKU-00754,426,146.47,62396.22,2026-03-26,2026-05-07,2026-05-11,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000048,SUP-0003,WH-WES-07,SKU-00443,653,270.5,176636.5,2025-06-25,2025-08-24,2025-08-22,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000049,SUP-0078,WH-CEN-10,SKU-00963,1015,437.25,443808.75,2025-11-07,2025-12-09,2025-12-15,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000050,SUP-0038,WH-NOR-04,SKU-00062,1617,23.95,38727.15,2026-02-27,2026-03-04,2026-03-06,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000051,SUP-0059,WH-NOR-05,SKU-00181,223,162.64,36268.72,2025-10-28,2025-11-25,2025-12-05,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000052,SUP-0005,WH-NOR-04,SKU-00441,1534,266.78,409240.52,2026-02-05,2026-03-29,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000053,SUP-0078,WH-EAS-06,SKU-00650,63,52.04,3278.52,2025-11-15,2025-12-08,,CANCELLED,,2026-04-30T04:36:50.726872
PO-00000054,SUP-0041,WH-EAS-01,SKU-00911,917,199.89,183299.13,2026-03-28,2026-04-22,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000055,SUP-0004,WH-EAS-03,SKU-00052,1990,172.57,343414.3,2026-01-09,2026-03-02,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000056,SUP-0048,WH-NOR-05,SKU-00961,1142,431.89,493218.38,2026-04-12,2026-04-28,2026-05-01,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000057,SUP-0051,WH-EAS-01,SKU-00482,147,271.33,39885.51,2026-03-11,2026-04-06,2026-04-12,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000058,SUP-0009,WH-CEN-08,SKU-00573,50,321.12,16056.0,2026-04-23,2026-04-30,2026-05-04,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000059,SUP-0045,WH-WES-07,SKU-00739,1954,119.07,232662.78,2025-06-04,2025-06-26,2025-06-23,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000060,SUP-0069,WH-CEN-08,SKU-00517,572,304.38,174105.36,2025-10-27,2025-11-07,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000061,SUP-0034,WH-EAS-02,SKU-00456,997,36.31,36201.07,2025-05-16,2025-07-14,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000062,SUP-0051,WH-NOR-05,SKU-00723,1651,412.63,681252.13,2025-11-09,2025-12-04,2025-12-06,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000063,SUP-0025,WH-NOR-05,SKU-00668,1960,142.31,278927.6,2026-02-21,2026-03-11,2026-03-20,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000064,SUP-0022,WH-NOR-04,SKU-00196,1530,158.86,243055.8,2025-08-07,2025-08-25,2025-09-03,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000065,SUP-0038,WH-EAS-02,SKU-00300,1847,27.82,51383.54,2025-08-08,2025-08-28,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000066,SUP-0070,WH-CEN-08,SKU-00707,1624,135.17,219516.08,2025-05-25,2025-06-23,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000067,SUP-0058,WH-EAS-02,SKU-00335,775,440.21,341162.75,2025-08-03,2025-08-30,2025-09-05,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000068,SUP-0047,WH-CEN-10,SKU-00397,697,146.21,101908.37,2026-01-12,2026-01-29,2026-02-08,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000069,SUP-0054,WH-NOR-05,SKU-00660,1657,258.92,429030.44,2025-07-05,2025-08-31,2025-09-09,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000070,SUP-0041,WH-NOR-04,SKU-00571,1142,170.22,194391.24,2025-08-02,2025-08-06,2025-08-04,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000071,SUP-0017,WH-WES-07,SKU-00104,1704,76.25,129930.0,2026-01-21,2026-03-11,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000072,SUP-0078,WH-WES-07,SKU-00912,797,425.25,338924.25,2026-04-11,2026-06-07,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000073,SUP-0005,WH-EAS-06,SKU-00999,1850,407.34,753579.0,2025-05-21,2025-06-15,,CONFIRMED,,2026-04-30T04:36:50.726872
PO-00000074,SUP-0008,WH-EAS-03,SKU-00592,663,40.87,27096.81,2026-04-04,2026-05-08,2026-05-09,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000075,SUP-0029,WH-CEN-10,SKU-00966,1447,264.64,382934.08,2025-12-01,2026-01-27,2026-02-04,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000076,SUP-0041,WH-NOR-04,SKU-00304,600,94.0,56400.0,2025-06-18,2025-06-30,2025-07-10,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000077,SUP-0002,WH-SOU-09,SKU-00570,240,298.5,71640.0,2025-05-21,2025-05-31,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000078,SUP-0056,WH-EAS-01,SKU-00741,697,149.16,103964.52,2025-05-16,2025-05-31,2025-05-30,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000079,SUP-0043,WH-EAS-06,SKU-00699,1092,289.75,316407.0,2025-09-15,2025-10-12,2025-10-15,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000080,SUP-0026,WH-EAS-06,SKU-00841,1109,34.52,38282.68,2026-02-08,2026-03-23,2026-04-01,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000081,SUP-0032,WH-NOR-04,SKU-00814,394,403.42,158947.48,2025-08-05,2025-08-19,,CANCELLED,,2026-04-30T04:36:50.726872
PO-00000082,SUP-0011,WH-CEN-08,SKU-00025,353,421.65,148842.45,2025-08-02,2025-08-30,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000083,SUP-0005,WH-CEN-10,SKU-00965,590,268.41,158361.9,2025-10-08,2025-10-22,,CANCELLED,,2026-04-30T04:36:50.726872
PO-00000084,SUP-0053,WH-NOR-04,SKU-00558,1194,400.03,477635.82,2025-11-16,2025-11-22,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000085,SUP-0037,WH-EAS-02,SKU-00893,1604,219.43,351965.72,2025-04-29,2025-05-03,,CONFIRMED,,2026-04-30T04:36:50.726872
PO-00000086,SUP-0002,WH-EAS-03,SKU-00992,933,260.73,243261.09,2025-05-05,2025-06-28,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000087,SUP-0025,WH-EAS-03,SKU-00593,493,374.11,184436.23,2025-09-01,2025-10-21,2025-10-20,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000088,SUP-0058,WH-CEN-08,SKU-00661,1250,52.55,65687.5,2025-07-31,2025-09-01,,CONFIRMED,,2026-04-30T04:36:50.726872
PO-00000089,SUP-0041,WH-NOR-05,SKU-00753,1913,319.28,610782.64,2025-07-10,2025-08-08,2025-08-09,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000090,SUP-0057,WH-EAS-02,SKU-00580,1472,301.91,444411.52,2025-11-15,2026-01-08,2026-01-12,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000091,SUP-0001,WH-CEN-10,SKU-00200,1359,301.18,409303.62,2026-04-04,2026-05-14,2026-05-12,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000092,SUP-0072,WH-NOR-04,SKU-00295,460,16.42,7553.2,2025-08-04,2025-09-22,2025-09-22,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000093,SUP-0029,WH-EAS-02,SKU-00478,1147,446.19,511779.93,2025-10-12,2025-10-26,2025-10-23,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000094,SUP-0055,WH-EAS-03,SKU-00469,545,182.84,99647.8,2025-11-26,2025-12-26,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000095,SUP-0064,WH-NOR-05,SKU-00687,400,57.38,22952.0,2025-07-01,2025-08-25,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000096,SUP-0072,WH-SOU-09,SKU-00067,1991,265.11,527834.01,2026-01-31,2026-02-18,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000097,SUP-0047,WH-CEN-10,SKU-00808,303,40.42,12247.26,2026-01-24,2026-02-09,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000098,SUP-0069,WH-EAS-06,SKU-00264,79,13.36,1055.44,2025-06-19,2025-08-13,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000099,SUP-0056,WH-NOR-04,SKU-00848,599,101.43,60756.57,2025-06-11,2025-07-30,2025-08-07,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000100,SUP-0029,WH-EAS-03,SKU-00717,519,394.24,204610.56,2025-07-24,2025-09-08,2025-09-08,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000101,SUP-0022,WH-EAS-02,SKU-00905,390,84.84,33087.6,2026-03-13,2026-05-12,2026-05-15,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000102,SUP-0030,WH-CEN-08,SKU-00389,1281,46.99,60194.19,2025-10-20,2025-10-31,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000103,SUP-0051,WH-CEN-10,SKU-00777,363,108.39,39345.57,2025-12-29,2026-01-31,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000104,SUP-0028,WH-EAS-01,SKU-00525,1345,44.21,59462.45,2025-06-29,2025-07-14,2025-07-12,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000105,SUP-0034,WH-NOR-05,SKU-00335,582,440.21,256202.22,2026-01-29,2026-03-04,2026-03-13,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000106,SUP-0025,WH-SOU-09,SKU-00195,268,207.04,55486.72,2025-06-08,2025-07-16,2025-07-26,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000107,SUP-0035,WH-WES-07,SKU-00071,677,415.22,281103.94,2025-06-20,2025-06-30,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000108,SUP-0051,WH-EAS-02,SKU-00115,497,137.65,68412.05,2026-03-30,2026-04-24,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000109,SUP-0046,WH-NOR-05,SKU-00483,431,296.07,127606.17,2025-11-29,2025-12-06,2025-12-08,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000110,SUP-0023,WH-EAS-02,SKU-00942,1983,15.24,30220.92,2025-07-21,2025-07-31,2025-08-08,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000111,SUP-0079,WH-CEN-08,SKU-00519,1198,173.8,208212.4,2026-03-21,2026-05-20,2026-05-19,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000112,SUP-0040,WH-CEN-08,SKU-00589,1815,272.69,494932.35,2025-09-11,2025-09-27,2025-10-07,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000113,SUP-0047,WH-CEN-08,SKU-00070,408,367.68,150013.44,2025-10-08,2025-11-20,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000114,SUP-0064,WH-WES-07,SKU-00983,1435,113.3,162585.5,2026-03-07,2026-04-30,,CONFIRMED,,2026-04-30T04:36:50.726872
PO-00000115,SUP-0032,WH-EAS-02,SKU-00766,1827,374.29,683827.83,2025-05-11,2025-06-17,2025-06-27,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000116,SUP-0032,WH-NOR-05,SKU-00847,1461,280.75,410175.75,2025-09-12,2025-10-18,2025-10-21,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000117,SUP-0031,WH-CEN-08,SKU-00131,1650,331.65,547222.5,2025-07-20,2025-09-08,,CANCELLED,,2026-04-30T04:36:50.726872
PO-00000118,SUP-0010,WH-SOU-09,SKU-00373,54,98.83,5336.82,2025-08-16,2025-10-02,2025-10-03,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000119,SUP-0073,WH-CEN-10,SKU-00048,1393,274.85,382866.05,2025-10-24,2025-12-13,2025-12-14,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000120,SUP-0038,WH-NOR-04,SKU-00653,218,52.46,11436.28,2025-11-05,2025-11-26,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000121,SUP-0006,WH-EAS-06,SKU-00903,1950,206.79,403240.5,2025-06-12,2025-06-23,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000122,SUP-0072,WH-EAS-02,SKU-00572,1103,88.85,98001.55,2026-04-17,2026-04-23,2026-04-22,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000123,SUP-0027,WH-SOU-09,SKU-00573,484,321.12,155422.08,2025-12-24,2026-02-05,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000124,SUP-0045,WH-EAS-03,SKU-00744,112,406.29,45504.48,2025-12-08,2026-02-01,2026-02-01,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000125,SUP-0005,WH-SOU-09,SKU-00737,1627,115.46,187853.42,2025-10-05,2025-11-05,2025-11-12,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000126,SUP-0074,WH-EAS-06,SKU-00921,1043,422.49,440657.07,2025-10-15,2025-10-27,2025-10-27,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000127,SUP-0042,WH-EAS-02,SKU-00844,442,137.26,60668.92,2026-03-20,2026-03-27,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000128,SUP-0041,WH-EAS-02,SKU-00997,1699,198.82,337795.18,2025-12-04,2026-01-17,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000129,SUP-0075,WH-CEN-10,SKU-00410,316,447.05,141267.8,2026-04-16,2026-05-08,,CANCELLED,,2026-04-30T04:36:50.726872
PO-00000130,SUP-0022,WH-EAS-06,SKU-00417,1366,202.44,276533.04,2025-05-02,2025-05-26,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000131,SUP-0042,WH-CEN-08,SKU-00621,549,301.01,165254.49,2025-06-08,2025-07-27,2025-08-03,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000132,SUP-0044,WH-NOR-05,SKU-00751,1892,146.79,277726.68,2026-01-17,2026-02-21,2026-02-20,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000133,SUP-0030,WH-WES-07,SKU-00320,795,315.41,250750.95,2025-11-02,2025-11-17,2025-11-20,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000134,SUP-0020,WH-SOU-09,SKU-00009,1854,147.48,273427.92,2026-03-11,2026-04-30,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000135,SUP-0068,WH-SOU-09,SKU-00489,1785,53.53,95551.05,2025-06-07,2025-06-21,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000136,SUP-0046,WH-WES-07,SKU-00526,1117,27.57,30795.69,2025-07-09,2025-08-06,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000137,SUP-0069,WH-EAS-03,SKU-00022,639,179.47,114681.33,2025-05-18,2025-07-10,2025-07-11,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000138,SUP-0045,WH-CEN-10,SKU-00133,565,24.53,13859.45,2025-10-01,2025-10-27,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000139,SUP-0057,WH-CEN-08,SKU-00108,503,411.97,207220.91,2026-03-21,2026-04-22,2026-04-29,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000140,SUP-0042,WH-NOR-05,SKU-00601,1127,17.7,19947.9,2025-05-21,2025-06-25,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000141,SUP-0075,WH-NOR-05,SKU-00275,1232,40.6,50019.2,2026-02-26,2026-03-09,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000142,SUP-0045,WH-WES-07,SKU-00700,1268,175.2,222153.6,2025-07-01,2025-07-22,2025-07-29,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000143,SUP-0019,WH-EAS-01,SKU-00709,1857,237.11,440313.27,2025-11-15,2025-12-24,2025-12-31,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000144,SUP-0061,WH-EAS-01,SKU-00541,679,366.64,248948.56,2025-06-12,2025-06-25,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000145,SUP-0047,WH-EAS-01,SKU-00096,1176,280.09,329385.84,2026-04-10,2026-04-15,,CONFIRMED,,2026-04-30T04:36:50.726872
PO-00000146,SUP-0004,WH-EAS-02,SKU-00425,147,418.47,61515.09,2026-01-03,2026-01-14,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000147,SUP-0061,WH-EAS-02,SKU-00739,796,119.07,94779.72,2025-10-11,2025-11-09,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000148,SUP-0001,WH-EAS-06,SKU-00521,1328,103.02,136810.56,2025-11-01,2025-12-07,2025-12-08,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000149,SUP-0057,WH-EAS-01,SKU-00036,1104,18.38,20291.52,2026-01-01,2026-02-25,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000150,SUP-0029,WH-EAS-01,SKU-00473,1767,337.46,596291.82,2025-12-28,2026-01-29,2026-02-04,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000151,SUP-0061,WH-EAS-03,SKU-00270,454,131.49,59696.46,2026-04-07,2026-04-17,2026-04-26,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000152,SUP-0070,WH-NOR-05,SKU-00759,1676,436.92,732277.92,2025-05-28,2025-06-04,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000153,SUP-0076,WH-CEN-10,SKU-00310,996,52.83,52618.68,2025-12-19,2025-12-29,2026-01-01,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000154,SUP-0032,WH-CEN-08,SKU-00976,1456,45.39,66087.84,2025-06-08,2025-07-02,2025-07-08,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000155,SUP-0002,WH-CEN-08,SKU-00267,1000,387.2,387200.0,2025-12-07,2025-12-25,2025-12-30,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000156,SUP-0033,WH-NOR-04,SKU-00559,677,417.64,282742.28,2025-06-22,2025-08-08,2025-08-12,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000157,SUP-0056,WH-SOU-09,SKU-00579,1625,368.05,598081.25,2025-10-07,2025-10-13,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000158,SUP-0066,WH-WES-07,SKU-00138,1306,380.9,497455.4,2025-06-18,2025-08-05,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000159,SUP-0012,WH-EAS-03,SKU-00053,1681,85.96,144498.76,2025-09-28,2025-10-17,2025-10-21,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000160,SUP-0065,WH-NOR-04,SKU-00013,693,409.43,283734.99,2026-02-27,2026-03-12,2026-03-10,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000161,SUP-0010,WH-NOR-05,SKU-00545,486,442.81,215205.66,2025-08-19,2025-09-24,2025-09-23,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000162,SUP-0044,WH-EAS-06,SKU-00694,556,218.79,121647.24,2026-01-09,2026-02-14,,CONFIRMED,,2026-04-30T04:36:50.726872
PO-00000163,SUP-0029,WH-EAS-06,SKU-00144,939,111.54,104736.06,2025-10-01,2025-11-13,,IN_TRANSIT,,2026-04-30T04:36:50.726872
