dock_id,warehouse_id,carrier_id,shipment_id,activity_type,arrived_at,departed_at,duration_minutes,num_pallets,employee_id,_ingested_at
DOCK-EN-10-05,WH-CEN-10,CAR-002,SHIP-00037065,INBOUND_RECEIVE,2025-08-03T01:16:37,2025-08-03T02:41:37,85,7,EMP-00083,2026-04-30T04:36:50.726872
DOCK-AS-02-09,WH-EAS-02,CAR-001,SHIP-00044871,INBOUND_RECEIVE,2026-02-13T18:23:11,2026-02-13T20:03:11,100,28,EMP-00148,2026-04-30T04:36:50.726872
DOCK-AS-06-19,WH-EAS-06,CAR-009,SHIP-00022353,OUTBOUND_SHIP,2026-04-15T08:03:02,2026-04-15T10:57:02,174,39,EMP-00110,2026-04-30T04:36:50.726872
DOCK-AS-03-17,WH-EAS-03,CAR-006,SHIP-00039902,CROSS_DOCK,2025-07-24T22:05:25,2025-07-24T23:15:25,70,22,EMP-00039,2026-04-30T04:36:50.726872
DOCK-OU-09-07,WH-SOU-09,CAR-002,SHIP-00023914,RETURN_RECEIVE,2025-08-06T11:24:15,2025-08-06T14:16:15,172,37,EMP-00033,2026-04-30T04:36:50.726872
DOCK-OU-09-06,WH-SOU-09,CAR-008,SHIP-00003312,INBOUND_RECEIVE,2025-12-05T13:19:48,2025-12-05T13:52:48,33,22,EMP-00118,2026-04-30T04:36:50.726872
DOCK-EN-08-23,WH-CEN-08,CAR-010,SHIP-00017215,INBOUND_RECEIVE,2025-06-24T05:02:42,2025-06-24T07:53:42,171,37,EMP-00165,2026-04-30T04:36:50.726872
DOCK-AS-06-12,WH-EAS-06,CAR-008,SHIP-00037707,OUTBOUND_SHIP,2025-09-26T19:40:57,2025-09-26T21:38:57,118,6,EMP-00183,2026-04-30T04:36:50.726872
DOCK-EN-10-01,WH-CEN-10,CAR-002,SHIP-00022539,OUTBOUND_SHIP,2025-10-04T08:19:05,2025-10-04T09:35:05,76,20,EMP-00035,2026-04-30T04:36:50.726872
DOCK-OR-05-16,WH-NOR-05,CAR-008,SHIP-00036572,OUTBOUND_SHIP,2026-04-22T03:28:24,2026-04-22T07:21:24,233,1,EMP-00138,2026-04-30T04:36:50.726872
DOCK-ES-07-09,WH-WES-07,CAR-001,SHIP-00012669,OUTBOUND_SHIP,2025-06-12T06:53:53,2025-06-12T08:11:53,78,35,EMP-00001,2026-04-30T04:36:50.726872
DOCK-AS-01-24,WH-EAS-01,CAR-008,SHIP-00006572,INBOUND_RECEIVE,2025-05-30T05:27:10,2025-05-30T08:46:10,199,2,EMP-00195,2026-04-30T04:36:50.726872
DOCK-AS-02-18,WH-EAS-02,CAR-009,SHIP-00036185,RETURN_RECEIVE,2026-01-30T18:40:59,2026-01-30T22:11:59,211,2,EMP-00140,2026-04-30T04:36:50.726872
DOCK-ES-07-21,WH-WES-07,CAR-003,SHIP-00015718,OUTBOUND_SHIP,2025-12-08T17:42:58,2025-12-08T20:55:58,193,40,EMP-00135,2026-04-30T04:36:50.726872
DOCK-OR-04-10,WH-NOR-04,CAR-006,SHIP-00017877,OUTBOUND_SHIP,2026-03-31T21:42:47,2026-03-31T22:17:47,35,30,EMP-00076,2026-04-30T04:36:50.726872
DOCK-AS-06-04,WH-EAS-06,CAR-008,SHIP-00030214,OUTBOUND_SHIP,2025-11-08T18:53:46,2025-11-08T21:42:46,169,1,EMP-00100,2026-04-30T04:36:50.726872
DOCK-AS-01-12,WH-EAS-01,CAR-003,SHIP-00003744,INBOUND_RECEIVE,2026-04-10T04:01:38,2026-04-10T07:09:38,188,9,EMP-00107,2026-04-30T04:36:50.726872
DOCK-OU-09-12,WH-SOU-09,CAR-004,SHIP-00037364,INBOUND_RECEIVE,2025-12-17T08:57:05,2025-12-17T11:09:05,132,25,EMP-00130,2026-04-30T04:36:50.726872
DOCK-AS-02-02,WH-EAS-02,CAR-003,SHIP-00018722,INBOUND_RECEIVE,2025-06-05T09:04:24,2025-06-05T12:38:24,214,3,EMP-00143,2026-04-30T04:36:50.726872
DOCK-OR-05-01,WH-NOR-05,CAR-010,SHIP-00022217,OUTBOUND_SHIP,2025-11-06T06:02:55,2025-11-06T08:09:55,127,5,EMP-00153,2026-04-30T04:36:50.726872
DOCK-AS-01-13,WH-EAS-01,CAR-007,SHIP-00039236,INBOUND_RECEIVE,2025-12-13T14:27:56,2025-12-13T17:42:56,195,5,EMP-00166,2026-04-30T04:36:50.726872
DOCK-ES-07-04,WH-WES-07,CAR-010,SHIP-00041303,OUTBOUND_SHIP,2025-08-03T05:10:10,2025-08-03T06:23:10,73,34,EMP-00200,2026-04-30T04:36:50.726872
DOCK-OU-09-20,WH-SOU-09,CAR-006,SHIP-00009208,INBOUND_RECEIVE,2025-07-04T07:41:37,2025-07-04T10:01:37,140,27,EMP-00003,2026-04-30T04:36:50.726872
DOCK-AS-02-16,WH-EAS-02,CAR-010,SHIP-00021549,OUTBOUND_SHIP,2026-01-22T13:31:25,2026-01-22T16:56:25,205,19,EMP-00174,2026-04-30T04:36:50.726872
DOCK-EN-10-07,WH-CEN-10,CAR-002,SHIP-00004405,OUTBOUND_SHIP,2025-10-20T05:05:24,2025-10-20T06:58:24,113,29,EMP-00068,2026-04-30T04:36:50.726872
DOCK-OR-05-09,WH-NOR-05,CAR-004,SHIP-00038775,OUTBOUND_SHIP,2025-12-11T23:33:28,2025-12-12T02:59:28,206,11,EMP-00138,2026-04-30T04:36:50.726872
DOCK-AS-03-06,WH-EAS-03,CAR-005,SHIP-00042989,OUTBOUND_SHIP,2026-01-18T18:37:44,2026-01-18T21:01:44,144,2,EMP-00125,2026-04-30T04:36:50.726872
DOCK-OR-05-15,WH-NOR-05,CAR-003,SHIP-00044108,INBOUND_RECEIVE,2025-07-10T21:06:48,2025-07-10T22:25:48,79,37,EMP-00025,2026-04-30T04:36:50.726872
DOCK-AS-06-19,WH-EAS-06,CAR-001,SHIP-00034731,RETURN_RECEIVE,2026-04-20T10:30:22,2026-04-20T14:09:22,219,5,EMP-00045,2026-04-30T04:36:50.726872
DOCK-OR-05-04,WH-NOR-05,CAR-003,SHIP-00038058,CROSS_DOCK,2026-01-20T07:09:47,2026-01-20T10:53:47,224,17,EMP-00138,2026-04-30T04:36:50.726872
DOCK-AS-01-05,WH-EAS-01,CAR-004,SHIP-00029794,OUTBOUND_SHIP,2025-10-10T14:53:15,2025-10-10T17:35:15,162,31,EMP-00046,2026-04-30T04:36:50.726872
DOCK-OR-05-07,WH-NOR-05,CAR-005,SHIP-00035634,INBOUND_RECEIVE,2025-06-08T18:11:04,2025-06-08T19:02:04,51,36,EMP-00138,2026-04-30T04:36:50.726872
DOCK-EN-10-18,WH-CEN-10,CAR-002,SHIP-00033157,INBOUND_RECEIVE,2025-06-09T12:48:50,2025-06-09T15:48:50,180,35,EMP-00152,2026-04-30T04:36:50.726872
DOCK-EN-08-19,WH-CEN-08,CAR-010,SHIP-00022949,CROSS_DOCK,2025-10-25T17:03:53,2025-10-25T18:56:53,113,35,EMP-00151,2026-04-30T04:36:50.726872
DOCK-ES-07-05,WH-WES-07,CAR-009,SHIP-00010886,INBOUND_RECEIVE,2026-02-12T06:41:22,2026-02-12T10:25:22,224,20,EMP-00161,2026-04-30T04:36:50.726872
DOCK-AS-01-07,WH-EAS-01,CAR-007,SHIP-00010468,INBOUND_RECEIVE,2025-12-17T12:37:55,2025-12-17T14:08:55,91,3,EMP-00107,2026-04-30T04:36:50.726872
DOCK-OR-05-23,WH-NOR-05,CAR-005,SHIP-00036821,INBOUND_RECEIVE,2026-04-22T04:04:20,2026-04-22T05:42:20,98,21,EMP-00134,2026-04-30T04:36:50.726872
DOCK-AS-02-02,WH-EAS-02,CAR-008,SHIP-00037135,CROSS_DOCK,2025-06-04T04:55:39,2025-06-04T06:24:39,89,6,EMP-00194,2026-04-30T04:36:50.726872
DOCK-AS-01-15,WH-EAS-01,CAR-007,SHIP-00026238,INBOUND_RECEIVE,2025-10-19T22:03:13,2025-10-19T23:30:13,87,38,EMP-00149,2026-04-30T04:36:50.726872
DOCK-OR-04-06,WH-NOR-04,CAR-007,SHIP-00016595,OUTBOUND_SHIP,2025-05-26T18:15:47,2025-05-26T21:40:47,205,38,EMP-00023,2026-04-30T04:36:50.726872
DOCK-OR-05-07,WH-NOR-05,CAR-003,SHIP-00004342,INBOUND_RECEIVE,2025-09-01T00:13:58,2025-09-01T01:10:58,57,2,EMP-00066,2026-04-30T04:36:50.726872
DOCK-AS-01-04,WH-EAS-01,CAR-003,SHIP-00031183,RETURN_RECEIVE,2025-09-09T08:48:03,2025-09-09T11:13:03,145,34,EMP-00041,2026-04-30T04:36:50.726872
DOCK-AS-03-02,WH-EAS-03,CAR-007,SHIP-00009801,OUTBOUND_SHIP,2025-08-22T09:44:06,2025-08-22T11:46:06,122,14,EMP-00096,2026-04-30T04:36:50.726872
DOCK-OR-04-05,WH-NOR-04,CAR-002,SHIP-00039923,RETURN_RECEIVE,2025-09-20T21:32:16,2025-09-20T22:36:16,64,29,EMP-00112,2026-04-30T04:36:50.726872
DOCK-EN-08-15,WH-CEN-08,CAR-008,SHIP-00006788,INBOUND_RECEIVE,2025-11-04T11:50:25,2025-11-04T14:17:25,147,13,EMP-00177,2026-04-30T04:36:50.726872
DOCK-EN-08-15,WH-CEN-08,CAR-007,SHIP-00028397,INBOUND_RECEIVE,2026-01-26T19:56:32,2026-01-26T21:57:32,121,38,EMP-00088,2026-04-30T04:36:50.726872
DOCK-OR-04-12,WH-NOR-04,CAR-007,SHIP-00003726,CROSS_DOCK,2025-11-13T19:12:10,2025-11-13T20:14:10,62,39,EMP-00180,2026-04-30T04:36:50.726872
DOCK-AS-03-08,WH-EAS-03,CAR-006,SHIP-00024958,INBOUND_RECEIVE,2025-12-05T05:15:34,2025-12-05T07:13:34,118,32,EMP-00168,2026-04-30T04:36:50.726872
DOCK-AS-06-12,WH-EAS-06,CAR-002,SHIP-00009759,RETURN_RECEIVE,2026-03-26T11:01:20,2026-03-26T11:57:20,56,24,EMP-00070,2026-04-30T04:36:50.726872
DOCK-AS-01-04,WH-EAS-01,CAR-004,SHIP-00042948,INBOUND_RECEIVE,2026-04-16T12:54:09,2026-04-16T16:35:09,221,5,EMP-00037,2026-04-30T04:36:50.726872
DOCK-EN-08-19,WH-CEN-08,CAR-005,SHIP-00037492,OUTBOUND_SHIP,2025-06-01T22:57:03,2025-06-01T23:42:03,45,15,EMP-00185,2026-04-30T04:36:50.726872
DOCK-OR-05-02,WH-NOR-05,CAR-006,SHIP-00021739,OUTBOUND_SHIP,2026-01-06T05:03:00,2026-01-06T08:54:00,231,2,EMP-00091,2026-04-30T04:36:50.726872
DOCK-OR-04-19,WH-NOR-04,CAR-006,SHIP-00039421,INBOUND_RECEIVE,2026-01-31T00:54:15,2026-01-31T04:01:15,187,20,EMP-00044,2026-04-30T04:36:50.726872
DOCK-OR-04-01,WH-NOR-04,CAR-006,SHIP-00016095,INBOUND_RECEIVE,2025-11-14T02:16:43,2025-11-14T05:01:43,165,26,EMP-00076,2026-04-30T04:36:50.726872
DOCK-ES-07-07,WH-WES-07,CAR-008,SHIP-00027203,CROSS_DOCK,2025-06-21T01:51:58,2025-06-21T04:13:58,142,15,EMP-00001,2026-04-30T04:36:50.726872
DOCK-ES-07-10,WH-WES-07,CAR-006,SHIP-00000646,INBOUND_RECEIVE,2026-02-20T07:02:40,2026-02-20T08:51:40,109,9,EMP-00132,2026-04-30T04:36:50.726872
DOCK-AS-06-07,WH-EAS-06,CAR-004,SHIP-00026189,OUTBOUND_SHIP,2025-12-18T03:30:48,2025-12-18T06:39:48,189,9,EMP-00191,2026-04-30T04:36:50.726872
DOCK-AS-02-04,WH-EAS-02,CAR-002,SHIP-00017330,OUTBOUND_SHIP,2025-11-15T16:11:35,2025-11-15T17:04:35,53,30,EMP-00140,2026-04-30T04:36:50.726872
DOCK-OR-05-16,WH-NOR-05,CAR-006,SHIP-00017493,RETURN_RECEIVE,2025-11-26T06:57:48,2025-11-26T09:17:48,140,23,EMP-00075,2026-04-30T04:36:50.726872
DOCK-EN-10-06,WH-CEN-10,CAR-009,SHIP-00013232,INBOUND_RECEIVE,2025-12-16T09:45:07,2025-12-16T12:23:07,158,37,EMP-00036,2026-04-30T04:36:50.726872
DOCK-AS-01-02,WH-EAS-01,CAR-010,SHIP-00015157,OUTBOUND_SHIP,2025-06-26T02:34:58,2025-06-26T06:03:58,209,19,EMP-00021,2026-04-30T04:36:50.726872
DOCK-OU-09-01,WH-SOU-09,CAR-010,SHIP-00033500,INBOUND_RECEIVE,2026-04-25T07:49:16,2026-04-25T08:24:16,35,36,EMP-00117,2026-04-30T04:36:50.726872
DOCK-AS-01-11,WH-EAS-01,CAR-006,SHIP-00042718,OUTBOUND_SHIP,2025-12-29T18:27:42,2025-12-29T22:03:42,216,2,EMP-00041,2026-04-30T04:36:50.726872
DOCK-AS-01-12,WH-EAS-01,CAR-003,SHIP-00018703,OUTBOUND_SHIP,2025-10-20T14:23:14,2025-10-20T16:52:14,149,34,EMP-00108,2026-04-30T04:36:50.726872
DOCK-OR-04-07,WH-NOR-04,CAR-002,SHIP-00030421,CROSS_DOCK,2026-03-11T04:44:07,2026-03-11T07:45:07,181,25,EMP-00008,2026-04-30T04:36:50.726872
DOCK-AS-01-18,WH-EAS-01,CAR-007,SHIP-00000416,OUTBOUND_SHIP,2025-09-10T02:12:42,2025-09-10T05:46:42,214,24,EMP-00037,2026-04-30T04:36:50.726872
DOCK-AS-01-15,WH-EAS-01,CAR-003,SHIP-00002935,INBOUND_RECEIVE,2025-08-03T01:24:30,2025-08-03T02:45:30,81,39,EMP-00188,2026-04-30T04:36:50.726872
DOCK-EN-08-21,WH-CEN-08,CAR-009,SHIP-00035350,INBOUND_RECEIVE,2026-02-12T03:24:43,2026-02-12T05:13:43,109,17,EMP-00050,2026-04-30T04:36:50.726872
DOCK-AS-06-07,WH-EAS-06,CAR-007,SHIP-00028283,OUTBOUND_SHIP,2025-10-08T02:47:16,2025-10-08T06:08:16,201,8,EMP-00073,2026-04-30T04:36:50.726872
DOCK-AS-02-22,WH-EAS-02,CAR-010,SHIP-00026899,CROSS_DOCK,2025-10-22T01:13:01,2025-10-22T04:12:01,179,21,EMP-00143,2026-04-30T04:36:50.726872
DOCK-OR-05-01,WH-NOR-05,CAR-008,SHIP-00036466,OUTBOUND_SHIP,2025-09-25T19:40:56,2025-09-25T22:41:56,181,28,EMP-00134,2026-04-30T04:36:50.726872
DOCK-AS-06-15,WH-EAS-06,CAR-008,SHIP-00023031,OUTBOUND_SHIP,2025-11-02T01:23:18,2025-11-02T05:08:18,225,7,EMP-00110,2026-04-30T04:36:50.726872
DOCK-AS-02-18,WH-EAS-02,CAR-004,SHIP-00036811,INBOUND_RECEIVE,2025-06-10T03:54:46,2025-06-10T04:37:46,43,39,EMP-00002,2026-04-30T04:36:50.726872
DOCK-EN-08-09,WH-CEN-08,CAR-004,SHIP-00004091,INBOUND_RECEIVE,2025-07-21T19:35:46,2025-07-21T22:44:46,189,9,EMP-00016,2026-04-30T04:36:50.726872
DOCK-AS-06-17,WH-EAS-06,CAR-003,SHIP-00038639,OUTBOUND_SHIP,2025-09-19T07:19:44,2025-09-19T10:36:44,197,16,EMP-00056,2026-04-30T04:36:50.726872
DOCK-OR-05-18,WH-NOR-05,CAR-009,SHIP-00023076,INBOUND_RECEIVE,2026-02-10T10:54:10,2026-02-10T14:18:10,204,22,EMP-00066,2026-04-30T04:36:50.726872
DOCK-AS-06-23,WH-EAS-06,CAR-004,SHIP-00028042,CROSS_DOCK,2025-09-20T06:55:02,2025-09-20T09:49:02,174,21,EMP-00005,2026-04-30T04:36:50.726872
DOCK-ES-07-15,WH-WES-07,CAR-002,SHIP-00025054,OUTBOUND_SHIP,2025-12-15T05:01:39,2025-12-15T07:09:39,128,8,EMP-00179,2026-04-30T04:36:50.726872
DOCK-OU-09-22,WH-SOU-09,CAR-001,SHIP-00040523,OUTBOUND_SHIP,2026-01-30T03:13:50,2026-01-30T03:59:50,46,6,EMP-00004,2026-04-30T04:36:50.726872
DOCK-EN-08-22,WH-CEN-08,CAR-004,SHIP-00010399,INBOUND_RECEIVE,2025-08-16T18:20:49,2025-08-16T19:11:49,51,19,EMP-00050,2026-04-30T04:36:50.726872
DOCK-AS-01-18,WH-EAS-01,CAR-003,SHIP-00035140,OUTBOUND_SHIP,2025-11-13T12:07:29,2025-11-13T14:19:29,132,11,EMP-00041,2026-04-30T04:36:50.726872
DOCK-AS-01-08,WH-EAS-01,CAR-008,SHIP-00009096,INBOUND_RECEIVE,2025-10-18T02:12:55,2025-10-18T03:26:55,74,32,EMP-00124,2026-04-30T04:36:50.726872
DOCK-OU-09-07,WH-SOU-09,CAR-008,SHIP-00015823,OUTBOUND_SHIP,2026-02-06T15:28:40,2026-02-06T16:50:40,82,22,EMP-00004,2026-04-30T04:36:50.726872
DOCK-OU-09-14,WH-SOU-09,CAR-007,SHIP-00039593,OUTBOUND_SHIP,2026-02-01T08:33:54,2026-02-01T09:17:54,44,29,EMP-00197,2026-04-30T04:36:50.726872
DOCK-AS-02-16,WH-EAS-02,CAR-006,SHIP-00021377,OUTBOUND_SHIP,2025-10-19T11:07:16,2025-10-19T11:59:16,52,11,EMP-00074,2026-04-30T04:36:50.726872
DOCK-AS-06-19,WH-EAS-06,CAR-006,SHIP-00033009,OUTBOUND_SHIP,2025-04-30T10:57:14,2025-04-30T12:39:14,102,17,EMP-00052,2026-04-30T04:36:50.726872
DOCK-AS-01-13,WH-EAS-01,CAR-010,SHIP-00026129,INBOUND_RECEIVE,2026-03-01T04:55:52,2026-03-01T07:55:52,180,9,EMP-00195,2026-04-30T04:36:50.726872
