shift_id,employee_id,warehouse_id,shift_date,shift_type,zone_assigned,start_time,end_time,hours_worked,picks_completed,units_processed,_ingested_at
SHIFT-000000012,EMP-00180,WH-WES-07,2025-06-06,MORNING,ZONE-D,06:00:00,15:00:00,9.1,244,147,2026-04-30T04:36:50.726872
SHIFT-000000013,EMP-00190,WH-SOU-09,2026-01-04,AFTERNOON,ZONE-A,14:00:00,21:00:00,7.7,150,1183,2026-04-30T04:36:50.726872
SHIFT-000000014,EMP-00100,WH-NOR-05,2025-12-12,AFTERNOON,RECEIVING,14:00:00,23:00:00,9.5,229,1300,2026-04-30T04:36:50.726872
SHIFT-000000015,EMP-00120,WH-CEN-08,2026-01-31,NIGHT,SHIPPING,22:00:00,06:00:00,8.4,189,310,2026-04-30T04:36:50.726872
SHIFT-000000016,EMP-00146,WH-CEN-10,2025-12-25,NIGHT,ZONE-D,22:00:00,06:00:00,8.3,186,1107,2026-04-30T04:36:50.726872
SHIFT-000000017,EMP-00156,WH-EAS-03,2025-12-15,MORNING,ZONE-C,06:00:00,14:00:00,8.9,392,1114,2026-04-30T04:36:50.726872
SHIFT-000000018,EMP-00021,WH-NOR-04,2026-02-21,MORNING,ZONE-E,06:00:00,14:00:00,8.0,62,404,2026-04-30T04:36:50.726872
SHIFT-000000019,EMP-00059,WH-NOR-05,2025-06-27,AFTERNOON,ZONE-D,14:00:00,22:00:00,8.0,253,977,2026-04-30T04:36:50.726872
SHIFT-000000020,EMP-00072,WH-EAS-06,2026-04-21,MORNING,RECEIVING,06:00:00,14:00:00,8.3,357,680,2026-04-30T04:36:50.726872
SHIFT-000000021,EMP-00155,WH-EAS-02,2025-11-22,AFTERNOON,ZONE-A,14:00:00,22:00:00,8.6,92,229,2026-04-30T04:36:50.726872
SHIFT-000000022,EMP-00083,WH-CEN-08,2026-04-26,NIGHT,ZONE-C,22:00:00,06:00:00,8.9,118,957,2026-04-30T04:36:50.726872
SHIFT-000000023,EMP-00165,WH-WES-07,2026-02-04,AFTERNOON,ZONE-E,14:00:00,21:00:00,7.6,337,823,2026-04-30T04:36:50.726872
SHIFT-000000024,EMP-00037,WH-SOU-09,2025-11-21,AFTERNOON,ZONE-C,14:00:00,22:00:00,8.3,275,818,2026-04-30T04:36:50.726872
SHIFT-000000025,EMP-00145,WH-EAS-06,2025-06-24,NIGHT,ZONE-E,22:00:00,07:00:00,9.0,81,1078,2026-04-30T04:36:50.726872
SHIFT-000000026,EMP-00022,WH-CEN-08,2026-04-18,AFTERNOON,RECEIVING,14:00:00,22:00:00,8.1,202,1260,2026-04-30T04:36:50.726872
SHIFT-000000027,EMP-00197,WH-EAS-03,2026-04-28,MORNING,ZONE-A,06:00:00,15:00:00,9.3,57,221,2026-04-30T04:36:50.726872
SHIFT-000000028,EMP-00094,WH-NOR-05,2025-12-20,MORNING,ZONE-D,06:00:00,14:00:00,8.3,365,1266,2026-04-30T04:36:50.726872
SHIFT-000000029,EMP-00164,WH-EAS-06,2025-08-17,NIGHT,ZONE-B,22:00:00,06:00:00,8.0,249,740,2026-04-30T04:36:50.726872
SHIFT-000000030,EMP-00060,WH-EAS-06,2025-12-24,MORNING,ZONE-D,06:00:00,14:00:00,8.3,328,1471,2026-04-30T04:36:50.726872
SHIFT-000000031,EMP-00132,WH-EAS-03,2025-11-25,NIGHT,SHIPPING,22:00:00,07:00:00,9.3,119,586,2026-04-30T04:36:50.726872
SHIFT-000000032,EMP-00183,WH-NOR-05,2026-02-09,NIGHT,ZONE-A,22:00:00,05:00:00,7.6,282,766,2026-04-30T04:36:50.726872
SHIFT-000000033,EMP-00050,WH-EAS-02,2025-12-30,AFTERNOON,SHIPPING,14:00:00,23:00:00,9.0,386,239,2026-04-30T04:36:50.726872
SHIFT-000000034,EMP-00001,WH-EAS-06,2026-03-14,MORNING,RECEIVING,06:00:00,16:00:00,10.0,171,963,2026-04-30T04:36:50.726872
SHIFT-000000035,EMP-00115,WH-CEN-08,2025-10-14,NIGHT,SHIPPING,22:00:00,07:00:00,9.3,209,1148,2026-04-30T04:36:50.726872
SHIFT-000000036,EMP-00091,WH-EAS-02,2025-09-28,MORNING,ZONE-D,06:00:00,15:00:00,9.0,143,1269,2026-04-30T04:36:50.726872
SHIFT-000000037,EMP-00194,WH-CEN-10,2025-12-27,MORNING,ZONE-C,06:00:00,15:00:00,9.4,242,913,2026-04-30T04:36:50.726872
SHIFT-000000038,EMP-00042,WH-CEN-08,2026-03-11,NIGHT,ZONE-E,22:00:00,06:00:00,8.3,115,247,2026-04-30T04:36:50.726872
SHIFT-000000039,EMP-00014,WH-NOR-04,2026-02-07,NIGHT,ZONE-D,22:00:00,07:00:00,9.3,332,1315,2026-04-30T04:36:50.726872
SHIFT-000000040,EMP-00043,WH-CEN-10,2025-10-06,AFTERNOON,ZONE-C,14:00:00,22:00:00,8.5,118,1417,2026-04-30T04:36:50.726872
SHIFT-000000041,EMP-00153,WH-NOR-04,2025-07-21,MORNING,ZONE-D,06:00:00,14:00:00,8.0,88,210,2026-04-30T04:36:50.726872
SHIFT-000000042,EMP-00109,WH-EAS-06,2025-09-18,AFTERNOON,ZONE-E,14:00:00,23:00:00,9.8,223,440,2026-04-30T04:36:50.726872
SHIFT-000000043,EMP-00145,WH-EAS-02,2026-03-12,AFTERNOON,SHIPPING,14:00:00,23:00:00,9.0,252,1220,2026-04-30T04:36:50.726872
SHIFT-000000044,EMP-00006,WH-CEN-08,2025-12-04,MORNING,SHIPPING,06:00:00,14:00:00,8.6,136,554,2026-04-30T04:36:50.726872
SHIFT-000000045,EMP-00176,WH-EAS-02,2025-08-16,NIGHT,ZONE-B,22:00:00,07:00:00,9.3,106,354,2026-04-30T04:36:50.726872
SHIFT-000000046,EMP-00196,WH-EAS-06,2025-09-30,MORNING,ZONE-B,06:00:00,15:00:00,9.6,146,554,2026-04-30T04:36:50.726872
SHIFT-000000047,EMP-00066,WH-NOR-05,2025-07-13,AFTERNOON,RECEIVING,14:00:00,23:00:00,9.0,57,272,2026-04-30T04:36:50.726872
SHIFT-000000048,EMP-00115,WH-EAS-06,2025-09-08,AFTERNOON,ZONE-E,14:00:00,23:00:00,9.3,72,313,2026-04-30T04:36:50.726872
SHIFT-000000049,EMP-00086,WH-CEN-08,2025-10-25,AFTERNOON,ZONE-B,14:00:00,23:00:00,9.7,397,122,2026-04-30T04:36:50.726872
SHIFT-000000050,EMP-00152,WH-EAS-03,2025-07-28,AFTERNOON,RECEIVING,14:00:00,22:00:00,8.6,145,394,2026-04-30T04:36:50.726872
SHIFT-000000051,EMP-00011,WH-EAS-02,2026-02-04,AFTERNOON,ZONE-B,14:00:00,22:00:00,8.8,271,1136,2026-04-30T04:36:50.726872
SHIFT-000000052,EMP-00168,WH-NOR-05,2026-01-28,MORNING,RECEIVING,06:00:00,15:00:00,9.8,63,676,2026-04-30T04:36:50.726872
SHIFT-000000053,EMP-00171,WH-SOU-09,2025-07-10,NIGHT,ZONE-B,22:00:00,07:00:00,9.2,108,719,2026-04-30T04:36:50.726872
SHIFT-000000054,EMP-00172,WH-EAS-02,2025-10-11,MORNING,ZONE-C,06:00:00,15:00:00,9.7,277,252,2026-04-30T04:36:50.726872
SHIFT-000000055,EMP-00037,WH-NOR-04,2026-03-30,MORNING,ZONE-C,06:00:00,15:00:00,9.7,183,1463,2026-04-30T04:36:50.726872
SHIFT-000000056,EMP-00081,WH-SOU-09,2025-12-13,NIGHT,RECEIVING,22:00:00,05:00:00,7.9,127,669,2026-04-30T04:36:50.726872
SHIFT-000000057,EMP-00191,WH-SOU-09,2025-08-03,MORNING,ZONE-E,06:00:00,14:00:00,8.5,380,732,2026-04-30T04:36:50.726872
SHIFT-000000058,EMP-00137,WH-EAS-06,2025-05-08,MORNING,ZONE-B,06:00:00,14:00:00,8.2,179,1150,2026-04-30T04:36:50.726872
SHIFT-000000059,EMP-00084,WH-EAS-06,2025-11-03,NIGHT,ZONE-E,22:00:00,07:00:00,9.1,285,777,2026-04-30T04:36:50.726872
SHIFT-000000060,EMP-00127,WH-EAS-01,2026-02-20,NIGHT,ZONE-A,22:00:00,06:00:00,8.5,268,447,2026-04-30T04:36:50.726872
SHIFT-000000061,EMP-00099,WH-EAS-02,2025-05-04,NIGHT,RECEIVING,22:00:00,07:00:00,9.8,116,234,2026-04-30T04:36:50.726872
SHIFT-000000062,EMP-00199,WH-EAS-03,2025-10-03,NIGHT,ZONE-B,22:00:00,06:00:00,8.3,274,1180,2026-04-30T04:36:50.726872
SHIFT-000000063,EMP-00110,WH-EAS-01,2025-08-10,NIGHT,ZONE-C,22:00:00,07:00:00,9.7,54,1196,2026-04-30T04:36:50.726872
SHIFT-000000064,EMP-00124,WH-WES-07,2025-09-09,AFTERNOON,ZONE-B,14:00:00,23:00:00,9.2,258,1023,2026-04-30T04:36:50.726872
SHIFT-000000065,EMP-00089,WH-SOU-09,2025-12-20,MORNING,ZONE-E,06:00:00,15:00:00,9.7,197,218,2026-04-30T04:36:50.726872
SHIFT-000000066,EMP-00025,WH-NOR-04,2025-10-03,NIGHT,ZONE-A,22:00:00,06:00:00,8.7,270,351,2026-04-30T04:36:50.726872
SHIFT-000000067,EMP-00070,WH-EAS-02,2025-07-13,AFTERNOON,ZONE-A,14:00:00,21:00:00,7.8,113,857,2026-04-30T04:36:50.726872
SHIFT-000000068,EMP-00130,WH-EAS-06,2025-07-14,NIGHT,ZONE-A,22:00:00,06:00:00,8.6,176,1416,2026-04-30T04:36:50.726872
SHIFT-000000069,EMP-00084,WH-CEN-08,2026-02-14,AFTERNOON,ZONE-B,14:00:00,22:00:00,8.8,88,158,2026-04-30T04:36:50.726872
SHIFT-000000070,EMP-00064,WH-SOU-09,2026-03-01,NIGHT,RECEIVING,22:00:00,07:00:00,9.9,116,606,2026-04-30T04:36:50.726872
SHIFT-000000071,EMP-00005,WH-EAS-01,2025-11-14,AFTERNOON,ZONE-D,14:00:00,23:00:00,9.5,68,1470,2026-04-30T04:36:50.726872
SHIFT-000000072,EMP-00029,WH-SOU-09,2026-04-24,NIGHT,ZONE-C,22:00:00,07:00:00,9.0,206,894,2026-04-30T04:36:50.726872
SHIFT-000000073,EMP-00051,WH-NOR-04,2025-08-08,AFTERNOON,SHIPPING,14:00:00,21:00:00,7.8,359,982,2026-04-30T04:36:50.726872
SHIFT-000000074,EMP-00048,WH-SOU-09,2025-11-13,MORNING,RECEIVING,06:00:00,14:00:00,8.8,339,666,2026-04-30T04:36:50.726872
SHIFT-000000075,EMP-00034,WH-NOR-04,2026-03-18,AFTERNOON,ZONE-E,14:00:00,22:00:00,8.7,251,269,2026-04-30T04:36:50.726872
SHIFT-000000076,EMP-00025,WH-CEN-10,2025-12-21,AFTERNOON,ZONE-C,14:00:00,22:00:00,8.2,93,298,2026-04-30T04:36:50.726872
SHIFT-000000077,EMP-00182,WH-EAS-02,2026-01-10,NIGHT,ZONE-B,22:00:00,07:00:00,9.7,223,1413,2026-04-30T04:36:50.726872
SHIFT-000000078,EMP-00151,WH-CEN-08,2025-07-10,NIGHT,ZONE-C,22:00:00,07:00:00,9.7,50,207,2026-04-30T04:36:50.726872
SHIFT-000000079,EMP-00172,WH-WES-07,2025-06-14,MORNING,ZONE-C,06:00:00,15:00:00,9.8,251,1243,2026-04-30T04:36:50.726872
SHIFT-000000080,EMP-00131,WH-NOR-05,2025-06-24,MORNING,SHIPPING,06:00:00,14:00:00,8.6,367,550,2026-04-30T04:36:50.726872
SHIFT-000000081,EMP-00093,WH-EAS-02,2025-07-30,AFTERNOON,ZONE-C,14:00:00,23:00:00,9.7,98,611,2026-04-30T04:36:50.726872
SHIFT-000000082,EMP-00198,WH-EAS-06,2025-10-30,NIGHT,ZONE-D,22:00:00,05:00:00,7.8,141,525,2026-04-30T04:36:50.726872
SHIFT-000000083,EMP-00069,WH-EAS-03,2025-06-19,AFTERNOON,ZONE-B,14:00:00,23:00:00,9.8,240,341,2026-04-30T04:36:50.726872
SHIFT-000000084,EMP-00182,WH-EAS-03,2026-01-21,NIGHT,ZONE-A,22:00:00,07:00:00,9.4,310,1437,2026-04-30T04:36:50.726872
SHIFT-000000085,EMP-00134,WH-EAS-01,2025-12-04,MORNING,ZONE-E,06:00:00,14:00:00,8.9,362,1058,2026-04-30T04:36:50.726872
SHIFT-000000086,EMP-00110,WH-CEN-08,2025-09-24,MORNING,RECEIVING,06:00:00,14:00:00,8.5,147,1379,2026-04-30T04:36:50.726872
SHIFT-000000087,EMP-00148,WH-SOU-09,2025-12-07,MORNING,SHIPPING,06:00:00,14:00:00,8.5,178,748,2026-04-30T04:36:50.726872
SHIFT-000000088,EMP-00100,WH-CEN-08,2025-05-26,MORNING,ZONE-E,06:00:00,14:00:00,8.6,224,1206,2026-04-30T04:36:50.726872
SHIFT-000000089,EMP-00044,WH-EAS-03,2025-10-05,MORNING,SHIPPING,06:00:00,15:00:00,9.1,351,1296,2026-04-30T04:36:50.726872
SHIFT-000000090,EMP-00106,WH-WES-07,2026-04-19,MORNING,ZONE-A,06:00:00,16:00:00,10.0,57,1072,2026-04-30T04:36:50.726872
SHIFT-000000091,EMP-00075,WH-EAS-01,2026-01-22,MORNING,ZONE-A,06:00:00,15:00:00,9.4,70,816,2026-04-30T04:36:50.726872
SHIFT-000000092,EMP-00085,WH-NOR-04,2025-11-24,AFTERNOON,ZONE-E,14:00:00,22:00:00,8.7,344,1246,2026-04-30T04:36:50.726872
SHIFT-000000093,EMP-00068,WH-CEN-08,2025-08-08,AFTERNOON,ZONE-B,14:00:00,22:00:00,8.7,214,1105,2026-04-30T04:36:50.726872
SHIFT-000000094,EMP-00066,WH-WES-07,2026-01-21,NIGHT,ZONE-C,22:00:00,08:00:00,10.0,266,1045,2026-04-30T04:36:50.726872
SHIFT-000000095,EMP-00077,WH-EAS-02,2026-01-02,NIGHT,ZONE-B,22:00:00,06:00:00,8.0,173,862,2026-04-30T04:36:50.726872
SHIFT-000000096,EMP-00181,WH-EAS-06,2025-06-22,NIGHT,ZONE-E,22:00:00,05:00:00,7.9,107,797,2026-04-30T04:36:50.726872
SHIFT-000000097,EMP-00059,WH-EAS-06,2026-03-30,MORNING,ZONE-B,06:00:00,13:00:00,7.7,147,261,2026-04-30T04:36:50.726872
SHIFT-000000098,EMP-00023,WH-EAS-01,2025-07-10,AFTERNOON,ZONE-E,14:00:00,23:00:00,9.5,59,469,2026-04-30T04:36:50.726872
SHIFT-000000099,EMP-00156,WH-EAS-06,2026-04-18,MORNING,ZONE-A,06:00:00,16:00:00,10.0,99,1488,2026-04-30T04:36:50.726872
SHIFT-000000100,EMP-00084,WH-CEN-08,2026-04-08,AFTERNOON,ZONE-C,14:00:00,23:00:00,9.0,171,1465,2026-04-30T04:36:50.726872
SHIFT-000000101,EMP-00170,WH-NOR-04,2025-06-28,NIGHT,ZONE-C,22:00:00,07:00:00,9.1,257,419,2026-04-30T04:36:50.726872
SHIFT-000000102,EMP-00058,WH-EAS-01,2026-01-03,MORNING,RECEIVING,06:00:00,15:00:00,9.2,343,900,2026-04-30T04:36:50.726872
SHIFT-000000103,EMP-00031,WH-WES-07,2025-11-19,NIGHT,ZONE-D,22:00:00,06:00:00,8.9,152,1190,2026-04-30T04:36:50.726872
SHIFT-000000104,EMP-00062,WH-SOU-09,2025-08-17,AFTERNOON,ZONE-E,14:00:00,22:00:00,8.1,293,1105,2026-04-30T04:36:50.726872
SHIFT-000000105,EMP-00036,WH-EAS-01,2025-09-08,NIGHT,ZONE-E,22:00:00,06:00:00,8.8,63,955,2026-04-30T04:36:50.726872
SHIFT-000000106,EMP-00141,WH-EAS-02,2025-12-06,MORNING,ZONE-E,06:00:00,16:00:00,10.0,170,1093,2026-04-30T04:36:50.726872
SHIFT-000000107,EMP-00077,WH-NOR-04,2025-06-10,MORNING,ZONE-B,06:00:00,14:00:00,8.7,396,214,2026-04-30T04:36:50.726872
SHIFT-000000108,EMP-00190,WH-CEN-08,2025-09-30,MORNING,ZONE-D,06:00:00,15:00:00,9.7,133,364,2026-04-30T04:36:50.726872
SHIFT-000000109,EMP-00112,WH-NOR-05,2025-09-16,NIGHT,RECEIVING,22:00:00,07:00:00,9.7,248,444,2026-04-30T04:36:50.726872
SHIFT-000000110,EMP-00144,WH-EAS-01,2026-03-10,NIGHT,ZONE-B,22:00:00,06:00:00,8.6,73,527,2026-04-30T04:36:50.726872
SHIFT-000000111,EMP-00167,WH-WES-07,2026-02-06,MORNING,RECEIVING,06:00:00,13:00:00,7.5,347,390,2026-04-30T04:36:50.726872
SHIFT-000000112,EMP-00066,WH-CEN-08,2025-10-16,NIGHT,ZONE-B,22:00:00,07:00:00,9.8,295,624,2026-04-30T04:36:50.726872
SHIFT-000000113,EMP-00134,WH-EAS-06,2025-06-12,MORNING,ZONE-D,06:00:00,15:00:00,9.5,128,120,2026-04-30T04:36:50.726872
SHIFT-000000114,EMP-00103,WH-EAS-03,2025-10-19,AFTERNOON,ZONE-C,14:00:00,23:00:00,9.4,228,327,2026-04-30T04:36:50.726872
SHIFT-000000115,EMP-00177,WH-EAS-03,2025-07-12,MORNING,ZONE-E,06:00:00,14:00:00,8.5,80,1442,2026-04-30T04:36:50.726872
SHIFT-000000116,EMP-00078,WH-EAS-03,2026-03-14,NIGHT,ZONE-A,22:00:00,06:00:00,8.0,236,910,2026-04-30T04:36:50.726872
SHIFT-000000117,EMP-00107,WH-EAS-01,2025-11-28,MORNING,ZONE-E,06:00:00,13:00:00,7.7,71,416,2026-04-30T04:36:50.726872
SHIFT-000000118,EMP-00051,WH-EAS-03,2025-10-31,MORNING,ZONE-B,06:00:00,15:00:00,9.0,219,1016,2026-04-30T04:36:50.726872
SHIFT-000000119,EMP-00056,WH-EAS-03,2025-07-11,AFTERNOON,ZONE-E,14:00:00,21:00:00,7.6,205,661,2026-04-30T04:36:50.726872
SHIFT-000000120,EMP-00089,WH-CEN-08,2025-07-25,MORNING,ZONE-B,06:00:00,15:00:00,9.5,176,1343,2026-04-30T04:36:50.726872
SHIFT-000000121,EMP-00156,WH-EAS-03,2025-08-23,MORNING,ZONE-E,06:00:00,14:00:00,8.7,309,1168,2026-04-30T04:36:50.726872
SHIFT-000000122,EMP-00003,WH-EAS-02,2025-09-22,AFTERNOON,ZONE-A,14:00:00,23:00:00,9.6,188,1480,2026-04-30T04:36:50.726872
SHIFT-000000123,EMP-00006,WH-NOR-05,2026-02-10,MORNING,RECEIVING,06:00:00,15:00:00,9.6,340,995,2026-04-30T04:36:50.726872
SHIFT-000000124,EMP-00023,WH-EAS-06,2025-10-15,NIGHT,ZONE-D,22:00:00,05:00:00,7.6,398,183,2026-04-30T04:36:50.726872
SHIFT-000000125,EMP-00068,WH-SOU-09,2025-05-09,MORNING,ZONE-B,06:00:00,14:00:00,8.4,224,1263,2026-04-30T04:36:50.726872
SHIFT-000000126,EMP-00044,WH-EAS-06,2025-10-07,AFTERNOON,ZONE-A,14:00:00,23:00:00,9.0,57,1497,2026-04-30T04:36:50.726872
SHIFT-000000127,EMP-00055,WH-EAS-03,2025-07-28,AFTERNOON,ZONE-D,14:00:00,22:00:00,8.7,333,267,2026-04-30T04:36:50.726872
SHIFT-000000128,EMP-00100,WH-EAS-03,2025-05-17,NIGHT,ZONE-D,22:00:00,05:00:00,7.6,88,1484,2026-04-30T04:36:50.726872
SHIFT-000000129,EMP-00123,WH-NOR-04,2025-09-16,AFTERNOON,ZONE-E,14:00:00,22:00:00,8.8,200,1108,2026-04-30T04:36:50.726872
SHIFT-000000130,EMP-00142,WH-EAS-02,2025-08-15,MORNING,ZONE-E,06:00:00,15:00:00,9.3,84,538,2026-04-30T04:36:50.726872
SHIFT-000000131,EMP-00054,WH-EAS-06,2025-05-22,AFTERNOON,SHIPPING,14:00:00,23:00:00,9.3,154,147,2026-04-30T04:36:50.726872
SHIFT-000000132,EMP-00076,WH-CEN-08,2025-08-17,AFTERNOON,SHIPPING,14:00:00,23:00:00,9.9,258,217,2026-04-30T04:36:50.726872
SHIFT-000000133,EMP-00060,WH-EAS-06,2025-06-06,NIGHT,RECEIVING,22:00:00,07:00:00,9.1,65,1396,2026-04-30T04:36:50.726872
SHIFT-000000134,EMP-00010,WH-SOU-09,2026-02-05,MORNING,ZONE-C,06:00:00,14:00:00,8.1,126,149,2026-04-30T04:36:50.726872
SHIFT-000000135,EMP-00085,WH-EAS-03,2025-12-19,AFTERNOON,ZONE-A,14:00:00,23:00:00,9.1,356,1404,2026-04-30T04:36:50.726872
SHIFT-000000136,EMP-00142,WH-CEN-08,2026-01-05,AFTERNOON,ZONE-C,14:00:00,22:00:00,8.8,193,464,2026-04-30T04:36:50.726872
SHIFT-000000137,EMP-00110,WH-EAS-06,2025-05-18,MORNING,SHIPPING,06:00:00,14:00:00,8.2,341,1388,2026-04-30T04:36:50.726872
SHIFT-000000138,EMP-00190,WH-CEN-10,2025-12-14,MORNING,ZONE-A,06:00:00,14:00:00,8.6,138,951,2026-04-30T04:36:50.726872
SHIFT-000000139,EMP-00066,WH-EAS-06,2025-08-27,AFTERNOON,ZONE-A,14:00:00,21:00:00,7.5,208,731,2026-04-30T04:36:50.726872
SHIFT-000000140,EMP-00103,WH-EAS-06,2025-06-08,NIGHT,ZONE-D,22:00:00,06:00:00,8.5,155,903,2026-04-30T04:36:50.726872
SHIFT-000000141,EMP-00071,WH-EAS-02,2025-07-28,AFTERNOON,ZONE-E,14:00:00,23:00:00,9.9,373,388,2026-04-30T04:36:50.726872
SHIFT-000000142,EMP-00191,WH-NOR-04,2025-12-17,NIGHT,SHIPPING,22:00:00,06:00:00,8.3,143,757,2026-04-30T04:36:50.726872
SHIFT-000000143,EMP-00178,WH-CEN-10,2026-01-03,NIGHT,ZONE-A,22:00:00,06:00:00,8.2,263,1322,2026-04-30T04:36:50.726872
SHIFT-000000144,EMP-00103,WH-EAS-03,2026-04-01,MORNING,ZONE-D,06:00:00,14:00:00,8.7,381,1138,2026-04-30T04:36:50.726872
SHIFT-000000145,EMP-00151,WH-EAS-01,2025-10-13,MORNING,RECEIVING,06:00:00,15:00:00,9.1,117,491,2026-04-30T04:36:50.726872
SHIFT-000000146,EMP-00085,WH-EAS-03,2025-10-16,MORNING,ZONE-D,06:00:00,16:00:00,10.0,321,369,2026-04-30T04:36:50.726872
SHIFT-000000147,EMP-00103,WH-EAS-02,2025-09-15,MORNING,ZONE-A,06:00:00,14:00:00,8.2,352,382,2026-04-30T04:36:50.726872
SHIFT-000000148,EMP-00156,WH-NOR-04,2025-10-04,MORNING,ZONE-A,06:00:00,15:00:00,9.2,151,104,2026-04-30T04:36:50.726872
SHIFT-000000149,EMP-00139,WH-SOU-09,2025-09-08,NIGHT,ZONE-E,22:00:00,07:00:00,9.0,105,548,2026-04-30T04:36:50.726872
SHIFT-000000150,EMP-00060,WH-EAS-02,2026-03-22,MORNING,SHIPPING,06:00:00,14:00:00,8.8,54,546,2026-04-30T04:36:50.726872
SHIFT-000000151,EMP-00076,WH-CEN-10,2025-05-05,AFTERNOON,ZONE-C,14:00:00,22:00:00,8.1,129,295,2026-04-30T04:36:50.726872
SHIFT-000000152,EMP-00080,WH-CEN-10,2025-10-13,NIGHT,ZONE-C,22:00:00,07:00:00,9.9,388,1230,2026-04-30T04:36:50.726872
SHIFT-000000153,EMP-00137,WH-EAS-01,2026-01-31,AFTERNOON,ZONE-B,14:00:00,23:00:00,9.7,383,1054,2026-04-30T04:36:50.726872
SHIFT-000000154,EMP-00037,WH-CEN-08,2025-09-24,NIGHT,RECEIVING,22:00:00,06:00:00,8.5,374,1239,2026-04-30T04:36:50.726872
SHIFT-000000155,EMP-00132,WH-CEN-10,2026-01-21,NIGHT,SHIPPING,22:00:00,07:00:00,9.5,357,105,2026-04-30T04:36:50.726872
SHIFT-000000156,EMP-00097,WH-CEN-10,2025-07-21,NIGHT,ZONE-B,22:00:00,07:00:00,9.1,100,1198,2026-04-30T04:36:50.726872
SHIFT-000000157,EMP-00145,WH-CEN-08,2025-09-14,MORNING,ZONE-C,06:00:00,16:00:00,10.0,285,1095,2026-04-30T04:36:50.726872
SHIFT-000000158,EMP-00006,WH-SOU-09,2025-10-30,AFTERNOON,SHIPPING,14:00:00,23:00:00,9.0,194,193,2026-04-30T04:36:50.726872
SHIFT-000000159,EMP-00080,WH-WES-07,2026-03-17,AFTERNOON,SHIPPING,14:00:00,22:00:00,8.2,150,619,2026-04-30T04:36:50.726872
SHIFT-000000160,EMP-00068,WH-CEN-10,2025-10-12,AFTERNOON,ZONE-C,14:00:00,21:00:00,7.8,288,491,2026-04-30T04:36:50.726872
SHIFT-000000161,EMP-00176,WH-CEN-08,2026-02-06,AFTERNOON,ZONE-D,14:00:00,22:00:00,8.1,367,269,2026-04-30T04:36:50.726872
SHIFT-000000162,EMP-00084,WH-SOU-09,2025-09-22,AFTERNOON,ZONE-B,14:00:00,21:00:00,7.7,375,388,2026-04-30T04:36:50.726872
SHIFT-000000163,EMP-00115,WH-WES-07,2026-04-19,NIGHT,ZONE-D,22:00:00,06:00:00,8.3,361,218,2026-04-30T04:36:50.726872
SHIFT-000000164,EMP-00066,WH-EAS-01,2026-02-26,AFTERNOON,SHIPPING,14:00:00,23:00:00,9.2,282,363,2026-04-30T04:36:50.726872
SHIFT-000000165,EMP-00085,WH-EAS-06,2025-11-27,MORNING,ZONE-E,06:00:00,14:00:00,8.7,128,447,2026-04-30T04:36:50.726872
SHIFT-000000166,EMP-00094,WH-CEN-10,2025-11-30,MORNING,SHIPPING,06:00:00,13:00:00,7.6,109,203,2026-04-30T04:36:50.726872
SHIFT-000000167,EMP-00093,WH-SOU-09,2025-07-07,AFTERNOON,ZONE-B,14:00:00,23:00:00,9.8,236,1180,2026-04-30T04:36:50.726872
