shipment_id,order_id,carrier_id,tracking_number,ship_date,estimated_delivery,actual_delivery,status,weight_lbs,shipping_cost,is_on_time,num_packages,origin_warehouse_id,_ingested_at
SHIP-00000021,ORD-00000026,CAR-006,1Z121575394291702,2025-11-20,2025-11-27,2025-11-30,DELIVERED,121.3,168.78,False,10,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000022,ORD-00000027,CAR-006,1Z487239145587832,2025-01-04,2025-01-08,,SHIPPED,67.9,163.98,True,1,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000023,ORD-00000028,CAR-001,1Z030285420502895,2024-12-12,2024-12-15,2024-12-15,DELIVERED,108.9,128.96,True,8,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000024,ORD-00000033,CAR-001,1Z778057368266303,2024-10-27,2024-10-29,,SHIPPED,20.4,26.69,True,7,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000025,ORD-00000034,CAR-006,1Z441225236004069,2024-11-28,2024-12-02,,SHIPPED,41.1,21.46,True,7,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000026,ORD-00000036,CAR-009,1Z722799155887724,2025-02-26,2025-03-02,,SHIPPED,147.6,219.83,True,4,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000027,ORD-00000039,CAR-005,1Z725340124717709,2025-11-09,2025-11-11,2025-11-14,DELIVERED,19.1,13.42,False,5,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000028,ORD-00000040,CAR-008,1Z021403157118353,2024-06-16,2024-06-22,,SHIPPED,19.3,27.51,True,6,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000029,ORD-00000042,CAR-006,1Z433450074841334,2025-06-08,2025-06-14,2025-06-14,DELIVERED,33.1,29.75,True,3,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000030,ORD-00000043,CAR-004,1Z035245611288724,2025-04-06,2025-04-10,,SHIPPED,32.5,27.37,True,1,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000031,ORD-00000044,CAR-001,1Z715653939195619,2026-03-04,2026-03-07,2026-03-12,DELIVERED,114.1,239.66,False,5,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000032,ORD-00000045,CAR-002,1Z968236180975284,2024-06-24,2024-06-26,2024-06-26,DELIVERED,83.2,183.08,True,1,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000033,ORD-00000046,CAR-008,1Z916301017888429,2025-01-12,2025-01-17,,SHIPPED,66.1,29.8,True,5,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000034,ORD-00000048,CAR-009,1Z464019800599305,2025-02-26,2025-03-04,,SHIPPED,67.5,66.52,True,3,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000035,ORD-00000053,CAR-007,1Z250182070788864,2025-10-22,2025-10-28,2025-10-28,DELIVERED,145.6,303.51,True,9,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000036,ORD-00000055,CAR-004,1Z893810341171686,2026-04-21,2026-04-28,2026-04-28,DELIVERED,80.1,125.07,True,7,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000037,ORD-00000060,CAR-009,1Z490539427559758,2026-02-17,2026-02-24,,SHIPPED,10.9,19.48,True,6,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000038,ORD-00000061,CAR-010,1Z132652871522052,2026-04-09,2026-04-16,2026-04-16,DELIVERED,87.7,117.2,True,8,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000039,ORD-00000062,CAR-010,1Z495293093587223,2024-08-29,2024-09-01,,SHIPPED,77.2,38.73,True,8,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000040,ORD-00000064,CAR-003,1Z612368840353726,2025-01-26,2025-01-28,,SHIPPED,145.3,206.56,True,1,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000041,ORD-00000065,CAR-002,1Z149953938692277,2025-12-13,2025-12-17,,SHIPPED,63.5,96.61,True,10,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000042,ORD-00000067,CAR-007,1Z586690092389586,2026-04-09,2026-04-16,2026-04-21,DELIVERED,98.8,110.4,False,2,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000043,ORD-00000068,CAR-009,1Z872668348851797,2025-06-16,2025-06-20,2025-06-20,DELIVERED,46.6,69.76,True,8,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000044,ORD-00000069,CAR-009,1Z700891600732835,2025-10-18,2025-10-23,2025-10-26,DELIVERED,65.1,120.43,False,2,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000045,ORD-00000070,CAR-010,1Z985632168202275,2025-05-07,2025-05-13,2025-05-13,DELIVERED,90.2,86.73,True,5,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000046,ORD-00000071,CAR-007,1Z873334727760132,2025-06-01,2025-06-03,,SHIPPED,135.7,86.89,True,9,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000047,ORD-00000072,CAR-007,1Z808666887398699,2025-05-03,2025-05-06,2025-05-06,DELIVERED,75.2,89.04,True,9,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000048,ORD-00000073,CAR-006,1Z830097818923148,2025-04-10,2025-04-13,2025-04-14,DELIVERED,43.7,27.16,False,9,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000049,ORD-00000074,CAR-008,1Z536084533375549,2025-05-09,2025-05-15,,SHIPPED,120.2,109.8,True,9,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000050,ORD-00000075,CAR-005,1Z656391128658183,2025-09-21,2025-09-25,,SHIPPED,9.8,14.23,True,7,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000051,ORD-00000076,CAR-005,1Z749260768403377,2024-07-01,2024-07-03,2024-07-03,DELIVERED,85.6,200.46,True,4,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00000052,ORD-00000078,CAR-002,1Z474766869381930,2025-09-27,2025-10-04,2025-10-04,DELIVERED,17.6,24.04,True,5,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000053,ORD-00000079,CAR-009,1Z564543010989894,2026-02-10,2026-02-16,2026-02-16,DELIVERED,109.5,183.61,True,5,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00000054,ORD-00000080,CAR-006,1Z159236803604323,2024-08-15,2024-08-21,,SHIPPED,66.7,61.23,True,2,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00000055,ORD-00000081,CAR-005,1Z040687285769131,2026-03-06,2026-03-13,2026-03-13,DELIVERED,115.9,190.62,True,5,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000056,ORD-00000082,CAR-007,1Z907784226676709,2026-01-21,2026-01-23,2026-01-23,DELIVERED,68.8,76.36,True,7,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000057,ORD-00000085,CAR-006,1Z685736694134322,2025-03-18,2025-03-23,2025-03-23,DELIVERED,24.4,43.17,True,10,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000058,ORD-00000086,CAR-007,1Z997014667376084,2024-05-29,2024-06-05,2024-06-05,DELIVERED,52.7,76.1,True,3,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000059,ORD-00000091,CAR-005,1Z614835588415359,2025-07-08,2025-07-12,,SHIPPED,91.5,202.31,True,9,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000060,ORD-00000094,CAR-003,1Z603138897884414,2024-05-27,2024-05-31,2024-05-31,DELIVERED,98.5,245.15,True,8,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00000061,ORD-00000095,CAR-004,1Z661489187250293,2026-01-22,2026-01-29,,SHIPPED,44.5,95.36,True,9,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000062,ORD-00000096,CAR-008,1Z195168124786759,2024-11-19,2024-11-23,2024-11-23,DELIVERED,128.8,185.74,True,7,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000063,ORD-00000097,CAR-001,1Z349636536376537,2026-04-28,2026-05-05,2026-05-05,DELIVERED,140.6,79.24,True,10,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00000064,ORD-00000098,CAR-005,1Z961023517177655,2025-12-10,2025-12-14,2025-12-14,DELIVERED,27.4,46.35,True,3,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000065,ORD-00000099,CAR-008,1Z781551435143113,2025-11-24,2025-11-27,,SHIPPED,82.1,196.98,True,1,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00000066,ORD-00000101,CAR-009,1Z004800866801951,2025-07-29,2025-07-30,2025-07-31,DELIVERED,88.6,115.88,False,4,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000067,ORD-00000102,CAR-001,1Z693401541948065,2024-09-21,2024-09-23,2024-09-25,DELIVERED,73.8,48.23,False,5,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000068,ORD-00000103,CAR-001,1Z460593821392176,2025-07-24,2025-07-27,2025-07-27,DELIVERED,115.4,78.14,True,5,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00000069,ORD-00000105,CAR-005,1Z724424868444659,2024-07-25,2024-07-29,2024-07-31,DELIVERED,36.5,24.77,False,10,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000070,ORD-00000106,CAR-002,1Z998881382111822,2025-11-29,2025-12-06,2025-12-06,DELIVERED,49.8,81.46,True,3,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000071,ORD-00000107,CAR-009,1Z426601226123751,2024-05-10,2024-05-13,,SHIPPED,135.2,82.35,True,1,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000072,ORD-00000108,CAR-007,1Z973414192460939,2025-11-09,2025-11-13,,SHIPPED,124.7,262.44,True,5,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000073,ORD-00000109,CAR-009,1Z783698905977019,2025-10-13,2025-10-18,,SHIPPED,114.2,91.9,True,4,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00000074,ORD-00000111,CAR-006,1Z383874772931301,2026-02-14,2026-02-18,2026-02-21,DELIVERED,117.0,171.17,False,3,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000075,ORD-00000112,CAR-009,1Z758758969352182,2025-10-23,2025-10-26,2025-10-26,DELIVERED,89.0,155.51,True,8,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000076,ORD-00000113,CAR-008,1Z431808852603982,2025-09-18,2025-09-25,2025-09-25,DELIVERED,5.8,10.59,True,8,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000077,ORD-00000114,CAR-009,1Z411109926929580,2025-07-31,2025-08-07,2025-08-07,DELIVERED,53.5,64.35,True,9,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000078,ORD-00000115,CAR-002,1Z675003458599264,2025-09-25,2025-09-27,2025-09-27,DELIVERED,124.8,116.08,True,10,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000079,ORD-00000117,CAR-005,1Z901592144857157,2026-02-13,2026-02-16,,SHIPPED,49.8,49.74,True,8,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000080,ORD-00000120,CAR-007,1Z171346518168222,2025-06-22,2025-06-28,,SHIPPED,35.7,87.99,True,5,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000081,ORD-00000121,CAR-001,1Z701479233374059,2025-02-28,2025-03-03,,SHIPPED,46.7,115.56,True,5,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000082,ORD-00000122,CAR-002,1Z506759047711978,2024-08-01,2024-08-06,,SHIPPED,130.9,68.0,True,9,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000083,ORD-00000124,CAR-004,1Z370459574030948,2025-03-12,2025-03-17,2025-03-17,DELIVERED,74.4,56.15,True,7,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000084,ORD-00000126,CAR-001,1Z398920793465314,2026-03-01,2026-03-08,,SHIPPED,145.1,347.91,False,7,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00000085,ORD-00000127,CAR-008,1Z611453049597018,2026-04-28,2026-05-02,2026-05-04,DELIVERED,136.5,168.49,False,7,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000086,ORD-00000128,CAR-010,1Z467477195758869,2026-03-14,2026-03-17,2026-03-17,DELIVERED,88.2,145.62,True,3,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000087,ORD-00000129,CAR-008,1Z469736731587116,2024-11-13,2024-11-18,,SHIPPED,136.6,115.54,True,10,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000088,ORD-00000130,CAR-006,1Z064497273837273,2025-04-17,2025-04-21,,SHIPPED,136.0,169.71,True,8,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00000089,ORD-00000131,CAR-009,1Z628055466375608,2026-04-12,2026-04-18,2026-04-18,DELIVERED,73.4,33.47,True,3,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000090,ORD-00000132,CAR-008,1Z138914086771509,2026-03-28,2026-03-31,2026-03-31,DELIVERED,44.1,26.95,True,4,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000091,ORD-00000135,CAR-007,1Z537878313906768,2025-05-29,2025-05-31,2025-05-31,DELIVERED,13.6,21.39,True,8,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000092,ORD-00000136,CAR-002,1Z600477397603424,2025-04-15,2025-04-18,2025-04-18,DELIVERED,8.1,11.6,True,6,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000093,ORD-00000137,CAR-004,1Z130239006942347,2025-01-12,2025-01-19,,SHIPPED,149.1,282.48,True,8,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000094,ORD-00000141,CAR-002,1Z607658214426331,2024-07-26,2024-07-28,,SHIPPED,110.6,261.33,True,4,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000095,ORD-00000144,CAR-006,1Z896151790048608,2026-02-18,2026-02-23,2026-02-23,DELIVERED,129.0,137.47,True,7,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000096,ORD-00000146,CAR-003,1Z074466977542507,2025-04-06,2025-04-10,2025-04-10,DELIVERED,4.5,3.26,True,9,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000097,ORD-00000147,CAR-009,1Z486264324013628,2025-05-14,2025-05-20,,SHIPPED,146.9,209.57,True,7,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000098,ORD-00000148,CAR-005,1Z966260438808153,2024-05-15,2024-05-17,,SHIPPED,33.5,15.7,True,10,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000099,ORD-00000149,CAR-001,1Z448229529272566,2024-11-09,2024-11-15,,SHIPPED,21.1,34.11,True,4,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000100,ORD-00000150,CAR-003,1Z118258810866888,2025-02-17,2025-02-22,2025-02-22,DELIVERED,22.1,38.69,True,1,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000101,ORD-00000152,CAR-006,1Z989329354630537,2026-04-24,2026-04-25,,SHIPPED,23.8,43.31,True,10,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00000102,ORD-00000153,CAR-001,1Z155529080657124,2024-07-22,2024-07-24,2024-07-24,DELIVERED,119.2,121.6,True,9,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000103,ORD-00000156,CAR-007,1Z371736274316391,2026-03-15,2026-03-20,2026-03-20,DELIVERED,60.9,44.82,True,5,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000104,ORD-00000157,CAR-004,1Z626132850209004,2024-11-15,2024-11-18,,SHIPPED,119.8,265.25,True,3,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000105,ORD-00000158,CAR-009,1Z647807782282897,2026-04-02,2026-04-05,2026-04-05,DELIVERED,133.3,105.97,True,7,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000106,ORD-00000159,CAR-005,1Z828105049221592,2026-04-28,2026-05-02,,SHIPPED,133.2,181.51,True,3,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000107,ORD-00000161,CAR-003,1Z384899802281046,2025-12-27,2026-01-02,,SHIPPED,54.0,33.22,True,5,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000108,ORD-00000165,CAR-002,1Z824352273225706,2026-03-24,2026-03-31,,SHIPPED,129.1,142.95,True,6,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000109,ORD-00000166,CAR-008,1Z075527498489972,2024-07-19,2024-07-21,2024-07-21,DELIVERED,4.5,9.9,True,1,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000110,ORD-00000168,CAR-010,1Z641570136575780,2025-09-09,2025-09-12,2025-09-12,DELIVERED,106.9,58.56,True,6,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000111,ORD-00000170,CAR-009,1Z085466020439724,2024-06-03,2024-06-04,2024-06-04,DELIVERED,31.3,52.45,True,8,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000112,ORD-00000174,CAR-010,1Z645061496372571,2025-01-25,2025-01-27,,SHIPPED,101.6,227.59,True,9,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000113,ORD-00000175,CAR-003,1Z282942867876698,2025-07-31,2025-08-06,2025-08-11,DELIVERED,39.6,43.28,False,8,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000114,ORD-00000179,CAR-002,1Z042613281122608,2024-06-16,2024-06-19,2024-06-19,DELIVERED,52.8,106.93,True,8,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000115,ORD-00000181,CAR-005,1Z009687110465155,2024-06-30,2024-07-05,,SHIPPED,101.7,216.49,True,8,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000116,ORD-00000182,CAR-006,1Z440864233754445,2026-01-16,2026-01-18,,SHIPPED,135.3,248.89,True,8,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00000117,ORD-00000183,CAR-007,1Z607812870885907,2026-04-06,2026-04-11,,SHIPPED,110.4,105.24,True,10,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000118,ORD-00000184,CAR-006,1Z235964577934959,2024-10-31,2024-11-01,2024-11-01,DELIVERED,115.3,258.22,True,5,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000119,ORD-00000185,CAR-002,1Z122616683752004,2024-05-21,2024-05-25,2024-05-25,DELIVERED,34.8,55.45,True,5,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000120,ORD-00000186,CAR-003,1Z771714451581360,2024-12-14,2024-12-15,,SHIPPED,34.3,60.29,True,9,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000121,ORD-00000187,CAR-004,1Z985719254755286,2025-03-16,2025-03-17,,SHIPPED,145.8,225.41,True,3,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000122,ORD-00000188,CAR-007,1Z182252319229870,2025-08-06,2025-08-09,2025-08-09,DELIVERED,117.3,87.84,True,9,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000123,ORD-00000190,CAR-001,1Z769199960941589,2025-10-14,2025-10-15,,SHIPPED,73.2,174.7,False,3,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000124,ORD-00000191,CAR-007,1Z972011695828151,2024-09-24,2024-10-01,,SHIPPED,57.4,87.24,True,9,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000125,ORD-00000193,CAR-008,1Z789458505954497,2026-01-13,2026-01-15,2026-01-16,DELIVERED,37.5,68.84,False,2,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000126,ORD-00000194,CAR-004,1Z986926006037198,2026-03-15,2026-03-20,2026-03-25,DELIVERED,38.2,42.23,False,1,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000127,ORD-00000195,CAR-009,1Z335945091583378,2026-04-19,2026-04-21,2026-04-21,DELIVERED,106.0,256.48,True,8,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000128,ORD-00000197,CAR-010,1Z218535303771858,2024-07-26,2024-07-31,,SHIPPED,91.4,202.37,True,1,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000129,ORD-00000198,CAR-009,1Z230903682218813,2026-01-21,2026-01-22,2026-01-22,DELIVERED,78.2,134.22,True,2,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000130,ORD-00000202,CAR-003,1Z853924025880921,2026-02-08,2026-02-10,2026-02-10,DELIVERED,99.1,122.94,True,10,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000131,ORD-00000206,CAR-001,1Z964333576698721,2024-12-05,2024-12-10,,SHIPPED,43.6,37.81,True,3,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000132,ORD-00000207,CAR-007,1Z821088967685450,2024-05-20,2024-05-25,,SHIPPED,16.5,21.33,True,9,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000133,ORD-00000208,CAR-008,1Z925696903191902,2024-09-21,2024-09-25,2024-09-25,DELIVERED,85.1,136.43,True,5,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000134,ORD-00000210,CAR-001,1Z055619831725008,2025-09-07,2025-09-08,,SHIPPED,73.7,92.68,True,5,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000135,ORD-00000211,CAR-006,1Z243891213321833,2024-10-22,2024-10-23,,SHIPPED,141.0,89.18,False,10,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00000136,ORD-00000212,CAR-006,1Z741424088423989,2025-03-11,2025-03-12,2025-03-12,DELIVERED,70.5,115.64,True,4,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00000137,ORD-00000214,CAR-004,1Z720008360988399,2025-07-27,2025-08-03,,SHIPPED,72.1,133.6,True,6,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000138,ORD-00000215,CAR-006,1Z219899080913026,2024-06-20,2024-06-23,,SHIPPED,126.4,225.94,True,8,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000139,ORD-00000217,CAR-005,1Z416603097237290,2025-03-11,2025-03-14,2025-03-18,DELIVERED,145.9,259.43,False,9,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000140,ORD-00000218,CAR-007,1Z335124397202518,2025-09-06,2025-09-09,2025-09-09,DELIVERED,135.9,304.89,True,6,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000141,ORD-00000220,CAR-008,1Z272976799075673,2024-05-20,2024-05-25,,SHIPPED,65.8,131.4,True,9,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000142,ORD-00000221,CAR-007,1Z557934146234084,2025-07-06,2025-07-10,,SHIPPED,26.5,61.04,True,8,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00000143,ORD-00000223,CAR-003,1Z854361679105267,2024-08-29,2024-09-04,2024-09-04,DELIVERED,1.9,2.83,True,9,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00000144,ORD-00000226,CAR-007,1Z898468643395554,2024-11-09,2024-11-15,2024-11-15,DELIVERED,76.7,97.37,True,3,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000145,ORD-00000229,CAR-004,1Z852938575675113,2025-04-26,2025-04-29,2025-04-29,DELIVERED,119.3,125.19,True,8,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000146,ORD-00000230,CAR-005,1Z844821675848899,2025-09-11,2025-09-12,,SHIPPED,53.1,46.88,True,5,WH-NOR-04,2026-04-30T04:36:50.726872
