line_id,order_id,sku,qty_ordered,qty_fulfilled,qty_backordered,unit_price,line_value,is_backordered,fulfilled_date,_ingested_at
LINE-0000000026,ORD-00000010,SKU-00916,42,42,0,355.11,14914.62,False,2025-04-08,2026-04-30T04:36:50.726872
LINE-0000000027,ORD-00000010,SKU-00379,46,46,0,111.26,5117.96,False,2025-04-08,2026-04-30T04:36:50.726872
LINE-0000000028,ORD-00000011,SKU-00475,40,40,0,411.9,16476.0,False,2024-08-10,2026-04-30T04:36:50.726872
LINE-0000000029,ORD-00000011,SKU-00297,2,2,0,762.28,1524.56,False,2024-08-08,2026-04-30T04:36:50.726872
LINE-0000000030,ORD-00000011,SKU-00645,29,29,0,292.2,8473.8,False,2024-08-11,2026-04-30T04:36:50.726872
LINE-0000000031,ORD-00000011,SKU-00439,34,34,0,972.03,33049.02,False,2024-08-11,2026-04-30T04:36:50.726872
LINE-0000000032,ORD-00000012,SKU-00227,39,39,0,447.55,17454.45,False,2025-07-13,2026-04-30T04:36:50.726872
LINE-0000000033,ORD-00000012,SKU-00480,44,44,0,829.81,36511.64,False,2025-07-10,2026-04-30T04:36:50.726872
LINE-0000000034,ORD-00000012,SKU-00694,14,14,0,295.92,4142.88,False,2025-07-11,2026-04-30T04:36:50.726872
LINE-0000000035,ORD-00000013,SKU-00988,23,23,0,577.16,13274.68,False,2025-08-14,2026-04-30T04:36:50.726872
LINE-0000000036,ORD-00000013,SKU-00698,44,44,0,35.58,1565.52,False,2025-08-15,2026-04-30T04:36:50.726872
LINE-0000000037,ORD-00000013,SKU-00340,1,1,0,1210.34,1210.34,False,2025-08-17,2026-04-30T04:36:50.726872
LINE-0000000038,ORD-00000014,SKU-00305,32,32,0,588.18,18821.76,False,2025-01-27,2026-04-30T04:36:50.726872
LINE-0000000039,ORD-00000015,SKU-00367,47,47,0,674.31,31692.57,False,2025-10-09,2026-04-30T04:36:50.726872
LINE-0000000040,ORD-00000015,SKU-00237,34,34,0,1191.02,40494.68,False,2025-10-11,2026-04-30T04:36:50.726872
LINE-0000000041,ORD-00000015,SKU-00151,31,31,0,421.86,13077.66,False,2025-10-10,2026-04-30T04:36:50.726872
LINE-0000000042,ORD-00000016,SKU-00587,44,44,0,60.76,2673.44,False,2025-06-10,2026-04-30T04:36:50.726872
LINE-0000000043,ORD-00000017,SKU-00329,48,48,0,1256.15,60295.2,False,2025-05-31,2026-04-30T04:36:50.726872
LINE-0000000044,ORD-00000017,SKU-00446,50,50,0,72.67,3633.5,False,2025-05-31,2026-04-30T04:36:50.726872
LINE-0000000045,ORD-00000017,SKU-00204,5,5,0,981.99,4909.95,False,2025-06-02,2026-04-30T04:36:50.726872
LINE-0000000046,ORD-00000018,SKU-00968,30,30,0,986.57,29597.1,False,2025-05-22,2026-04-30T04:36:50.726872
LINE-0000000047,ORD-00000018,SKU-00688,25,25,0,1198.6,29965.0,False,2025-05-20,2026-04-30T04:36:50.726872
LINE-0000000048,ORD-00000018,SKU-00360,48,48,0,784.93,37676.64,False,2025-05-22,2026-04-30T04:36:50.726872
LINE-0000000049,ORD-00000019,SKU-00578,14,14,0,1404.83,19667.62,False,2024-07-17,2026-04-30T04:36:50.726872
LINE-0000000050,ORD-00000019,SKU-00437,43,43,0,781.17,33590.31,False,2024-07-17,2026-04-30T04:36:50.726872
LINE-0000000051,ORD-00000020,SKU-00745,2,2,0,535.71,1071.42,False,2024-07-04,2026-04-30T04:36:50.726872
LINE-0000000052,ORD-00000020,SKU-01000,48,48,0,1143.15,54871.2,False,2024-07-05,2026-04-30T04:36:50.726872
LINE-0000000053,ORD-00000020,SKU-00312,49,49,0,1116.25,54696.25,False,2024-07-07,2026-04-30T04:36:50.726872
LINE-0000000054,ORD-00000021,SKU-00287,6,6,0,819.32,4915.92,False,2024-05-22,2026-04-30T04:36:50.726872
LINE-0000000055,ORD-00000021,SKU-00815,4,4,0,1028.93,4115.72,False,2024-05-23,2026-04-30T04:36:50.726872
LINE-0000000056,ORD-00000021,SKU-00687,2,2,0,139.25,278.5,False,2024-05-22,2026-04-30T04:36:50.726872
LINE-0000000057,ORD-00000022,SKU-00293,23,23,0,125.27,2881.21,False,2026-04-27,2026-04-30T04:36:50.726872
LINE-0000000058,ORD-00000023,SKU-00706,15,15,0,328.63,4929.45,False,2026-02-28,2026-04-30T04:36:50.726872
LINE-0000000059,ORD-00000023,SKU-00904,4,4,0,939.87,3759.48,False,2026-02-26,2026-04-30T04:36:50.726872
LINE-0000000060,ORD-00000023,SKU-00134,33,33,0,226.9,7487.7,False,2026-02-24,2026-04-30T04:36:50.726872
LINE-0000000061,ORD-00000023,SKU-00676,22,22,0,67.17,1477.74,False,2026-02-26,2026-04-30T04:36:50.726872
LINE-0000000062,ORD-00000024,SKU-00772,35,35,0,659.5,23082.5,False,,2026-04-30T04:36:50.726872
LINE-0000000063,ORD-00000024,SKU-00456,18,18,0,53.34,960.12,False,,2026-04-30T04:36:50.726872
LINE-0000000064,ORD-00000025,SKU-00405,11,11,0,250.5,2755.5,False,2024-05-30,2026-04-30T04:36:50.726872
LINE-0000000065,ORD-00000025,SKU-00154,16,0,16,184.49,2951.84,True,2024-06-03,2026-04-30T04:36:50.726872
LINE-0000000066,ORD-00000026,SKU-00272,15,15,0,544.55,8168.25,False,2025-11-22,2026-04-30T04:36:50.726872
LINE-0000000067,ORD-00000026,SKU-00367,17,17,0,674.31,11463.27,False,2025-11-25,2026-04-30T04:36:50.726872
LINE-0000000068,ORD-00000026,SKU-00338,12,12,0,441.86,5302.32,False,2025-11-22,2026-04-30T04:36:50.726872
LINE-0000000069,ORD-00000027,SKU-00560,3,3,0,148.21,444.63,False,2025-01-05,2026-04-30T04:36:50.726872
LINE-0000000070,ORD-00000028,SKU-00413,17,17,0,4.35,73.95,False,2024-12-13,2026-04-30T04:36:50.726872
LINE-0000000071,ORD-00000029,SKU-00832,22,0,22,109.39,2406.58,True,,2026-04-30T04:36:50.726872
LINE-0000000072,ORD-00000030,SKU-00808,27,27,0,83.96,2266.92,False,2024-10-04,2026-04-30T04:36:50.726872
LINE-0000000073,ORD-00000030,SKU-00654,37,37,0,645.72,23891.64,False,2024-10-04,2026-04-30T04:36:50.726872
LINE-0000000074,ORD-00000031,SKU-00135,35,35,0,1261.05,44136.75,False,2025-12-31,2026-04-30T04:36:50.726872
LINE-0000000075,ORD-00000032,SKU-00172,38,38,0,1049.15,39867.7,False,,2026-04-30T04:36:50.726872
LINE-0000000076,ORD-00000032,SKU-00876,31,31,0,102.78,3186.18,False,,2026-04-30T04:36:50.726872
LINE-0000000077,ORD-00000032,SKU-00532,1,1,0,48.15,48.15,False,,2026-04-30T04:36:50.726872
LINE-0000000078,ORD-00000032,SKU-00897,2,0,2,41.77,83.54,True,,2026-04-30T04:36:50.726872
LINE-0000000079,ORD-00000033,SKU-00573,4,4,0,965.2,3860.8,False,2024-10-27,2026-04-30T04:36:50.726872
LINE-0000000080,ORD-00000033,SKU-00613,19,19,0,787.43,14961.17,False,2024-10-31,2026-04-30T04:36:50.726872
LINE-0000000081,ORD-00000033,SKU-00119,13,13,0,377.42,4906.46,False,2024-10-29,2026-04-30T04:36:50.726872
LINE-0000000082,ORD-00000033,SKU-00038,23,23,0,461.86,10622.78,False,2024-10-31,2026-04-30T04:36:50.726872
LINE-0000000083,ORD-00000033,SKU-00098,43,43,0,408.93,17583.99,False,2024-10-31,2026-04-30T04:36:50.726872
LINE-0000000084,ORD-00000034,SKU-00505,5,5,0,1452.62,7263.1,False,2024-12-02,2026-04-30T04:36:50.726872
LINE-0000000085,ORD-00000034,SKU-00012,42,42,0,689.78,28970.76,False,2024-11-29,2026-04-30T04:36:50.726872
LINE-0000000086,ORD-00000034,SKU-00612,14,14,0,376.2,5266.8,False,2024-12-02,2026-04-30T04:36:50.726872
LINE-0000000087,ORD-00000034,SKU-00929,46,46,0,77.98,3587.08,False,2024-11-30,2026-04-30T04:36:50.726872
LINE-0000000088,ORD-00000035,SKU-00226,14,14,0,335.46,4696.44,False,,2026-04-30T04:36:50.726872
LINE-0000000089,ORD-00000035,SKU-00077,49,49,0,467.78,22921.22,False,,2026-04-30T04:36:50.726872
LINE-0000000090,ORD-00000035,SKU-00591,23,23,0,1069.39,24595.97,False,,2026-04-30T04:36:50.726872
LINE-0000000091,ORD-00000035,SKU-00139,3,3,0,121.72,365.16,False,,2026-04-30T04:36:50.726872
LINE-0000000092,ORD-00000035,SKU-00965,50,50,0,372.22,18611.0,False,,2026-04-30T04:36:50.726872
LINE-0000000093,ORD-00000035,SKU-00043,43,0,43,387.5,16662.5,True,,2026-04-30T04:36:50.726872
LINE-0000000094,ORD-00000036,SKU-00395,10,10,0,513.69,5136.9,False,2025-02-27,2026-04-30T04:36:50.726872
LINE-0000000095,ORD-00000036,SKU-00554,1,1,0,795.24,795.24,False,2025-02-25,2026-04-30T04:36:50.726872
LINE-0000000096,ORD-00000036,SKU-00070,45,45,0,1267.16,57022.2,False,2025-02-26,2026-04-30T04:36:50.726872
LINE-0000000097,ORD-00000037,SKU-00398,38,38,0,589.86,22414.68,False,2025-12-19,2026-04-30T04:36:50.726872
LINE-0000000098,ORD-00000038,SKU-00852,42,0,42,703.7,29555.4,True,,2026-04-30T04:36:50.726872
LINE-0000000099,ORD-00000038,SKU-00084,8,8,0,182.65,1461.2,False,,2026-04-30T04:36:50.726872
LINE-0000000100,ORD-00000039,SKU-00949,15,15,0,876.29,13144.35,False,2025-11-10,2026-04-30T04:36:50.726872
LINE-0000000101,ORD-00000039,SKU-00333,23,23,0,609.81,14025.63,False,2025-11-13,2026-04-30T04:36:50.726872
LINE-0000000102,ORD-00000039,SKU-00788,32,32,0,727.14,23268.48,False,2025-11-10,2026-04-30T04:36:50.726872
LINE-0000000103,ORD-00000039,SKU-00061,28,28,0,1009.31,28260.68,False,2025-11-10,2026-04-30T04:36:50.726872
LINE-0000000104,ORD-00000040,SKU-00718,39,39,0,349.77,13641.03,False,2024-06-16,2026-04-30T04:36:50.726872
LINE-0000000105,ORD-00000040,SKU-00867,2,2,0,1163.05,2326.1,False,2024-06-19,2026-04-30T04:36:50.726872
LINE-0000000106,ORD-00000040,SKU-00649,7,7,0,190.0,1330.0,False,2024-06-19,2026-04-30T04:36:50.726872
LINE-0000000107,ORD-00000041,SKU-00773,4,4,0,446.29,1785.16,False,2024-12-14,2026-04-30T04:36:50.726872
LINE-0000000108,ORD-00000042,SKU-00014,17,17,0,365.71,6217.07,False,2025-06-12,2026-04-30T04:36:50.726872
LINE-0000000109,ORD-00000042,SKU-00860,3,3,0,421.82,1265.46,False,2025-06-09,2026-04-30T04:36:50.726872
LINE-0000000110,ORD-00000042,SKU-00709,40,40,0,645.67,25826.8,False,2025-06-09,2026-04-30T04:36:50.726872
LINE-0000000111,ORD-00000043,SKU-00580,23,0,23,379.16,8720.68,True,2025-04-08,2026-04-30T04:36:50.726872
LINE-0000000112,ORD-00000044,SKU-00424,9,9,0,616.63,5549.67,False,2026-03-07,2026-04-30T04:36:50.726872
LINE-0000000113,ORD-00000044,SKU-00269,22,22,0,879.27,19343.94,False,2026-03-08,2026-04-30T04:36:50.726872
LINE-0000000114,ORD-00000045,SKU-00146,39,39,0,525.74,20503.86,False,2024-06-25,2026-04-30T04:36:50.726872
LINE-0000000115,ORD-00000045,SKU-00313,10,10,0,422.79,4227.9,False,2024-06-25,2026-04-30T04:36:50.726872
LINE-0000000116,ORD-00000046,SKU-00196,44,44,0,209.07,9199.08,False,2025-01-17,2026-04-30T04:36:50.726872
LINE-0000000117,ORD-00000046,SKU-00295,30,30,0,28.94,868.2,False,2025-01-16,2026-04-30T04:36:50.726872
LINE-0000000118,ORD-00000047,SKU-00991,19,19,0,889.16,16894.04,False,,2026-04-30T04:36:50.726872
LINE-0000000119,ORD-00000047,SKU-00538,41,41,0,94.24,3863.84,False,,2026-04-30T04:36:50.726872
LINE-0000000120,ORD-00000047,SKU-00481,19,19,0,223.28,4242.32,False,,2026-04-30T04:36:50.726872
LINE-0000000121,ORD-00000047,SKU-00385,34,34,0,1234.4,41969.6,False,,2026-04-30T04:36:50.726872
LINE-0000000122,ORD-00000047,SKU-00929,1,1,0,77.98,77.98,False,,2026-04-30T04:36:50.726872
LINE-0000000123,ORD-00000048,SKU-00400,25,25,0,304.12,7603.0,False,2025-02-28,2026-04-30T04:36:50.726872
LINE-0000000124,ORD-00000049,SKU-00410,36,36,0,1284.68,46248.48,False,,2026-04-30T04:36:50.726872
LINE-0000000125,ORD-00000049,SKU-00647,44,44,0,328.51,14454.44,False,,2026-04-30T04:36:50.726872
LINE-0000000126,ORD-00000049,SKU-00667,3,3,0,119.79,359.37,False,,2026-04-30T04:36:50.726872
LINE-0000000127,ORD-00000049,SKU-00379,25,25,0,111.26,2781.5,False,,2026-04-30T04:36:50.726872
LINE-0000000128,ORD-00000050,SKU-00958,32,32,0,452.74,14487.68,False,,2026-04-30T04:36:50.726872
LINE-0000000129,ORD-00000050,SKU-00212,6,6,0,577.54,3465.24,False,,2026-04-30T04:36:50.726872
LINE-0000000130,ORD-00000051,SKU-00852,3,0,3,703.7,2111.1,True,2024-08-14,2026-04-30T04:36:50.726872
LINE-0000000131,ORD-00000051,SKU-00764,34,34,0,1092.7,37151.8,False,2024-08-14,2026-04-30T04:36:50.726872
LINE-0000000132,ORD-00000051,SKU-00615,25,25,0,1312.37,32809.25,False,2024-08-15,2026-04-30T04:36:50.726872
LINE-0000000133,ORD-00000052,SKU-00930,47,47,0,434.46,20419.62,False,2026-04-08,2026-04-30T04:36:50.726872
LINE-0000000134,ORD-00000052,SKU-00204,50,50,0,981.99,49099.5,False,2026-04-06,2026-04-30T04:36:50.726872
LINE-0000000135,ORD-00000052,SKU-00528,18,18,0,374.04,6732.72,False,2026-04-09,2026-04-30T04:36:50.726872
LINE-0000000136,ORD-00000053,SKU-00130,47,47,0,606.81,28520.07,False,2025-10-21,2026-04-30T04:36:50.726872
LINE-0000000137,ORD-00000054,SKU-00743,7,7,0,41.2,288.4,False,2024-11-02,2026-04-30T04:36:50.726872
LINE-0000000138,ORD-00000054,SKU-00931,45,45,0,185.81,8361.45,False,2024-10-31,2026-04-30T04:36:50.726872
LINE-0000000139,ORD-00000054,SKU-00288,2,2,0,273.01,546.02,False,2024-11-04,2026-04-30T04:36:50.726872
LINE-0000000140,ORD-00000055,SKU-00855,31,31,0,932.11,28895.41,False,2026-04-24,2026-04-30T04:36:50.726872
LINE-0000000141,ORD-00000055,SKU-00155,45,45,0,596.38,26837.1,False,2026-04-20,2026-04-30T04:36:50.726872
LINE-0000000142,ORD-00000056,SKU-00638,37,37,0,34.29,1268.73,False,2025-04-21,2026-04-30T04:36:50.726872
LINE-0000000143,ORD-00000057,SKU-00997,27,27,0,658.66,17783.82,False,2025-02-11,2026-04-30T04:36:50.726872
LINE-0000000144,ORD-00000057,SKU-00532,50,50,0,48.15,2407.5,False,2025-02-11,2026-04-30T04:36:50.726872
LINE-0000000145,ORD-00000058,SKU-00892,23,23,0,328.88,7564.24,False,2026-02-21,2026-04-30T04:36:50.726872
LINE-0000000146,ORD-00000058,SKU-00219,50,50,0,42.42,2121.0,False,2026-02-22,2026-04-30T04:36:50.726872
LINE-0000000147,ORD-00000058,SKU-00536,35,35,0,62.93,2202.55,False,2026-02-21,2026-04-30T04:36:50.726872
LINE-0000000148,ORD-00000058,SKU-00844,41,41,0,478.84,19632.44,False,2026-02-20,2026-04-30T04:36:50.726872
LINE-0000000149,ORD-00000059,SKU-00994,34,34,0,360.55,12258.7,False,,2026-04-30T04:36:50.726872
LINE-0000000150,ORD-00000059,SKU-00776,12,12,0,97.71,1172.52,False,,2026-04-30T04:36:50.726872
LINE-0000000151,ORD-00000059,SKU-00340,3,3,0,1210.34,3631.02,False,,2026-04-30T04:36:50.726872
LINE-0000000152,ORD-00000059,SKU-00258,22,22,0,285.47,6280.34,False,,2026-04-30T04:36:50.726872
LINE-0000000153,ORD-00000059,SKU-00568,48,48,0,393.0,18864.0,False,,2026-04-30T04:36:50.726872
LINE-0000000154,ORD-00000060,SKU-00388,46,0,46,566.55,26061.3,True,2026-02-16,2026-04-30T04:36:50.726872
LINE-0000000155,ORD-00000060,SKU-00554,35,35,0,795.24,27833.4,False,2026-02-17,2026-04-30T04:36:50.726872
LINE-0000000156,ORD-00000061,SKU-00484,21,21,0,1014.66,21307.86,False,2026-04-08,2026-04-30T04:36:50.726872
LINE-0000000157,ORD-00000062,SKU-00140,26,26,0,888.86,23110.36,False,2024-08-29,2026-04-30T04:36:50.726872
LINE-0000000158,ORD-00000062,SKU-00493,19,19,0,814.11,15468.09,False,2024-08-29,2026-04-30T04:36:50.726872
LINE-0000000159,ORD-00000062,SKU-00264,17,17,0,34.53,587.01,False,2024-08-29,2026-04-30T04:36:50.726872
LINE-0000000160,ORD-00000062,SKU-00016,25,25,0,765.9,19147.5,False,2024-08-31,2026-04-30T04:36:50.726872
LINE-0000000161,ORD-00000063,SKU-00320,18,18,0,954.74,17185.32,False,2024-09-03,2026-04-30T04:36:50.726872
LINE-0000000162,ORD-00000063,SKU-00071,39,39,0,772.17,30114.63,False,2024-09-05,2026-04-30T04:36:50.726872
LINE-0000000163,ORD-00000063,SKU-00100,8,8,0,30.82,246.56,False,2024-09-04,2026-04-30T04:36:50.726872
LINE-0000000164,ORD-00000064,SKU-00863,40,40,0,271.67,10866.8,False,2025-01-24,2026-04-30T04:36:50.726872
LINE-0000000165,ORD-00000064,SKU-00026,49,0,49,654.33,32062.17,True,2025-01-25,2026-04-30T04:36:50.726872
LINE-0000000166,ORD-00000064,SKU-00811,41,41,0,371.13,15216.33,False,2025-01-26,2026-04-30T04:36:50.726872
LINE-0000000167,ORD-00000065,SKU-00424,41,0,41,616.63,25281.83,True,2025-12-17,2026-04-30T04:36:50.726872
LINE-0000000168,ORD-00000065,SKU-00537,33,33,0,757.09,24983.97,False,2025-12-16,2026-04-30T04:36:50.726872
LINE-0000000169,ORD-00000065,SKU-00525,26,0,26,60.11,1562.86,True,2025-12-14,2026-04-30T04:36:50.726872
LINE-0000000170,ORD-00000066,SKU-00941,15,15,0,410.65,6159.75,False,2025-01-21,2026-04-30T04:36:50.726872
LINE-0000000171,ORD-00000066,SKU-00925,19,19,0,4.9,93.1,False,2025-01-18,2026-04-30T04:36:50.726872
LINE-0000000172,ORD-00000067,SKU-00042,29,0,29,173.27,5024.83,True,2026-04-10,2026-04-30T04:36:50.726872
LINE-0000000173,ORD-00000068,SKU-00318,30,30,0,927.51,27825.3,False,2025-06-20,2026-04-30T04:36:50.726872
LINE-0000000174,ORD-00000068,SKU-00262,1,1,0,506.57,506.57,False,2025-06-18,2026-04-30T04:36:50.726872
LINE-0000000175,ORD-00000068,SKU-00413,25,25,0,4.35,108.75,False,2025-06-19,2026-04-30T04:36:50.726872
LINE-0000000176,ORD-00000069,SKU-00563,10,10,0,946.5,9465.0,False,2025-10-19,2026-04-30T04:36:50.726872
LINE-0000000177,ORD-00000070,SKU-00516,27,27,0,232.54,6278.58,False,2025-05-09,2026-04-30T04:36:50.726872
LINE-0000000178,ORD-00000070,SKU-00169,31,31,0,1137.73,35269.63,False,2025-05-07,2026-04-30T04:36:50.726872
LINE-0000000179,ORD-00000070,SKU-00781,29,29,0,905.45,26258.05,False,2025-05-07,2026-04-30T04:36:50.726872
LINE-0000000180,ORD-00000070,SKU-00726,14,14,0,893.86,12514.04,False,2025-05-06,2026-04-30T04:36:50.726872
LINE-0000000181,ORD-00000071,SKU-00584,11,11,0,1038.73,11426.03,False,2025-05-30,2026-04-30T04:36:50.726872
LINE-0000000182,ORD-00000071,SKU-00922,26,26,0,1506.21,39161.46,False,2025-06-02,2026-04-30T04:36:50.726872
LINE-0000000183,ORD-00000071,SKU-00034,18,18,0,381.35,6864.3,False,2025-05-31,2026-04-30T04:36:50.726872
LINE-0000000184,ORD-00000071,SKU-00097,12,12,0,814.54,9774.48,False,2025-06-01,2026-04-30T04:36:50.726872
LINE-0000000185,ORD-00000072,SKU-00116,34,34,0,441.8,15021.2,False,2025-05-05,2026-04-30T04:36:50.726872
LINE-0000000186,ORD-00000072,SKU-00360,7,7,0,784.93,5494.51,False,2025-05-04,2026-04-30T04:36:50.726872
LINE-0000000187,ORD-00000072,SKU-00186,8,0,8,157.53,1260.24,True,2025-05-05,2026-04-30T04:36:50.726872
LINE-0000000188,ORD-00000073,SKU-00728,47,47,0,140.63,6609.61,False,2025-04-13,2026-04-30T04:36:50.726872
LINE-0000000189,ORD-00000073,SKU-00259,41,41,0,166.07,6808.87,False,2025-04-10,2026-04-30T04:36:50.726872
LINE-0000000190,ORD-00000074,SKU-00566,41,41,0,710.67,29137.47,False,2025-05-13,2026-04-30T04:36:50.726872
LINE-0000000191,ORD-00000074,SKU-00955,17,17,0,786.47,13369.99,False,2025-05-13,2026-04-30T04:36:50.726872
LINE-0000000192,ORD-00000074,SKU-00253,32,32,0,621.92,19901.44,False,2025-05-10,2026-04-30T04:36:50.726872
LINE-0000000193,ORD-00000074,SKU-00944,7,7,0,387.61,2713.27,False,2025-05-12,2026-04-30T04:36:50.726872
LINE-0000000194,ORD-00000074,SKU-00199,45,45,0,295.41,13293.45,False,2025-05-13,2026-04-30T04:36:50.726872
LINE-0000000195,ORD-00000074,SKU-00509,12,12,0,109.62,1315.44,False,2025-05-12,2026-04-30T04:36:50.726872
LINE-0000000196,ORD-00000075,SKU-00074,14,14,0,76.61,1072.54,False,2025-09-22,2026-04-30T04:36:50.726872
LINE-0000000197,ORD-00000075,SKU-00092,32,32,0,120.83,3866.56,False,2025-09-24,2026-04-30T04:36:50.726872
LINE-0000000198,ORD-00000075,SKU-00075,38,38,0,179.74,6830.12,False,2025-09-24,2026-04-30T04:36:50.726872
LINE-0000000199,ORD-00000076,SKU-00197,13,13,0,485.77,6315.01,False,2024-07-01,2026-04-30T04:36:50.726872
LINE-0000000200,ORD-00000076,SKU-00696,32,32,0,867.97,27775.04,False,2024-07-01,2026-04-30T04:36:50.726872
LINE-0000000201,ORD-00000076,SKU-00373,2,0,2,277.02,554.04,True,2024-07-01,2026-04-30T04:36:50.726872
LINE-0000000202,ORD-00000076,SKU-00084,15,15,0,182.65,2739.75,False,2024-07-03,2026-04-30T04:36:50.726872
LINE-0000000203,ORD-00000077,SKU-00512,40,40,0,753.48,30139.2,False,2025-08-12,2026-04-30T04:36:50.726872
LINE-0000000204,ORD-00000077,SKU-00268,38,38,0,514.38,19546.44,False,2025-08-12,2026-04-30T04:36:50.726872
LINE-0000000205,ORD-00000077,SKU-00003,47,47,0,357.0,16779.0,False,2025-08-15,2026-04-30T04:36:50.726872
LINE-0000000206,ORD-00000077,SKU-00100,25,25,0,30.82,770.5,False,2025-08-14,2026-04-30T04:36:50.726872
LINE-0000000207,ORD-00000077,SKU-00846,30,30,0,304.78,9143.4,False,2025-08-12,2026-04-30T04:36:50.726872
LINE-0000000208,ORD-00000077,SKU-00320,41,41,0,954.74,39144.34,False,2025-08-16,2026-04-30T04:36:50.726872
LINE-0000000209,ORD-00000078,SKU-00466,40,40,0,762.52,30500.8,False,2025-10-01,2026-04-30T04:36:50.726872
LINE-0000000210,ORD-00000079,SKU-00821,12,12,0,500.53,6006.36,False,2026-02-12,2026-04-30T04:36:50.726872
LINE-0000000211,ORD-00000080,SKU-00580,29,29,0,379.16,10995.64,False,2024-08-18,2026-04-30T04:36:50.726872
LINE-0000000212,ORD-00000080,SKU-00934,24,24,0,631.53,15156.72,False,2024-08-19,2026-04-30T04:36:50.726872
LINE-0000000213,ORD-00000081,SKU-00161,50,50,0,1221.82,61091.0,False,2026-03-07,2026-04-30T04:36:50.726872
LINE-0000000214,ORD-00000081,SKU-00008,8,8,0,341.85,2734.8,False,2026-03-06,2026-04-30T04:36:50.726872
LINE-0000000215,ORD-00000081,SKU-00316,44,44,0,420.77,18513.88,False,2026-03-07,2026-04-30T04:36:50.726872
LINE-0000000216,ORD-00000082,SKU-00521,22,22,0,133.47,2936.34,False,2026-01-23,2026-04-30T04:36:50.726872
LINE-0000000217,ORD-00000082,SKU-00705,35,35,0,597.16,20900.6,False,2026-01-23,2026-04-30T04:36:50.726872
LINE-0000000218,ORD-00000082,SKU-00431,49,0,49,848.12,41557.88,True,2026-01-23,2026-04-30T04:36:50.726872
LINE-0000000219,ORD-00000083,SKU-00850,38,38,0,555.38,21104.44,False,2025-01-14,2026-04-30T04:36:50.726872
