return_id,order_id,sku,qty_returned,return_date,reason_code,condition,refund_amount,restock_date,disposition,_ingested_at
RET-00000046,ORD-00027147,SKU-00609,1,2025-12-03,DUPLICATE_ORDER,UNSELLABLE,788.31,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000047,ORD-00011256,SKU-00315,3,2025-12-01,DAMAGED_TRANSIT,DAMAGED,2265.63,,DESTROY,2026-04-30T04:36:50.726872
RET-00000048,ORD-00005672,SKU-00522,2,2025-09-24,DUPLICATE_ORDER,FAIR,1140.02,,DESTROY,2026-04-30T04:36:50.726872
RET-00000049,ORD-00035535,SKU-00020,1,2025-06-27,WRONG_ITEM,LIKE_NEW,533.96,2025-07-04,RESTOCK,2026-04-30T04:36:50.726872
RET-00000050,ORD-00024510,SKU-00670,2,2025-08-11,DEFECTIVE,FAIR,2316.3,,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000051,ORD-00032440,SKU-00057,5,2026-03-09,WRONG_ITEM,DAMAGED,854.45,,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000052,ORD-00043089,SKU-00427,1,2026-02-08,CHANGED_MIND,DAMAGED,509.04,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000053,ORD-00043074,SKU-00734,4,2025-06-26,DEFECTIVE,GOOD,3564.0,2025-07-03,RESTOCK,2026-04-30T04:36:50.726872
RET-00000054,ORD-00045087,SKU-00502,1,2025-12-29,DEFECTIVE,DAMAGED,345.03,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000055,ORD-00006751,SKU-00490,5,2026-01-04,NOT_AS_DESCRIBED,NEW,924.7,2026-01-07,REFURBISH,2026-04-30T04:36:50.726872
RET-00000056,ORD-00044984,SKU-00075,4,2026-02-28,DAMAGED_TRANSIT,UNSELLABLE,718.96,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000057,ORD-00010106,SKU-00738,5,2025-10-13,CHANGED_MIND,GOOD,6362.75,2025-10-20,REFURBISH,2026-04-30T04:36:50.726872
RET-00000058,ORD-00023611,SKU-00470,3,2025-06-01,CHANGED_MIND,DAMAGED,800.16,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000059,ORD-00041008,SKU-00295,4,2026-04-11,NOT_AS_DESCRIBED,NEW,115.76,2026-04-18,RESTOCK,2026-04-30T04:36:50.726872
RET-00000060,ORD-00044854,SKU-00155,3,2026-03-02,WRONG_ITEM,GOOD,1789.14,2026-03-07,RESTOCK,2026-04-30T04:36:50.726872
RET-00000061,ORD-00044801,SKU-00521,1,2025-07-04,NOT_AS_DESCRIBED,DAMAGED,133.47,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000062,ORD-00021230,SKU-00410,4,2025-12-14,DUPLICATE_ORDER,UNSELLABLE,5138.72,,DONATE,2026-04-30T04:36:50.726872
RET-00000063,ORD-00024524,SKU-00176,3,2025-08-16,ARRIVED_LATE,GOOD,368.67,2025-08-21,DONATE,2026-04-30T04:36:50.726872
RET-00000064,ORD-00025027,SKU-00496,3,2025-05-04,NOT_AS_DESCRIBED,DAMAGED,2307.06,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000065,ORD-00045138,SKU-00775,5,2025-07-20,DAMAGED_TRANSIT,GOOD,2474.0,2025-07-24,REFURBISH,2026-04-30T04:36:50.726872
RET-00000066,ORD-00041928,SKU-00475,4,2025-12-04,CHANGED_MIND,DAMAGED,1647.6,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000067,ORD-00044268,SKU-00004,5,2025-09-18,DUPLICATE_ORDER,DAMAGED,3468.35,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000068,ORD-00030155,SKU-00247,1,2026-03-21,CHANGED_MIND,FAIR,175.83,,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000069,ORD-00014357,SKU-00802,1,2025-09-16,WRONG_ITEM,LIKE_NEW,1016.77,2025-09-21,DONATE,2026-04-30T04:36:50.726872
RET-00000070,ORD-00042393,SKU-00813,2,2025-12-17,ARRIVED_LATE,FAIR,1706.06,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000071,ORD-00047013,SKU-00761,4,2025-11-14,ARRIVED_LATE,DAMAGED,379.4,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000072,ORD-00045832,SKU-00681,1,2025-05-21,WRONG_ITEM,LIKE_NEW,548.39,2025-05-22,RESTOCK,2026-04-30T04:36:50.726872
RET-00000073,ORD-00000618,SKU-00271,5,2025-08-14,DEFECTIVE,DAMAGED,6180.45,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000074,ORD-00014133,SKU-00120,1,2025-12-31,WRONG_ITEM,GOOD,376.55,2026-01-02,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000075,ORD-00001981,SKU-00029,3,2026-02-12,CHANGED_MIND,NEW,123.78,2026-02-15,RESTOCK,2026-04-30T04:36:50.726872
RET-00000076,ORD-00016631,SKU-00120,1,2026-02-21,WRONG_ITEM,NEW,376.55,2026-02-25,REFURBISH,2026-04-30T04:36:50.726872
RET-00000077,ORD-00007651,SKU-00886,4,2025-07-14,DAMAGED_TRANSIT,NEW,1985.32,2025-07-19,RESTOCK,2026-04-30T04:36:50.726872
RET-00000078,ORD-00024108,SKU-00115,3,2025-11-15,DEFECTIVE,UNSELLABLE,1152.39,,DONATE,2026-04-30T04:36:50.726872
RET-00000079,ORD-00020629,SKU-00236,2,2025-05-31,DEFECTIVE,GOOD,1626.08,2025-06-05,RESTOCK,2026-04-30T04:36:50.726872
RET-00000080,ORD-00006579,SKU-00457,3,2025-05-02,NOT_AS_DESCRIBED,GOOD,1165.44,2025-05-08,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000081,ORD-00046991,SKU-00632,2,2025-05-27,NOT_AS_DESCRIBED,DAMAGED,732.96,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000082,ORD-00046280,SKU-01000,4,2025-09-26,NOT_AS_DESCRIBED,GOOD,4572.6,2025-09-27,DESTROY,2026-04-30T04:36:50.726872
RET-00000083,ORD-00002820,SKU-00502,1,2026-01-07,CHANGED_MIND,GOOD,345.03,2026-01-08,RESTOCK,2026-04-30T04:36:50.726872
RET-00000084,ORD-00032892,SKU-00148,4,2025-11-21,NOT_AS_DESCRIBED,LIKE_NEW,280.4,2025-11-25,REFURBISH,2026-04-30T04:36:50.726872
RET-00000085,ORD-00036700,SKU-00175,3,2025-09-10,NOT_AS_DESCRIBED,DAMAGED,2550.15,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000086,ORD-00000975,SKU-00012,1,2025-07-19,WRONG_ITEM,DAMAGED,689.78,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000087,ORD-00031598,SKU-00748,3,2025-06-20,WRONG_ITEM,NEW,2373.6,2025-06-25,RESTOCK,2026-04-30T04:36:50.726872
RET-00000088,ORD-00022377,SKU-00145,3,2026-02-25,DUPLICATE_ORDER,DAMAGED,1937.43,,DESTROY,2026-04-30T04:36:50.726872
RET-00000089,ORD-00005769,SKU-00264,3,2025-11-04,DAMAGED_TRANSIT,GOOD,103.59,2025-11-06,DONATE,2026-04-30T04:36:50.726872
RET-00000090,ORD-00008535,SKU-00169,2,2025-12-12,DUPLICATE_ORDER,LIKE_NEW,2275.46,2025-12-16,REFURBISH,2026-04-30T04:36:50.726872
RET-00000091,ORD-00022649,SKU-00006,5,2025-08-26,WRONG_ITEM,GOOD,1993.1,2025-08-28,REFURBISH,2026-04-30T04:36:50.726872
RET-00000092,ORD-00031770,SKU-00595,5,2025-10-02,NOT_AS_DESCRIBED,GOOD,825.8,2025-10-03,DESTROY,2026-04-30T04:36:50.726872
RET-00000093,ORD-00035804,SKU-00707,3,2026-01-17,DEFECTIVE,GOOD,796.2,2026-01-21,REFURBISH,2026-04-30T04:36:50.726872
RET-00000094,ORD-00037865,SKU-00629,2,2025-06-23,WRONG_ITEM,FAIR,1093.96,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000095,ORD-00047969,SKU-00022,4,2026-01-24,DUPLICATE_ORDER,DAMAGED,1342.8,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000096,ORD-00021483,SKU-00525,1,2025-10-21,DEFECTIVE,DAMAGED,60.11,,DESTROY,2026-04-30T04:36:50.726872
RET-00000097,ORD-00048350,SKU-00541,4,2025-11-04,NOT_AS_DESCRIBED,LIKE_NEW,2783.48,2025-11-07,REFURBISH,2026-04-30T04:36:50.726872
RET-00000098,ORD-00020745,SKU-00675,4,2026-01-21,DUPLICATE_ORDER,NEW,642.68,2026-01-22,RESTOCK,2026-04-30T04:36:50.726872
RET-00000099,ORD-00047140,SKU-00885,5,2026-01-05,DAMAGED_TRANSIT,NEW,3181.15,2026-01-10,REFURBISH,2026-04-30T04:36:50.726872
RET-00000100,ORD-00042728,SKU-00537,3,2025-07-12,WRONG_ITEM,NEW,2271.27,2025-07-14,DESTROY,2026-04-30T04:36:50.726872
RET-00000101,ORD-00017437,SKU-00360,5,2025-06-24,WRONG_ITEM,UNSELLABLE,3924.65,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000102,ORD-00025674,SKU-00196,1,2025-11-24,DUPLICATE_ORDER,GOOD,209.07,2025-11-26,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000103,ORD-00007567,SKU-00974,3,2026-04-01,CHANGED_MIND,GOOD,3116.46,2026-04-05,RESTOCK,2026-04-30T04:36:50.726872
RET-00000104,ORD-00008563,SKU-00578,4,2026-01-23,ARRIVED_LATE,GOOD,5619.32,2026-01-24,DONATE,2026-04-30T04:36:50.726872
RET-00000105,ORD-00049986,SKU-00468,4,2025-07-08,WRONG_ITEM,LIKE_NEW,5225.08,2025-07-14,RESTOCK,2026-04-30T04:36:50.726872
RET-00000106,ORD-00013976,SKU-00967,2,2025-06-16,NOT_AS_DESCRIBED,GOOD,664.36,2025-06-18,RESTOCK,2026-04-30T04:36:50.726872
RET-00000107,ORD-00035933,SKU-00109,4,2025-12-24,NOT_AS_DESCRIBED,GOOD,786.56,2025-12-26,RESTOCK,2026-04-30T04:36:50.726872
RET-00000108,ORD-00026510,SKU-00375,4,2026-01-30,CHANGED_MIND,FAIR,1909.12,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000109,ORD-00026389,SKU-00376,1,2025-07-25,CHANGED_MIND,GOOD,81.55,2025-07-26,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000110,ORD-00044491,SKU-00460,1,2025-09-05,DAMAGED_TRANSIT,DAMAGED,281.22,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000111,ORD-00005450,SKU-00939,4,2025-10-09,DAMAGED_TRANSIT,UNSELLABLE,2951.6,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000112,ORD-00033730,SKU-00514,1,2025-05-14,ARRIVED_LATE,UNSELLABLE,322.9,,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000113,ORD-00004835,SKU-00650,5,2025-07-08,NOT_AS_DESCRIBED,LIKE_NEW,905.05,2025-07-11,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000114,ORD-00036637,SKU-00604,4,2025-08-21,DAMAGED_TRANSIT,UNSELLABLE,4229.16,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000115,ORD-00005700,SKU-00458,3,2026-04-11,DEFECTIVE,GOOD,28.71,2026-04-14,RESTOCK,2026-04-30T04:36:50.726872
RET-00000116,ORD-00039894,SKU-00605,2,2025-07-26,ARRIVED_LATE,NEW,1116.06,2025-07-31,REFURBISH,2026-04-30T04:36:50.726872
RET-00000117,ORD-00048082,SKU-00123,5,2025-06-15,DAMAGED_TRANSIT,DAMAGED,1811.3,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000118,ORD-00045872,SKU-00255,3,2026-04-02,WRONG_ITEM,NEW,483.6,2026-04-03,RESTOCK,2026-04-30T04:36:50.726872
RET-00000119,ORD-00046389,SKU-00404,4,2026-01-28,DAMAGED_TRANSIT,LIKE_NEW,2752.28,2026-01-31,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000120,ORD-00006959,SKU-00504,1,2025-08-25,NOT_AS_DESCRIBED,DAMAGED,371.85,,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000121,ORD-00046939,SKU-00598,1,2025-12-10,DAMAGED_TRANSIT,LIKE_NEW,345.02,2025-12-11,DONATE,2026-04-30T04:36:50.726872
RET-00000122,ORD-00034242,SKU-00956,2,2025-05-23,CHANGED_MIND,GOOD,477.18,2025-05-25,REFURBISH,2026-04-30T04:36:50.726872
RET-00000123,ORD-00049731,SKU-00791,1,2026-01-09,DAMAGED_TRANSIT,UNSELLABLE,779.63,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000124,ORD-00015644,SKU-00727,1,2025-12-08,ARRIVED_LATE,FAIR,256.45,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000125,ORD-00041478,SKU-00382,2,2025-08-27,WRONG_ITEM,GOOD,676.54,2025-09-01,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000126,ORD-00036842,SKU-00373,2,2026-02-19,DUPLICATE_ORDER,FAIR,554.04,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000127,ORD-00016517,SKU-00944,1,2025-11-06,NOT_AS_DESCRIBED,GOOD,387.61,2025-11-07,DONATE,2026-04-30T04:36:50.726872
RET-00000128,ORD-00043468,SKU-00607,3,2026-03-07,CHANGED_MIND,FAIR,2414.67,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000129,ORD-00039858,SKU-00085,1,2026-04-26,CHANGED_MIND,FAIR,94.45,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000130,ORD-00041280,SKU-00238,4,2025-06-16,CHANGED_MIND,UNSELLABLE,1756.84,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000131,ORD-00012689,SKU-00962,1,2025-06-10,NOT_AS_DESCRIBED,LIKE_NEW,403.1,2025-06-15,REFURBISH,2026-04-30T04:36:50.726872
RET-00000132,ORD-00047289,SKU-00589,3,2026-02-27,DUPLICATE_ORDER,NEW,1949.97,2026-02-28,DESTROY,2026-04-30T04:36:50.726872
RET-00000133,ORD-00015345,SKU-00678,4,2025-07-03,CHANGED_MIND,LIKE_NEW,1919.76,2025-07-10,RESTOCK,2026-04-30T04:36:50.726872
RET-00000134,ORD-00049926,SKU-00965,1,2025-08-12,NOT_AS_DESCRIBED,DAMAGED,372.22,,DESTROY,2026-04-30T04:36:50.726872
RET-00000135,ORD-00026222,SKU-00552,3,2025-09-19,NOT_AS_DESCRIBED,GOOD,2522.01,2025-09-25,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000136,ORD-00011647,SKU-00138,5,2026-02-25,DEFECTIVE,GOOD,4288.75,2026-03-04,RESTOCK,2026-04-30T04:36:50.726872
RET-00000137,ORD-00013375,SKU-00649,3,2025-11-20,CHANGED_MIND,NEW,570.0,2025-11-23,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000138,ORD-00019706,SKU-00437,1,2025-07-08,DEFECTIVE,NEW,781.17,2025-07-14,RESTOCK,2026-04-30T04:36:50.726872
RET-00000139,ORD-00044024,SKU-00287,2,2025-11-03,ARRIVED_LATE,NEW,1638.64,2025-11-07,DESTROY,2026-04-30T04:36:50.726872
RET-00000140,ORD-00022663,SKU-00763,5,2025-09-03,CHANGED_MIND,FAIR,4010.95,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000141,ORD-00017021,SKU-00155,3,2026-04-01,DUPLICATE_ORDER,DAMAGED,1789.14,,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000142,ORD-00049461,SKU-00347,5,2026-02-11,NOT_AS_DESCRIBED,NEW,1284.4,2026-02-14,DONATE,2026-04-30T04:36:50.726872
RET-00000143,ORD-00034139,SKU-00351,4,2025-09-27,NOT_AS_DESCRIBED,UNSELLABLE,1119.76,,DESTROY,2026-04-30T04:36:50.726872
RET-00000144,ORD-00034854,SKU-00172,2,2025-08-04,CHANGED_MIND,LIKE_NEW,2098.3,2025-08-07,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000145,ORD-00006569,SKU-00532,3,2026-03-27,CHANGED_MIND,NEW,144.45,2026-03-28,DESTROY,2026-04-30T04:36:50.726872
RET-00000146,ORD-00034947,SKU-00112,3,2026-01-07,NOT_AS_DESCRIBED,LIKE_NEW,2962.86,2026-01-11,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000147,ORD-00042143,SKU-00041,2,2025-05-09,DUPLICATE_ORDER,UNSELLABLE,473.58,,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000148,ORD-00042030,SKU-00620,3,2025-12-17,DAMAGED_TRANSIT,UNSELLABLE,1940.28,,DONATE,2026-04-30T04:36:50.726872
RET-00000149,ORD-00004352,SKU-00011,5,2025-12-28,CHANGED_MIND,NEW,5451.3,2026-01-03,RESTOCK,2026-04-30T04:36:50.726872
RET-00000150,ORD-00044966,SKU-00462,4,2025-11-06,WRONG_ITEM,NEW,4029.84,2025-11-13,RESTOCK,2026-04-30T04:36:50.726872
RET-00000151,ORD-00032477,SKU-00393,4,2026-04-16,DEFECTIVE,FAIR,2055.08,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000152,ORD-00022406,SKU-00235,2,2026-03-25,DUPLICATE_ORDER,NEW,1432.42,2026-03-26,DESTROY,2026-04-30T04:36:50.726872
RET-00000153,ORD-00020815,SKU-00215,5,2025-06-24,DAMAGED_TRANSIT,FAIR,5064.75,,DONATE,2026-04-30T04:36:50.726872
RET-00000154,ORD-00016287,SKU-00198,1,2025-07-18,CHANGED_MIND,NEW,98.99,2025-07-23,DESTROY,2026-04-30T04:36:50.726872
RET-00000155,ORD-00007869,SKU-00964,4,2025-08-23,NOT_AS_DESCRIBED,LIKE_NEW,2557.48,2025-08-27,DESTROY,2026-04-30T04:36:50.726872
RET-00000156,ORD-00002352,SKU-00039,5,2025-06-08,DAMAGED_TRANSIT,DAMAGED,4587.35,,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000157,ORD-00048623,SKU-00164,1,2025-05-30,CHANGED_MIND,LIKE_NEW,531.69,2025-06-01,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000158,ORD-00015535,SKU-00833,1,2026-03-17,WRONG_ITEM,GOOD,94.23,2026-03-24,DESTROY,2026-04-30T04:36:50.726872
RET-00000159,ORD-00007738,SKU-00395,3,2026-02-06,DEFECTIVE,GOOD,1541.07,2026-02-12,RESTOCK,2026-04-30T04:36:50.726872
RET-00000160,ORD-00049486,SKU-00524,5,2025-12-20,ARRIVED_LATE,FAIR,6857.1,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000161,ORD-00008146,SKU-00819,3,2026-04-21,WRONG_ITEM,LIKE_NEW,857.01,2026-04-23,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000162,ORD-00048830,SKU-00628,3,2026-02-13,WRONG_ITEM,DAMAGED,1169.13,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000163,ORD-00037318,SKU-00438,2,2026-01-05,DEFECTIVE,NEW,854.96,2026-01-11,DESTROY,2026-04-30T04:36:50.726872
RET-00000164,ORD-00003046,SKU-00771,4,2025-07-30,ARRIVED_LATE,GOOD,1689.88,2025-08-03,RESTOCK,2026-04-30T04:36:50.726872
RET-00000165,ORD-00035240,SKU-00181,5,2025-11-14,CHANGED_MIND,LIKE_NEW,1019.25,2025-11-16,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000166,ORD-00030877,SKU-00733,5,2025-07-06,WRONG_ITEM,FAIR,2002.2,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000167,ORD-00028334,SKU-00751,1,2025-10-20,WRONG_ITEM,LIKE_NEW,255.76,2025-10-25,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000168,ORD-00002395,SKU-00484,2,2025-12-12,WRONG_ITEM,LIKE_NEW,2029.32,2025-12-19,RESTOCK,2026-04-30T04:36:50.726872
RET-00000169,ORD-00000437,SKU-00055,4,2025-08-05,WRONG_ITEM,LIKE_NEW,5429.96,2025-08-09,RESTOCK,2026-04-30T04:36:50.726872
