perf_id,supplier_id,period_month,period_year,total_pos,on_time_deliveries,on_time_rate,fill_rate,defect_rate,avg_lead_days,score,_ingested_at
SPERF-00000072,SUP-0003,12,2023,14,11,0.791,0.805,0.0261,27,78.29,2026-04-30T04:36:50.726872
SPERF-00000073,SUP-0003,1,2024,37,33,0.901,0.846,0.0241,50,84.62,2026-04-30T04:36:50.726872
SPERF-00000074,SUP-0003,2,2024,7,5,0.79,0.929,0.023,31,83.37,2026-04-30T04:36:50.726872
SPERF-00000075,SUP-0003,3,2024,44,41,0.936,0.805,0.0133,44,87.29,2026-04-30T04:36:50.726872
SPERF-00000076,SUP-0003,4,2024,43,41,0.957,0.833,0.013,52,89.19,2026-04-30T04:36:50.726872
SPERF-00000077,SUP-0003,5,2024,58,46,0.802,0.946,0.0152,33,86.39,2026-04-30T04:36:50.726872
SPERF-00000078,SUP-0003,6,2024,74,68,0.927,0.99,0.0437,50,85.8,2026-04-30T04:36:50.726872
SPERF-00000079,SUP-0003,7,2024,76,66,0.871,0.982,0.0444,23,83.11,2026-04-30T04:36:50.726872
SPERF-00000080,SUP-0003,8,2024,23,16,0.71,0.899,0.0096,6,82.47,2026-04-30T04:36:50.726872
SPERF-00000081,SUP-0003,9,2024,61,55,0.91,0.883,0.0477,16,80.38,2026-04-30T04:36:50.726872
SPERF-00000082,SUP-0003,10,2024,16,11,0.709,0.884,0.0481,40,72.27,2026-04-30T04:36:50.726872
SPERF-00000083,SUP-0003,11,2024,27,25,0.939,0.967,0.0228,30,90.7,2026-04-30T04:36:50.726872
SPERF-00000084,SUP-0003,12,2024,64,51,0.811,0.88,0.0078,5,86.29,2026-04-30T04:36:50.726872
SPERF-00000085,SUP-0003,1,2025,55,45,0.83,0.929,0.035,54,81.97,2026-04-30T04:36:50.726872
SPERF-00000086,SUP-0003,2,2025,33,28,0.865,0.878,0.0048,52,89.13,2026-04-30T04:36:50.726872
SPERF-00000087,SUP-0003,3,2025,39,32,0.842,0.921,0.0396,51,81.01,2026-04-30T04:36:50.726872
SPERF-00000088,SUP-0003,4,2025,79,70,0.896,0.865,0.0473,17,79.29,2026-04-30T04:36:50.726872
SPERF-00000089,SUP-0003,5,2025,38,34,0.912,0.989,0.005,44,94.84,2026-04-30T04:36:50.726872
SPERF-00000090,SUP-0003,6,2025,49,38,0.78,0.842,0.0122,46,82.62,2026-04-30T04:36:50.726872
SPERF-00000091,SUP-0004,1,2023,63,59,0.952,0.923,0.0351,31,86.61,2026-04-30T04:36:50.726872
SPERF-00000092,SUP-0004,2,2023,65,46,0.718,0.829,0.0025,9,82.11,2026-04-30T04:36:50.726872
SPERF-00000093,SUP-0004,3,2023,6,4,0.776,0.966,0.0126,44,86.7,2026-04-30T04:36:50.726872
SPERF-00000094,SUP-0004,4,2023,29,27,0.951,0.802,0.0376,54,81.71,2026-04-30T04:36:50.726872
SPERF-00000095,SUP-0004,5,2023,46,32,0.717,0.906,0.0206,26,80.24,2026-04-30T04:36:50.726872
SPERF-00000096,SUP-0004,6,2023,5,4,0.879,0.963,0.0257,12,87.44,2026-04-30T04:36:50.726872
SPERF-00000097,SUP-0004,7,2023,59,42,0.721,0.891,0.0032,55,84.23,2026-04-30T04:36:50.726872
SPERF-00000098,SUP-0004,8,2023,33,27,0.827,0.825,0.026,59,80.45,2026-04-30T04:36:50.726872
SPERF-00000099,SUP-0004,9,2023,69,66,0.965,0.863,0.0146,56,90.16,2026-04-30T04:36:50.726872
SPERF-00000100,SUP-0004,10,2023,52,37,0.715,0.823,0.0026,4,81.75,2026-04-30T04:36:50.726872
SPERF-00000101,SUP-0004,11,2023,16,15,0.99,0.882,0.0179,23,91.0,2026-04-30T04:36:50.726872
SPERF-00000102,SUP-0004,12,2023,8,6,0.812,0.846,0.0419,24,76.62,2026-04-30T04:36:50.726872
SPERF-00000103,SUP-0004,1,2024,30,22,0.75,0.895,0.0379,45,76.85,2026-04-30T04:36:50.726872
SPERF-00000104,SUP-0004,2,2024,75,54,0.722,0.966,0.0155,14,83.81,2026-04-30T04:36:50.726872
SPERF-00000105,SUP-0004,3,2024,63,59,0.949,0.816,0.0256,45,85.12,2026-04-30T04:36:50.726872
SPERF-00000106,SUP-0004,4,2024,12,8,0.739,0.878,0.0451,49,74.02,2026-04-30T04:36:50.726872
SPERF-00000107,SUP-0004,5,2024,61,54,0.895,0.974,0.0363,45,85.81,2026-04-30T04:36:50.726872
SPERF-00000108,SUP-0004,6,2024,29,24,0.849,0.878,0.0133,33,86.36,2026-04-30T04:36:50.726872
SPERF-00000109,SUP-0004,7,2024,33,24,0.752,0.84,0.0253,31,78.16,2026-04-30T04:36:50.726872
SPERF-00000110,SUP-0004,8,2024,28,26,0.935,0.841,0.0409,49,81.61,2026-04-30T04:36:50.726872
SPERF-00000111,SUP-0004,9,2024,68,48,0.713,0.804,0.0293,33,74.33,2026-04-30T04:36:50.726872
SPERF-00000112,SUP-0004,10,2024,74,64,0.872,0.81,0.0137,20,84.81,2026-04-30T04:36:50.726872
SPERF-00000113,SUP-0004,11,2024,9,7,0.822,0.863,0.0279,16,81.11,2026-04-30T04:36:50.726872
SPERF-00000114,SUP-0004,12,2024,45,39,0.887,0.908,0.0286,53,85.11,2026-04-30T04:36:50.726872
SPERF-00000115,SUP-0004,1,2025,15,14,0.969,0.824,0.0083,52,90.52,2026-04-30T04:36:50.726872
SPERF-00000116,SUP-0004,2,2025,17,13,0.791,0.965,0.029,14,83.16,2026-04-30T04:36:50.726872
SPERF-00000117,SUP-0004,3,2025,5,4,0.986,0.916,0.0223,52,90.92,2026-04-30T04:36:50.726872
SPERF-00000118,SUP-0004,4,2025,23,18,0.819,0.902,0.0372,7,80.03,2026-04-30T04:36:50.726872
SPERF-00000119,SUP-0004,5,2025,62,60,0.974,0.817,0.0459,10,81.08,2026-04-30T04:36:50.726872
SPERF-00000120,SUP-0004,6,2025,37,34,0.926,0.871,0.0352,52,83.73,2026-04-30T04:36:50.726872
SPERF-00000121,SUP-0005,1,2023,34,33,0.983,0.941,0.0035,15,96.38,2026-04-30T04:36:50.726872
SPERF-00000122,SUP-0005,2,2023,13,9,0.719,0.935,0.009,41,84.23,2026-04-30T04:36:50.726872
SPERF-00000123,SUP-0005,3,2023,38,27,0.714,0.919,0.0162,17,81.67,2026-04-30T04:36:50.726872
SPERF-00000124,SUP-0005,4,2023,63,50,0.8,0.987,0.0074,3,89.69,2026-04-30T04:36:50.726872
SPERF-00000125,SUP-0005,5,2023,20,15,0.778,0.968,0.0461,14,78.47,2026-04-30T04:36:50.726872
SPERF-00000126,SUP-0005,6,2023,21,18,0.862,0.987,0.0391,12,84.25,2026-04-30T04:36:50.726872
SPERF-00000127,SUP-0005,7,2023,14,12,0.903,0.984,0.0398,18,85.61,2026-04-30T04:36:50.726872
SPERF-00000128,SUP-0005,8,2023,43,33,0.776,0.87,0.0319,31,78.52,2026-04-30T04:36:50.726872
SPERF-00000129,SUP-0005,9,2023,47,46,0.989,0.88,0.0405,29,85.23,2026-04-30T04:36:50.726872
SPERF-00000130,SUP-0005,10,2023,46,41,0.894,0.824,0.05,8,77.1,2026-04-30T04:36:50.726872
SPERF-00000131,SUP-0005,11,2023,35,30,0.869,0.917,0.0375,44,82.48,2026-04-30T04:36:50.726872
SPERF-00000132,SUP-0005,12,2023,32,31,0.984,0.875,0.0023,10,94.41,2026-04-30T04:36:50.726872
SPERF-00000133,SUP-0005,1,2024,14,13,0.969,0.977,0.0308,34,90.25,2026-04-30T04:36:50.726872
SPERF-00000134,SUP-0005,2,2024,70,54,0.779,0.974,0.0347,35,81.58,2026-04-30T04:36:50.726872
SPERF-00000135,SUP-0005,3,2024,41,36,0.879,0.964,0.0237,10,87.98,2026-04-30T04:36:50.726872
SPERF-00000136,SUP-0005,4,2024,73,65,0.899,0.963,0.0208,35,89.46,2026-04-30T04:36:50.726872
SPERF-00000137,SUP-0005,5,2024,18,17,0.97,0.868,0.0409,49,83.95,2026-04-30T04:36:50.726872
SPERF-00000138,SUP-0005,6,2024,47,45,0.971,0.97,0.0049,12,96.56,2026-04-30T04:36:50.726872
SPERF-00000139,SUP-0005,7,2024,66,56,0.859,0.935,0.011,25,89.34,2026-04-30T04:36:50.726872
SPERF-00000140,SUP-0005,8,2024,47,40,0.871,0.922,0.0139,3,88.64,2026-04-30T04:36:50.726872
SPERF-00000141,SUP-0005,9,2024,53,45,0.855,0.915,0.0488,16,79.02,2026-04-30T04:36:50.726872
SPERF-00000142,SUP-0005,10,2024,77,54,0.711,0.917,0.0351,22,76.76,2026-04-30T04:36:50.726872
SPERF-00000143,SUP-0005,11,2024,67,58,0.872,0.807,0.0165,57,84.0,2026-04-30T04:36:50.726872
SPERF-00000144,SUP-0005,12,2024,11,8,0.756,0.944,0.0489,60,76.06,2026-04-30T04:36:50.726872
SPERF-00000145,SUP-0005,1,2025,19,13,0.71,0.894,0.0023,32,84.11,2026-04-30T04:36:50.726872
SPERF-00000146,SUP-0005,2,2025,31,28,0.934,0.828,0.0072,15,89.54,2026-04-30T04:36:50.726872
SPERF-00000147,SUP-0005,3,2025,59,45,0.765,0.965,0.0028,46,88.67,2026-04-30T04:36:50.726872
SPERF-00000148,SUP-0005,4,2025,42,31,0.742,0.982,0.0204,5,83.95,2026-04-30T04:36:50.726872
SPERF-00000149,SUP-0005,5,2025,44,36,0.832,0.904,0.0143,19,86.34,2026-04-30T04:36:50.726872
SPERF-00000150,SUP-0005,6,2025,9,6,0.709,0.87,0.0221,38,78.28,2026-04-30T04:36:50.726872
SPERF-00000151,SUP-0006,1,2023,16,12,0.802,0.883,0.0328,30,79.78,2026-04-30T04:36:50.726872
SPERF-00000152,SUP-0006,2,2023,32,23,0.734,0.811,0.0016,3,82.34,2026-04-30T04:36:50.726872
SPERF-00000153,SUP-0006,3,2023,27,23,0.862,0.958,0.0186,35,88.36,2026-04-30T04:36:50.726872
SPERF-00000154,SUP-0006,4,2023,33,26,0.804,0.875,0.0101,11,85.26,2026-04-30T04:36:50.726872
SPERF-00000155,SUP-0006,5,2023,74,55,0.747,0.978,0.0212,35,83.81,2026-04-30T04:36:50.726872
SPERF-00000156,SUP-0006,6,2023,32,31,0.984,0.928,0.0206,29,91.69,2026-04-30T04:36:50.726872
SPERF-00000157,SUP-0006,7,2023,76,74,0.975,0.951,0.0452,48,85.98,2026-04-30T04:36:50.726872
SPERF-00000158,SUP-0006,8,2023,18,13,0.746,0.986,0.0106,13,86.7,2026-04-30T04:36:50.726872
SPERF-00000159,SUP-0006,9,2023,49,39,0.815,0.87,0.0183,33,83.47,2026-04-30T04:36:50.726872
SPERF-00000160,SUP-0006,10,2023,65,50,0.781,0.878,0.0305,40,79.34,2026-04-30T04:36:50.726872
SPERF-00000161,SUP-0006,11,2023,70,51,0.734,0.858,0.0274,31,77.54,2026-04-30T04:36:50.726872
SPERF-00000162,SUP-0006,12,2023,52,42,0.822,0.832,0.0429,10,76.27,2026-04-30T04:36:50.726872
SPERF-00000163,SUP-0006,1,2024,74,51,0.701,0.905,0.0329,39,76.49,2026-04-30T04:36:50.726872
SPERF-00000164,SUP-0006,2,2024,14,12,0.877,0.888,0.0233,5,85.33,2026-04-30T04:36:50.726872
SPERF-00000165,SUP-0006,3,2024,45,42,0.935,0.87,0.0453,30,81.53,2026-04-30T04:36:50.726872
SPERF-00000166,SUP-0006,4,2024,71,58,0.82,0.853,0.0356,39,78.75,2026-04-30T04:36:50.726872
SPERF-00000167,SUP-0006,5,2024,58,47,0.824,0.989,0.0127,36,89.4,2026-04-30T04:36:50.726872
SPERF-00000168,SUP-0006,6,2024,69,65,0.949,0.94,0.0454,35,84.51,2026-04-30T04:36:50.726872
SPERF-00000169,SUP-0006,7,2024,11,10,0.911,0.906,0.0484,44,81.05,2026-04-30T04:36:50.726872
SPERF-00000170,SUP-0006,8,2024,62,46,0.743,0.919,0.0246,9,80.73,2026-04-30T04:36:50.726872
SPERF-00000171,SUP-0006,9,2024,73,59,0.819,0.824,0.0056,23,85.2,2026-04-30T04:36:50.726872
SPERF-00000172,SUP-0006,10,2024,51,36,0.719,0.858,0.0303,55,76.22,2026-04-30T04:36:50.726872
SPERF-00000173,SUP-0006,11,2024,12,9,0.832,0.816,0.0455,39,75.47,2026-04-30T04:36:50.726872
SPERF-00000174,SUP-0006,12,2024,38,30,0.795,0.938,0.0394,5,79.78,2026-04-30T04:36:50.726872
SPERF-00000175,SUP-0006,1,2025,36,30,0.843,0.928,0.0349,3,82.48,2026-04-30T04:36:50.726872
SPERF-00000176,SUP-0006,2,2025,63,59,0.944,0.892,0.0166,48,89.83,2026-04-30T04:36:50.726872
SPERF-00000177,SUP-0006,3,2025,49,37,0.758,0.974,0.0164,52,85.31,2026-04-30T04:36:50.726872
SPERF-00000178,SUP-0006,4,2025,71,65,0.926,0.95,0.0016,6,94.89,2026-04-30T04:36:50.726872
SPERF-00000179,SUP-0006,5,2025,56,44,0.793,0.882,0.0218,52,82.14,2026-04-30T04:36:50.726872
SPERF-00000180,SUP-0006,6,2025,32,29,0.916,0.888,0.0382,4,83.17,2026-04-30T04:36:50.726872
SPERF-00000181,SUP-0007,1,2023,15,11,0.787,0.905,0.0431,31,77.38,2026-04-30T04:36:50.726872
SPERF-00000182,SUP-0007,2,2023,66,57,0.878,0.819,0.0464,22,77.19,2026-04-30T04:36:50.726872
SPERF-00000183,SUP-0007,3,2023,23,20,0.893,0.943,0.0381,3,84.2,2026-04-30T04:36:50.726872
SPERF-00000184,SUP-0007,4,2023,26,22,0.847,0.85,0.0059,31,87.16,2026-04-30T04:36:50.726872
SPERF-00000185,SUP-0007,5,2023,62,48,0.789,0.813,0.0416,30,74.62,2026-04-30T04:36:50.726872
SPERF-00000186,SUP-0007,6,2023,32,28,0.879,0.986,0.0396,20,84.77,2026-04-30T04:36:50.726872
SPERF-00000187,SUP-0007,7,2023,24,19,0.818,0.868,0.0018,32,87.65,2026-04-30T04:36:50.726872
SPERF-00000188,SUP-0007,8,2023,13,9,0.706,0.98,0.0492,54,75.24,2026-04-30T04:36:50.726872
SPERF-00000189,SUP-0007,9,2023,62,50,0.809,0.928,0.0033,26,89.02,2026-04-30T04:36:50.726872
SPERF-00000190,SUP-0007,10,2023,76,68,0.905,0.915,0.0278,39,86.27,2026-04-30T04:36:50.726872
SPERF-00000191,SUP-0007,11,2023,72,58,0.811,0.869,0.0462,51,76.31,2026-04-30T04:36:50.726872
SPERF-00000192,SUP-0007,12,2023,33,25,0.773,0.948,0.0128,26,85.9,2026-04-30T04:36:50.726872
SPERF-00000193,SUP-0007,1,2024,12,9,0.783,0.872,0.0041,54,85.81,2026-04-30T04:36:50.726872
SPERF-00000194,SUP-0007,2,2024,15,10,0.729,0.908,0.0108,40,83.24,2026-04-30T04:36:50.726872
SPERF-00000195,SUP-0007,3,2024,31,29,0.938,0.935,0.0177,56,90.82,2026-04-30T04:36:50.726872
SPERF-00000196,SUP-0007,4,2024,58,43,0.754,0.929,0.0085,18,85.55,2026-04-30T04:36:50.726872
SPERF-00000197,SUP-0007,5,2024,17,14,0.838,0.918,0.0258,21,84.2,2026-04-30T04:36:50.726872
SPERF-00000198,SUP-0007,6,2024,67,49,0.74,0.853,0.0496,22,72.05,2026-04-30T04:36:50.726872
SPERF-00000199,SUP-0007,7,2024,67,47,0.709,0.983,0.0266,22,81.12,2026-04-30T04:36:50.726872
SPERF-00000200,SUP-0007,8,2024,10,9,0.94,0.938,0.0294,34,88.08,2026-04-30T04:36:50.726872
SPERF-00000201,SUP-0007,9,2024,38,26,0.709,0.989,0.0443,35,76.9,2026-04-30T04:36:50.726872
SPERF-00000202,SUP-0007,10,2024,62,46,0.751,0.843,0.0321,31,76.52,2026-04-30T04:36:50.726872
SPERF-00000203,SUP-0007,11,2024,35,31,0.891,0.838,0.0097,49,87.55,2026-04-30T04:36:50.726872
SPERF-00000204,SUP-0007,12,2024,52,43,0.834,0.841,0.0259,7,81.32,2026-04-30T04:36:50.726872
SPERF-00000205,SUP-0007,1,2025,58,45,0.791,0.951,0.0408,15,79.72,2026-04-30T04:36:50.726872
SPERF-00000206,SUP-0007,2,2025,58,56,0.98,0.846,0.0478,11,81.86,2026-04-30T04:36:50.726872
SPERF-00000207,SUP-0007,3,2025,64,53,0.842,0.813,0.0377,18,77.71,2026-04-30T04:36:50.726872
SPERF-00000208,SUP-0007,4,2025,79,62,0.793,0.9,0.0376,35,78.82,2026-04-30T04:36:50.726872
SPERF-00000209,SUP-0007,5,2025,41,30,0.746,0.84,0.0071,8,82.47,2026-04-30T04:36:50.726872
SPERF-00000210,SUP-0007,6,2025,27,20,0.763,0.885,0.0016,41,86.09,2026-04-30T04:36:50.726872
SPERF-00000211,SUP-0008,1,2023,9,7,0.78,0.969,0.0194,56,85.27,2026-04-30T04:36:50.726872
SPERF-00000212,SUP-0008,2,2023,76,57,0.761,0.913,0.0239,8,81.42,2026-04-30T04:36:50.726872
SPERF-00000213,SUP-0008,3,2023,64,61,0.962,0.95,0.0125,50,93.6,2026-04-30T04:36:50.726872
SPERF-00000214,SUP-0008,4,2023,13,9,0.763,0.985,0.0453,59,78.67,2026-04-30T04:36:50.726872
SPERF-00000215,SUP-0008,5,2023,31,26,0.84,0.905,0.0111,24,87.5,2026-04-30T04:36:50.726872
SPERF-00000216,SUP-0008,6,2023,20,17,0.896,0.847,0.0466,34,78.84,2026-04-30T04:36:50.726872
SPERF-00000217,SUP-0008,7,2023,16,12,0.806,0.883,0.0063,23,86.57,2026-04-30T04:36:50.726872
SPERF-00000218,SUP-0008,8,2023,16,11,0.739,0.951,0.0376,11,78.44,2026-04-30T04:36:50.726872
SPERF-00000219,SUP-0008,9,2023,15,11,0.772,0.864,0.0076,17,84.22,2026-04-30T04:36:50.726872
SPERF-00000220,SUP-0008,10,2023,27,24,0.897,0.961,0.0468,32,82.81,2026-04-30T04:36:50.726872
SPERF-00000221,SUP-0008,11,2023,69,55,0.801,0.911,0.0325,48,80.8,2026-04-30T04:36:50.726872
SPERF-00000222,SUP-0008,12,2023,30,21,0.729,0.864,0.0469,34,72.67,2026-04-30T04:36:50.726872
SPERF-00000223,SUP-0008,1,2024,54,44,0.824,0.892,0.0218,59,83.73,2026-04-30T04:36:50.726872
SPERF-00000224,SUP-0008,2,2024,58,55,0.958,0.922,0.0395,37,85.72,2026-04-30T04:36:50.726872
SPERF-00000225,SUP-0008,3,2024,6,5,0.99,0.912,0.0048,23,95.32,2026-04-30T04:36:50.726872
SPERF-00000226,SUP-0008,4,2024,9,7,0.783,0.852,0.0023,20,85.56,2026-04-30T04:36:50.726872
SPERF-00000227,SUP-0008,5,2024,50,40,0.811,0.8,0.0242,3,79.39,2026-04-30T04:36:50.726872
SPERF-00000228,SUP-0008,6,2024,63,50,0.809,0.889,0.0056,7,87.08,2026-04-30T04:36:50.726872
SPERF-00000229,SUP-0008,7,2024,77,62,0.806,0.868,0.034,45,79.12,2026-04-30T04:36:50.726872
SPERF-00000230,SUP-0008,8,2024,43,38,0.891,0.976,0.0032,49,94.0,2026-04-30T04:36:50.726872
SPERF-00000231,SUP-0008,9,2024,45,35,0.783,0.816,0.0187,17,80.2,2026-04-30T04:36:50.726872
