location_id,warehouse_id,zone,aisle,rack,bin,location_type,max_weight_lbs,max_volume_cuft,is_active,_ingested_at
LOC-AS-01-M09-01,WH-EAS-01,RECEIVING,M,09,01,STANDARD,500,18.6,True,2026-04-30T04:36:50.726872
LOC-AS-02-B30-02,WH-EAS-02,ZONE-D,B,30,02,STANDARD,5000,44.2,True,2026-04-30T04:36:50.726872
LOC-ES-07-L29-07,WH-WES-07,ZONE-D,L,29,07,COLD,5000,81.4,True,2026-04-30T04:36:50.726872
LOC-OU-09-E21-06,WH-SOU-09,ZONE-A,E,21,06,STANDARD,5000,110.5,True,2026-04-30T04:36:50.726872
LOC-OR-04-A25-01,WH-NOR-04,ZONE-C,A,25,01,STANDARD,5000,111.1,True,2026-04-30T04:36:50.726872
LOC-OR-04-O12-03,WH-NOR-04,ZONE-C,O,12,03,STANDARD,500,16.1,True,2026-04-30T04:36:50.726872
LOC-EN-10-A08-04,WH-CEN-10,ZONE-A,A,08,04,STANDARD,500,94.8,True,2026-04-30T04:36:50.726872
LOC-AS-01-H24-01,WH-EAS-01,ZONE-D,H,24,01,STANDARD,1000,153.3,True,2026-04-30T04:36:50.726872
LOC-AS-03-J08-06,WH-EAS-03,ZONE-E,J,08,06,STANDARD,2000,55.0,True,2026-04-30T04:36:50.726872
LOC-OU-09-H14-05,WH-SOU-09,ZONE-C,H,14,05,STANDARD,1000,128.9,True,2026-04-30T04:36:50.726872
LOC-EN-08-B12-07,WH-CEN-08,SHIPPING,B,12,07,STANDARD,5000,87.6,True,2026-04-30T04:36:50.726872
LOC-AS-03-P08-04,WH-EAS-03,ZONE-C,P,08,04,COLD,1000,163.1,True,2026-04-30T04:36:50.726872
LOC-OU-09-N14-03,WH-SOU-09,ZONE-D,N,14,03,STANDARD,1000,72.7,True,2026-04-30T04:36:50.726872
LOC-EN-08-L03-04,WH-CEN-08,ZONE-A,L,03,04,STANDARD,500,176.0,True,2026-04-30T04:36:50.726872
LOC-EN-10-G16-04,WH-CEN-10,SHIPPING,G,16,04,COLD,2000,191.8,True,2026-04-30T04:36:50.726872
LOC-OR-04-D24-08,WH-NOR-04,ZONE-B,D,24,08,STANDARD,1000,85.4,True,2026-04-30T04:36:50.726872
LOC-AS-06-J13-08,WH-EAS-06,ZONE-E,J,13,08,STANDARD,2000,59.7,True,2026-04-30T04:36:50.726872
LOC-EN-08-O04-08,WH-CEN-08,SHIPPING,O,04,08,BULK,1000,80.4,True,2026-04-30T04:36:50.726872
LOC-EN-10-H24-03,WH-CEN-10,ZONE-A,H,24,03,STANDARD,5000,66.1,True,2026-04-30T04:36:50.726872
LOC-OR-04-M19-04,WH-NOR-04,ZONE-D,M,19,04,STANDARD,2000,58.9,True,2026-04-30T04:36:50.726872
LOC-EN-08-O06-06,WH-CEN-08,ZONE-B,O,06,06,STANDARD,5000,45.0,True,2026-04-30T04:36:50.726872
LOC-AS-01-B27-02,WH-EAS-01,SHIPPING,B,27,02,STANDARD,500,88.4,True,2026-04-30T04:36:50.726872
LOC-OR-04-C23-03,WH-NOR-04,ZONE-A,C,23,03,STANDARD,5000,80.9,True,2026-04-30T04:36:50.726872
LOC-EN-10-P22-08,WH-CEN-10,ZONE-A,P,22,08,STANDARD,5000,12.3,True,2026-04-30T04:36:50.726872
LOC-OR-05-J01-07,WH-NOR-05,SHIPPING,J,01,07,HAZMAT,1000,30.3,True,2026-04-30T04:36:50.726872
LOC-AS-03-H07-05,WH-EAS-03,SHIPPING,H,07,05,STANDARD,5000,25.0,True,2026-04-30T04:36:50.726872
LOC-EN-08-H23-04,WH-CEN-08,ZONE-C,H,23,04,STANDARD,500,134.2,True,2026-04-30T04:36:50.726872
LOC-AS-01-C13-07,WH-EAS-01,ZONE-D,C,13,07,STANDARD,500,131.0,True,2026-04-30T04:36:50.726872
LOC-AS-02-P28-07,WH-EAS-02,RECEIVING,P,28,07,BULK,500,180.0,True,2026-04-30T04:36:50.726872
LOC-OR-04-G29-08,WH-NOR-04,ZONE-C,G,29,08,STANDARD,500,140.0,True,2026-04-30T04:36:50.726872
LOC-OU-09-B06-06,WH-SOU-09,ZONE-A,B,06,06,OVERSIZE,1000,152.9,True,2026-04-30T04:36:50.726872
LOC-ES-07-C10-03,WH-WES-07,ZONE-E,C,10,03,STANDARD,5000,138.6,True,2026-04-30T04:36:50.726872
LOC-ES-07-E26-02,WH-WES-07,ZONE-E,E,26,02,BULK,2000,20.2,True,2026-04-30T04:36:50.726872
LOC-AS-02-K20-07,WH-EAS-02,SHIPPING,K,20,07,STANDARD,2000,158.9,True,2026-04-30T04:36:50.726872
LOC-OR-04-L18-07,WH-NOR-04,ZONE-D,L,18,07,STANDARD,5000,26.3,True,2026-04-30T04:36:50.726872
LOC-OR-04-C03-05,WH-NOR-04,ZONE-B,C,03,05,STANDARD,1000,150.5,True,2026-04-30T04:36:50.726872
LOC-AS-02-C01-05,WH-EAS-02,ZONE-D,C,01,05,STANDARD,2000,29.4,True,2026-04-30T04:36:50.726872
LOC-ES-07-O18-07,WH-WES-07,ZONE-A,O,18,07,STANDARD,2000,115.3,True,2026-04-30T04:36:50.726872
LOC-AS-06-M01-05,WH-EAS-06,ZONE-D,M,01,05,STANDARD,500,147.7,True,2026-04-30T04:36:50.726872
LOC-OR-04-F22-07,WH-NOR-04,ZONE-B,F,22,07,STANDARD,2000,61.0,True,2026-04-30T04:36:50.726872
LOC-AS-03-N09-07,WH-EAS-03,ZONE-C,N,09,07,STANDARD,500,78.6,True,2026-04-30T04:36:50.726872
LOC-EN-08-G15-02,WH-CEN-08,ZONE-B,G,15,02,STANDARD,5000,73.1,True,2026-04-30T04:36:50.726872
LOC-AS-06-O11-07,WH-EAS-06,SHIPPING,O,11,07,BULK,1000,67.1,True,2026-04-30T04:36:50.726872
LOC-OR-04-P11-03,WH-NOR-04,ZONE-D,P,11,03,OVERSIZE,2000,149.6,True,2026-04-30T04:36:50.726872
LOC-EN-10-H11-07,WH-CEN-10,ZONE-C,H,11,07,BULK,5000,79.4,True,2026-04-30T04:36:50.726872
LOC-OR-04-F22-01,WH-NOR-04,RECEIVING,F,22,01,STANDARD,1000,93.3,True,2026-04-30T04:36:50.726872
LOC-AS-02-N22-08,WH-EAS-02,ZONE-B,N,22,08,STANDARD,1000,58.0,True,2026-04-30T04:36:50.726872
LOC-ES-07-M03-08,WH-WES-07,ZONE-E,M,03,08,STANDARD,5000,111.5,True,2026-04-30T04:36:50.726872
LOC-ES-07-B26-06,WH-WES-07,RECEIVING,B,26,06,COLD,500,30.8,True,2026-04-30T04:36:50.726872
LOC-AS-06-F21-01,WH-EAS-06,ZONE-E,F,21,01,OVERSIZE,5000,193.7,True,2026-04-30T04:36:50.726872
LOC-ES-07-D01-02,WH-WES-07,ZONE-C,D,01,02,STANDARD,1000,94.7,True,2026-04-30T04:36:50.726872
LOC-EN-10-E12-01,WH-CEN-10,ZONE-D,E,12,01,STANDARD,5000,184.9,True,2026-04-30T04:36:50.726872
LOC-AS-03-L10-06,WH-EAS-03,ZONE-D,L,10,06,BULK,5000,76.2,True,2026-04-30T04:36:50.726872
LOC-EN-08-K03-05,WH-CEN-08,ZONE-A,K,03,05,BULK,500,14.3,True,2026-04-30T04:36:50.726872
LOC-AS-02-F30-04,WH-EAS-02,ZONE-E,F,30,04,STANDARD,1000,72.9,True,2026-04-30T04:36:50.726872
LOC-EN-08-H26-07,WH-CEN-08,RECEIVING,H,26,07,STANDARD,5000,85.2,True,2026-04-30T04:36:50.726872
LOC-OR-04-O19-07,WH-NOR-04,ZONE-D,O,19,07,STANDARD,1000,49.1,True,2026-04-30T04:36:50.726872
LOC-AS-02-D26-03,WH-EAS-02,ZONE-C,D,26,03,STANDARD,5000,31.7,True,2026-04-30T04:36:50.726872
LOC-EN-08-K20-07,WH-CEN-08,ZONE-E,K,20,07,STANDARD,500,76.1,True,2026-04-30T04:36:50.726872
LOC-EN-10-F27-05,WH-CEN-10,ZONE-E,F,27,05,STANDARD,1000,69.5,True,2026-04-30T04:36:50.726872
LOC-AS-02-F12-03,WH-EAS-02,ZONE-E,F,12,03,STANDARD,1000,119.2,True,2026-04-30T04:36:50.726872
LOC-EN-08-F18-03,WH-CEN-08,ZONE-D,F,18,03,STANDARD,1000,69.8,True,2026-04-30T04:36:50.726872
LOC-AS-01-L01-08,WH-EAS-01,ZONE-B,L,01,08,STANDARD,5000,193.1,True,2026-04-30T04:36:50.726872
LOC-EN-08-N22-08,WH-CEN-08,ZONE-D,N,22,08,BULK,5000,102.9,True,2026-04-30T04:36:50.726872
LOC-AS-01-H10-01,WH-EAS-01,ZONE-C,H,10,01,STANDARD,2000,42.0,True,2026-04-30T04:36:50.726872
LOC-EN-08-D19-02,WH-CEN-08,ZONE-C,D,19,02,BULK,2000,113.0,True,2026-04-30T04:36:50.726872
LOC-EN-08-G14-02,WH-CEN-08,RECEIVING,G,14,02,BULK,1000,66.6,False,2026-04-30T04:36:50.726872
LOC-EN-08-I12-02,WH-CEN-08,ZONE-D,I,12,02,COLD,500,157.4,True,2026-04-30T04:36:50.726872
LOC-EN-10-L28-07,WH-CEN-10,ZONE-B,L,28,07,STANDARD,1000,164.6,True,2026-04-30T04:36:50.726872
LOC-EN-10-L18-05,WH-CEN-10,ZONE-E,L,18,05,STANDARD,2000,196.0,True,2026-04-30T04:36:50.726872
LOC-EN-10-I28-02,WH-CEN-10,ZONE-B,I,28,02,OVERSIZE,5000,184.6,False,2026-04-30T04:36:50.726872
LOC-AS-03-E08-03,WH-EAS-03,RECEIVING,E,08,03,STANDARD,1000,154.7,True,2026-04-30T04:36:50.726872
LOC-EN-08-E19-05,WH-CEN-08,RECEIVING,E,19,05,STANDARD,5000,24.3,True,2026-04-30T04:36:50.726872
LOC-AS-02-M17-05,WH-EAS-02,RECEIVING,M,17,05,HAZMAT,2000,96.4,True,2026-04-30T04:36:50.726872
LOC-EN-10-A28-02,WH-CEN-10,RECEIVING,A,28,02,OVERSIZE,2000,171.5,True,2026-04-30T04:36:50.726872
LOC-ES-07-G14-04,WH-WES-07,ZONE-D,G,14,04,STANDARD,2000,74.2,True,2026-04-30T04:36:50.726872
LOC-EN-10-P26-06,WH-CEN-10,RECEIVING,P,26,06,BULK,500,28.9,True,2026-04-30T04:36:50.726872
LOC-EN-08-A04-03,WH-CEN-08,ZONE-D,A,04,03,STANDARD,5000,48.4,True,2026-04-30T04:36:50.726872
LOC-AS-03-J06-05,WH-EAS-03,ZONE-A,J,06,05,STANDARD,2000,25.7,True,2026-04-30T04:36:50.726872
LOC-AS-03-B13-05,WH-EAS-03,RECEIVING,B,13,05,STANDARD,1000,91.6,True,2026-04-30T04:36:50.726872
LOC-AS-02-A07-08,WH-EAS-02,ZONE-A,A,07,08,STANDARD,1000,108.7,True,2026-04-30T04:36:50.726872
LOC-AS-01-K27-02,WH-EAS-01,SHIPPING,K,27,02,STANDARD,1000,100.8,True,2026-04-30T04:36:50.726872
LOC-AS-02-D04-06,WH-EAS-02,ZONE-C,D,04,06,COLD,1000,82.7,True,2026-04-30T04:36:50.726872
LOC-AS-03-E03-01,WH-EAS-03,ZONE-E,E,03,01,STANDARD,5000,76.7,True,2026-04-30T04:36:50.726872
LOC-AS-03-N20-08,WH-EAS-03,SHIPPING,N,20,08,STANDARD,500,36.6,True,2026-04-30T04:36:50.726872
LOC-ES-07-L14-06,WH-WES-07,SHIPPING,L,14,06,STANDARD,2000,132.5,True,2026-04-30T04:36:50.726872
LOC-EN-10-J25-01,WH-CEN-10,SHIPPING,J,25,01,BULK,2000,49.0,True,2026-04-30T04:36:50.726872
LOC-OR-04-M10-01,WH-NOR-04,SHIPPING,M,10,01,COLD,1000,104.0,True,2026-04-30T04:36:50.726872
LOC-EN-08-C17-01,WH-CEN-08,ZONE-C,C,17,01,HAZMAT,1000,83.5,True,2026-04-30T04:36:50.726872
LOC-ES-07-L18-03,WH-WES-07,SHIPPING,L,18,03,STANDARD,500,13.2,True,2026-04-30T04:36:50.726872
LOC-OR-05-G02-01,WH-NOR-05,SHIPPING,G,02,01,STANDARD,2000,129.4,True,2026-04-30T04:36:50.726872
LOC-ES-07-N23-07,WH-WES-07,ZONE-A,N,23,07,STANDARD,1000,62.7,True,2026-04-30T04:36:50.726872
LOC-OU-09-G26-03,WH-SOU-09,ZONE-E,G,26,03,STANDARD,500,68.9,True,2026-04-30T04:36:50.726872
LOC-OR-04-B08-02,WH-NOR-04,ZONE-D,B,08,02,STANDARD,500,68.8,True,2026-04-30T04:36:50.726872
LOC-AS-03-D01-03,WH-EAS-03,RECEIVING,D,01,03,STANDARD,5000,191.1,True,2026-04-30T04:36:50.726872
LOC-OR-05-F12-03,WH-NOR-05,RECEIVING,F,12,03,BULK,2000,149.3,True,2026-04-30T04:36:50.726872
LOC-AS-01-K26-07,WH-EAS-01,ZONE-C,K,26,07,STANDARD,2000,145.3,True,2026-04-30T04:36:50.726872
LOC-AS-02-P15-06,WH-EAS-02,ZONE-A,P,15,06,STANDARD,1000,79.9,True,2026-04-30T04:36:50.726872
LOC-AS-02-D08-01,WH-EAS-02,ZONE-A,D,08,01,COLD,500,56.5,True,2026-04-30T04:36:50.726872
LOC-ES-07-E06-01,WH-WES-07,ZONE-E,E,06,01,BULK,5000,52.7,True,2026-04-30T04:36:50.726872
LOC-AS-06-I27-02,WH-EAS-06,ZONE-E,I,27,02,STANDARD,500,44.1,True,2026-04-30T04:36:50.726872
LOC-AS-01-M03-08,WH-EAS-01,SHIPPING,M,03,08,STANDARD,2000,72.2,True,2026-04-30T04:36:50.726872
LOC-AS-01-L07-05,WH-EAS-01,ZONE-E,L,07,05,BULK,1000,98.1,True,2026-04-30T04:36:50.726872
LOC-EN-08-G24-04,WH-CEN-08,ZONE-B,G,24,04,STANDARD,5000,14.5,True,2026-04-30T04:36:50.726872
LOC-AS-01-K01-07,WH-EAS-01,SHIPPING,K,01,07,BULK,2000,29.8,True,2026-04-30T04:36:50.726872
LOC-OR-04-N16-01,WH-NOR-04,ZONE-B,N,16,01,BULK,500,18.3,True,2026-04-30T04:36:50.726872
LOC-OU-09-N23-06,WH-SOU-09,ZONE-D,N,23,06,OVERSIZE,500,120.3,True,2026-04-30T04:36:50.726872
LOC-ES-07-C19-01,WH-WES-07,ZONE-D,C,19,01,STANDARD,1000,55.0,True,2026-04-30T04:36:50.726872
LOC-AS-06-M23-06,WH-EAS-06,ZONE-C,M,23,06,STANDARD,1000,24.2,True,2026-04-30T04:36:50.726872
LOC-EN-10-D05-02,WH-CEN-10,ZONE-B,D,05,02,STANDARD,2000,87.2,True,2026-04-30T04:36:50.726872
LOC-OR-04-O10-08,WH-NOR-04,ZONE-C,O,10,08,COLD,500,39.9,True,2026-04-30T04:36:50.726872
LOC-EN-10-B07-06,WH-CEN-10,ZONE-B,B,07,06,STANDARD,1000,194.0,True,2026-04-30T04:36:50.726872
LOC-AS-01-J09-03,WH-EAS-01,ZONE-A,J,09,03,OVERSIZE,5000,115.6,True,2026-04-30T04:36:50.726872
LOC-AS-02-O04-03,WH-EAS-02,ZONE-A,O,04,03,STANDARD,1000,34.8,True,2026-04-30T04:36:50.726872
LOC-AS-06-C19-05,WH-EAS-06,SHIPPING,C,19,05,STANDARD,500,47.6,True,2026-04-30T04:36:50.726872
LOC-AS-03-C29-06,WH-EAS-03,ZONE-A,C,29,06,STANDARD,5000,19.6,True,2026-04-30T04:36:50.726872
LOC-ES-07-M16-01,WH-WES-07,ZONE-D,M,16,01,STANDARD,1000,77.2,True,2026-04-30T04:36:50.726872
LOC-OR-05-I15-03,WH-NOR-05,ZONE-A,I,15,03,STANDARD,1000,133.0,True,2026-04-30T04:36:50.726872
LOC-OU-09-P02-02,WH-SOU-09,ZONE-C,P,02,02,STANDARD,5000,47.9,True,2026-04-30T04:36:50.726872
LOC-OU-09-H21-01,WH-SOU-09,ZONE-D,H,21,01,BULK,2000,101.1,True,2026-04-30T04:36:50.726872
LOC-AS-06-K13-05,WH-EAS-06,ZONE-B,K,13,05,STANDARD,1000,15.6,True,2026-04-30T04:36:50.726872
LOC-OR-05-B26-08,WH-NOR-05,ZONE-E,B,26,08,STANDARD,1000,195.1,True,2026-04-30T04:36:50.726872
LOC-OR-04-I18-01,WH-NOR-04,SHIPPING,I,18,01,OVERSIZE,1000,119.4,False,2026-04-30T04:36:50.726872
LOC-ES-07-L30-03,WH-WES-07,ZONE-B,L,30,03,STANDARD,2000,163.2,True,2026-04-30T04:36:50.726872
LOC-EN-10-A23-06,WH-CEN-10,ZONE-E,A,23,06,STANDARD,1000,169.0,True,2026-04-30T04:36:50.726872
LOC-EN-08-J06-08,WH-CEN-08,ZONE-A,J,06,08,STANDARD,1000,124.3,True,2026-04-30T04:36:50.726872
LOC-EN-08-A11-04,WH-CEN-08,SHIPPING,A,11,04,STANDARD,1000,184.6,True,2026-04-30T04:36:50.726872
LOC-AS-06-B01-03,WH-EAS-06,ZONE-E,B,01,03,BULK,1000,157.1,True,2026-04-30T04:36:50.726872
LOC-AS-06-C12-07,WH-EAS-06,ZONE-E,C,12,07,STANDARD,2000,71.3,False,2026-04-30T04:36:50.726872
LOC-ES-07-P21-06,WH-WES-07,ZONE-B,P,21,06,BULK,2000,52.4,True,2026-04-30T04:36:50.726872
LOC-AS-03-M10-05,WH-EAS-03,ZONE-B,M,10,05,STANDARD,500,190.3,True,2026-04-30T04:36:50.726872
LOC-ES-07-B06-06,WH-WES-07,SHIPPING,B,06,06,OVERSIZE,1000,131.5,True,2026-04-30T04:36:50.726872
LOC-EN-08-E11-02,WH-CEN-08,ZONE-B,E,11,02,STANDARD,2000,41.9,True,2026-04-30T04:36:50.726872
LOC-AS-02-K15-01,WH-EAS-02,ZONE-C,K,15,01,STANDARD,500,76.6,True,2026-04-30T04:36:50.726872
LOC-AS-01-B13-08,WH-EAS-01,RECEIVING,B,13,08,STANDARD,1000,178.1,True,2026-04-30T04:36:50.726872
LOC-ES-07-L18-07,WH-WES-07,ZONE-A,L,18,07,BULK,1000,40.9,True,2026-04-30T04:36:50.726872
LOC-AS-01-J01-06,WH-EAS-01,ZONE-C,J,01,06,OVERSIZE,500,74.9,True,2026-04-30T04:36:50.726872
LOC-AS-03-C18-02,WH-EAS-03,ZONE-C,C,18,02,STANDARD,5000,143.9,True,2026-04-30T04:36:50.726872
LOC-AS-03-N06-01,WH-EAS-03,ZONE-A,N,06,01,STANDARD,1000,87.8,True,2026-04-30T04:36:50.726872
LOC-OU-09-I22-05,WH-SOU-09,ZONE-C,I,22,05,STANDARD,500,84.7,True,2026-04-30T04:36:50.726872
LOC-EN-08-E02-06,WH-CEN-08,ZONE-A,E,02,06,STANDARD,2000,166.5,True,2026-04-30T04:36:50.726872
LOC-EN-08-G04-01,WH-CEN-08,ZONE-B,G,04,01,STANDARD,2000,195.6,True,2026-04-30T04:36:50.726872
LOC-AS-02-J26-07,WH-EAS-02,ZONE-D,J,26,07,STANDARD,2000,27.3,True,2026-04-30T04:36:50.726872
LOC-AS-03-L29-07,WH-EAS-03,ZONE-C,L,29,07,STANDARD,500,60.0,True,2026-04-30T04:36:50.726872
LOC-OR-04-I19-01,WH-NOR-04,ZONE-B,I,19,01,BULK,500,26.3,True,2026-04-30T04:36:50.726872
LOC-OU-09-N25-04,WH-SOU-09,ZONE-E,N,25,04,STANDARD,5000,165.5,True,2026-04-30T04:36:50.726872
LOC-OU-09-P19-04,WH-SOU-09,ZONE-D,P,19,04,STANDARD,5000,181.5,True,2026-04-30T04:36:50.726872
LOC-OU-09-E04-08,WH-SOU-09,ZONE-B,E,04,08,HAZMAT,1000,194.7,True,2026-04-30T04:36:50.726872
LOC-AS-03-B14-02,WH-EAS-03,RECEIVING,B,14,02,STANDARD,1000,168.5,True,2026-04-30T04:36:50.726872
LOC-AS-02-C13-07,WH-EAS-02,ZONE-E,C,13,07,STANDARD,2000,108.7,True,2026-04-30T04:36:50.726872
LOC-AS-01-N04-07,WH-EAS-01,ZONE-B,N,04,07,STANDARD,500,185.7,True,2026-04-30T04:36:50.726872
LOC-AS-02-J28-06,WH-EAS-02,ZONE-D,J,28,06,STANDARD,5000,118.7,True,2026-04-30T04:36:50.726872
LOC-AS-03-I13-03,WH-EAS-03,ZONE-E,I,13,03,STANDARD,5000,17.4,True,2026-04-30T04:36:50.726872
LOC-AS-06-H02-08,WH-EAS-06,ZONE-C,H,02,08,COLD,500,74.2,True,2026-04-30T04:36:50.726872
LOC-OR-05-I27-08,WH-NOR-05,SHIPPING,I,27,08,STANDARD,500,194.8,True,2026-04-30T04:36:50.726872
LOC-OR-05-O25-06,WH-NOR-05,ZONE-C,O,25,06,BULK,500,45.7,True,2026-04-30T04:36:50.726872
LOC-ES-07-P25-06,WH-WES-07,SHIPPING,P,25,06,STANDARD,1000,22.5,True,2026-04-30T04:36:50.726872
LOC-ES-07-E25-01,WH-WES-07,ZONE-B,E,25,01,STANDARD,1000,169.0,True,2026-04-30T04:36:50.726872
LOC-EN-08-B30-06,WH-CEN-08,RECEIVING,B,30,06,STANDARD,2000,166.5,True,2026-04-30T04:36:50.726872
LOC-AS-02-A08-06,WH-EAS-02,ZONE-D,A,08,06,STANDARD,1000,192.5,True,2026-04-30T04:36:50.726872
